;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.891;0.891;0.915;0.915;0.302;0.16;0.259;0.915;0.176;0.215;0.215;0.047;0.706;0.813;0.095;0.073;0.14;0.895;0.912;0.857;0.857;0.578;0.024;0.354
ENSCAFT00000021597_90_90;0.891;1.0;1.0;0.813;0.813;0.342;0.181;0.293;0.813;0.199;0.244;0.244;0.054;0.602;0.902;0.108;0.084;0.158;0.853;0.871;0.958;0.958;0.615;0.028;0.403
ENSCAFT00000021600_90_90;0.891;1.0;1.0;0.813;0.813;0.342;0.181;0.293;0.813;0.199;0.244;0.244;0.054;0.602;0.902;0.108;0.084;0.158;0.853;0.871;0.958;0.958;0.615;0.028;0.403
ENST00000324432_90_90;0.915;0.813;0.813;1.0;1.0;0.32;0.156;0.276;1.0;0.195;0.189;0.189;0.046;0.754;0.893;0.092;0.071;0.136;0.853;0.869;0.814;0.814;0.542;0.024;0.322
ENST00000413936_90_90;0.915;0.813;0.813;1.0;1.0;0.32;0.156;0.276;1.0;0.195;0.189;0.189;0.046;0.754;0.893;0.092;0.071;0.136;0.853;0.869;0.814;0.814;0.542;0.024;0.322
ENST00000423646_90_90;0.302;0.342;0.342;0.32;0.32;1.0;0.482;0.844;0.32;0.0;0.588;0.588;0.134;0.074;0.361;0.268;0.214;0.43;0.317;0.309;0.342;0.342;0.446;0.07;0.854
ENST00000425780_90_90;0.16;0.181;0.181;0.156;0.156;0.482;1.0;0.574;0.156;0.0;0.738;0.738;0.274;0.0;0.176;0.551;0.443;0.893;0.168;0.164;0.181;0.181;0.234;0.145;0.446
ENST00000429179_90_90;0.259;0.293;0.293;0.276;0.276;0.844;0.574;1.0;0.276;0.0;0.704;0.704;0.156;0.03;0.314;0.313;0.252;0.514;0.272;0.265;0.294;0.294;0.378;0.082;0.712
ENST00000430490_90_90;0.915;0.813;0.813;1.0;1.0;0.32;0.156;0.276;1.0;0.195;0.189;0.189;0.046;0.754;0.893;0.092;0.071;0.136;0.853;0.869;0.814;0.814;0.542;0.024;0.322
ENST00000435251_90_90;0.176;0.199;0.199;0.195;0.195;0.0;0.0;0.0;0.195;1.0;0.0;0.0;0.0;0.272;0.221;0.0;0.0;0.0;0.163;0.18;0.2;0.2;0.097;0.0;0.0
