;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.879;0.869;0.823;0.798;0.879;0.746;0.583;0.782;0.782;0.782;0.703;0.72;0.734;0.821
transcript6_ENSECAG00000007947;0.879;1.0;0.966;0.844;0.869;1.0;0.816;0.559;0.764;0.764;0.764;0.677;0.722;0.726;0.803
transcript7_ENSECAG00000007947;0.869;0.966;1.0;0.871;0.9;0.966;0.844;0.578;0.787;0.787;0.787;0.699;0.745;0.748;0.827
transcript7_ENSMLUG00000027828;0.823;0.844;0.871;1.0;0.789;0.844;0.745;0.674;0.845;0.845;0.845;0.765;0.752;0.823;0.867
transcript19_ENSECAG00000007947;0.798;0.869;0.9;0.789;1.0;0.869;0.938;0.593;0.846;0.846;0.846;0.75;0.804;0.803;0.774
transcript20_ENSECAG00000007947;0.879;1.0;0.966;0.844;0.869;1.0;0.816;0.559;0.764;0.764;0.764;0.677;0.722;0.726;0.803
transcript21_ENSECAG00000007947;0.746;0.816;0.844;0.745;0.938;0.816;1.0;0.62;0.81;0.81;0.81;0.714;0.777;0.823;0.726
transcript13_ENSMLUG00000027828;0.583;0.559;0.578;0.674;0.593;0.559;0.62;1.0;0.644;0.644;0.644;0.583;0.594;0.69;0.593
transcript15_ENSCGRG00015005362;0.782;0.764;0.787;0.845;0.846;0.764;0.81;0.644;1.0;1.0;1.0;0.885;0.811;0.931;0.898
transcript15_ENSCGRG00000018457;0.782;0.764;0.787;0.845;0.846;0.764;0.81;0.644;1.0;1.0;1.0;0.885;0.811;0.931;0.898
transcript15_ENSCGRG00001010245;0.782;0.764;0.787;0.845;0.846;0.764;0.81;0.644;1.0;1.0;1.0;0.885;0.811;0.931;0.898
transcript15_ENSPEMG00000024651;0.703;0.677;0.699;0.765;0.75;0.677;0.714;0.583;0.885;0.885;0.885;1.0;0.74;0.816;0.793
transcript15_ENSSTOG00000019743;0.72;0.722;0.745;0.752;0.804;0.722;0.777;0.594;0.811;0.811;0.811;0.74;1.0;0.797;0.726
transcript36_ENSCGRG00000018457;0.734;0.726;0.748;0.823;0.803;0.726;0.823;0.69;0.931;0.931;0.931;0.816;0.797;1.0;0.836
transcript25_ENSCPOG00000024843;0.821;0.803;0.827;0.867;0.774;0.803;0.726;0.593;0.898;0.898;0.898;0.793;0.726;0.836;1.0
