;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.173;0.182;0.0;0.0;0.361;0.061;0.364;0.364;0.366;0.165;0.294;0.0;0.298;0.083;0.302;0.296;0.0;0.007;0.0;0.061
ENST00000423692_90_90;0.173;1.0;0.0;0.0;0.0;0.304;0.0;0.308;0.308;0.312;0.958;0.071;0.0;0.073;0.167;0.075;0.072;0.0;0.0;0.0;0.0
ENST00000431645_90_90;0.182;0.0;1.0;0.0;0.0;0.272;0.185;0.275;0.275;0.278;0.0;0.111;0.0;0.114;0.167;0.117;0.113;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.0;0.0;0.0;1.0;0.25;0.19;0.0;0.177;0.177;0.165;0.0;0.209;0.667;0.197;0.0;0.116;0.212;0.053;0.28;0.188;0.0
ENST00000449389_90_90;0.0;0.0;0.0;0.25;1.0;0.05;0.0;0.051;0.051;0.051;0.0;0.06;0.053;0.062;0.0;0.063;0.061;0.0;0.222;0.0;0.0
ENST00000611405_90_90;0.361;0.304;0.272;0.19;0.05;1.0;0.061;0.987;0.987;0.975;0.291;0.45;0.175;0.43;0.125;0.396;0.44;0.05;0.171;0.051;0.0
ENST00000614370_90_90;0.061;0.0;0.185;0.0;0.0;0.061;1.0;0.062;0.062;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.364;0.308;0.275;0.177;0.051;0.987;0.062;1.0;0.975;0.987;0.295;0.44;0.163;0.42;0.127;0.386;0.43;0.051;0.173;0.051;0.0
ENST00000618262_90_90;0.364;0.308;0.275;0.177;0.051;0.987;0.062;0.975;1.0;0.987;0.295;0.44;0.163;0.434;0.127;0.4;0.43;0.051;0.173;0.051;0.0
ENST00000618411_90_90;0.366;0.312;0.278;0.165;0.051;0.975;0.062;0.987;0.987;1.0;0.299;0.43;0.15;0.424;0.128;0.39;0.42;0.051;0.175;0.052;0.0
ENST00000641476_90_90;0.165;0.958;0.0;0.0;0.0;0.291;0.0;0.295;0.295;0.299;1.0;0.06;0.0;0.061;0.172;0.062;0.06;0.0;0.0;0.0;0.0
ENSMUST00000040873_90_90;0.294;0.071;0.111;0.209;0.06;0.45;0.0;0.44;0.44;0.43;0.06;1.0;0.209;0.97;0.085;0.855;0.985;0.029;0.203;0.061;0.121
ENSMUST00000196109_90_90;0.0;0.0;0.0;0.667;0.053;0.175;0.0;0.163;0.163;0.15;0.0;0.209;1.0;0.179;0.0;0.1;0.194;0.053;0.231;0.267;0.0
ENSMUST00000197466_90_90;0.298;0.073;0.114;0.197;0.062;0.43;0.0;0.42;0.434;0.424;0.061;0.97;0.179;1.0;0.087;0.881;0.985;0.03;0.209;0.046;0.125
ENSMUST00000197484_90_90;0.083;0.167;0.167;0.0;0.0;0.125;0.0;0.127;0.127;0.128;0.172;0.085;0.0;0.087;1.0;0.09;0.086;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.302;0.075;0.117;0.116;0.063;0.396;0.0;0.386;0.4;0.39;0.062;0.855;0.1;0.881;0.09;1.0;0.868;0.081;0.274;0.0;0.129
ENSMUST00000199243_90_90;0.296;0.072;0.113;0.212;0.061;0.44;0.0;0.43;0.43;0.42;0.06;0.985;0.194;0.985;0.086;0.868;1.0;0.029;0.206;0.045;0.123
ENSMUST00000199365_90_90;0.0;0.0;0.0;0.053;0.0;0.05;0.0;0.051;0.051;0.051;0.0;0.029;0.053;0.03;0.0;0.081;0.029;1.0;0.294;0.0;0.0
ENSMUST00000199605_90_90;0.007;0.0;0.0;0.28;0.222;0.171;0.0;0.173;0.173;0.175;0.0;0.203;0.231;0.209;0.0;0.274;0.206;0.294;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.0;0.0;0.0;0.188;0.0;0.051;0.0;0.051;0.051;0.052;0.0;0.061;0.267;0.046;0.0;0.0;0.045;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.121;0.0;0.125;0.0;0.129;0.123;0.0;0.0;0.0;1.0
