;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;1.0;0.5;0.927;0.243;0.746;0.582;1.0;0.927;0.927;1.0;0.422;0.631;0.93
ENST00000246194_90_90;1.0;1.0;0.53;0.939;0.217;0.781;0.51;1.0;0.939;0.939;1.0;0.373;0.595;0.942
ENST00000333552_90_90;0.5;0.53;1.0;0.469;0.163;0.557;0.464;0.53;0.469;0.469;0.53;0.269;0.583;0.563
ENST00000375114_90_90;0.927;0.939;0.469;1.0;0.231;0.832;0.448;0.939;1.0;1.0;0.939;0.397;0.633;0.879
ENST00000413297_90_90;0.243;0.217;0.163;0.231;1.0;0.279;0.413;0.217;0.231;0.231;0.217;0.567;0.354;0.23
ENST00000442805_90_90;0.746;0.781;0.557;0.832;0.279;1.0;0.534;0.781;0.832;0.832;0.781;0.479;0.762;0.829
ENST00000448364_90_90;0.582;0.51;0.464;0.448;0.413;0.534;1.0;0.51;0.448;0.448;0.51;0.723;0.676;0.541
ENSMUST00000029120_90_90;1.0;1.0;0.53;0.939;0.217;0.781;0.51;1.0;0.941;0.941;1.0;0.36;0.572;0.944
ENSMUST00000058089_90_90;0.927;0.939;0.469;1.0;0.231;0.832;0.448;0.941;1.0;1.0;0.941;0.381;0.607;0.885
ENSMUST00000109701_90_90;0.927;0.939;0.469;1.0;0.231;0.832;0.448;0.941;1.0;1.0;0.941;0.381;0.607;0.885
ENSMUST00000116389_90_90;1.0;1.0;0.53;0.939;0.217;0.781;0.51;1.0;0.941;0.941;1.0;0.36;0.572;0.944
ENSMUST00000125872_90_90;0.422;0.373;0.269;0.397;0.567;0.479;0.723;0.36;0.381;0.381;0.36;1.0;0.619;0.379
ENSMUST00000129137_90_90;0.631;0.595;0.583;0.633;0.354;0.762;0.676;0.572;0.607;0.607;0.572;0.619;1.0;0.604
ENSMUST00000140713_90_90;0.93;0.942;0.563;0.879;0.23;0.829;0.541;0.944;0.885;0.885;0.944;0.379;0.604;1.0
