;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENSCAFT00000017823_90_90;1.0;0.901;0.868;0.816;0.931;0.742;0.916;0.941;0.098;0.687;0.827;0.072;0.14;0.072;0.085;0.223;0.052;0.073;0.19;0.959;0.944;0.928;0.768;0.889;0.235
ENST00000257075_90_90;0.901;1.0;0.929;0.876;0.969;0.836;0.984;0.928;0.097;0.697;0.889;0.071;0.139;0.071;0.085;0.201;0.052;0.072;0.206;0.942;0.955;0.969;0.806;0.899;0.212
ENST00000373741_90_90;0.868;0.929;1.0;0.919;0.931;0.774;0.944;0.893;0.09;0.675;0.891;0.067;0.13;0.067;0.079;0.204;0.048;0.067;0.192;0.905;0.917;0.903;0.75;0.865;0.197
ENST00000373742_90_90;0.816;0.876;0.919;1.0;0.878;0.819;0.864;0.84;0.095;0.713;0.865;0.07;0.139;0.07;0.083;0.197;0.05;0.071;0.203;0.853;0.839;0.851;0.793;0.888;0.208
ENST00000373747_90_90;0.931;0.969;0.931;0.878;1.0;0.809;0.985;0.959;0.094;0.726;0.89;0.069;0.135;0.069;0.082;0.213;0.05;0.07;0.199;0.971;0.957;0.942;0.782;0.902;0.206
ENST00000424085_90_90;0.742;0.836;0.774;0.819;0.809;1.0;0.822;0.768;0.115;0.722;0.731;0.085;0.169;0.085;0.101;0.24;0.061;0.086;0.141;0.782;0.794;0.806;0.965;0.841;0.253
ENST00000426105_90_90;0.916;0.984;0.944;0.864;0.985;0.822;1.0;0.944;0.095;0.712;0.875;0.07;0.137;0.07;0.083;0.217;0.051;0.071;0.203;0.957;0.97;0.955;0.794;0.915;0.209
ENST00000440538_90_90;0.941;0.928;0.893;0.84;0.959;0.768;0.944;1.0;0.098;0.687;0.852;0.072;0.14;0.072;0.085;0.223;0.052;0.073;0.208;0.931;0.916;0.901;0.742;0.862;0.214
ENST00000480602_90_90;0.098;0.097;0.09;0.095;0.094;0.115;0.095;0.098;1.0;0.0;0.098;0.447;0.0;0.447;0.0;0.0;0.0;0.637;0.0;0.094;0.095;0.097;0.115;0.101;0.424
ENST00000498419_90_90;0.687;0.697;0.675;0.713;0.726;0.722;0.712;0.687;0.0;1.0;0.631;0.0;0.172;0.0;0.102;0.265;0.061;0.0;0.219;0.726;0.712;0.697;0.722;0.753;0.095
ENST00000525843_90_90;0.827;0.889;0.891;0.865;0.89;0.731;0.875;0.852;0.098;0.631;1.0;0.073;0.142;0.073;0.04;0.203;0.051;0.073;0.208;0.865;0.851;0.863;0.706;0.797;0.214
ENST00000525948_90_90;0.072;0.071;0.067;0.07;0.069;0.085;0.07;0.072;0.447;0.0;0.073;1.0;0.0;1.0;0.0;0.0;0.0;0.61;0.0;0.069;0.07;0.071;0.085;0.074;0.327
ENST00000525997_90_90;0.14;0.139;0.13;0.139;0.135;0.169;0.137;0.14;0.0;0.172;0.142;0.0;1.0;0.0;0.0;0.435;0.184;0.0;0.0;0.135;0.137;0.139;0.169;0.146;0.0
ENST00000526215_90_90;0.072;0.071;0.067;0.07;0.069;0.085;0.07;0.072;0.447;0.0;0.073;1.0;0.0;1.0;0.0;0.0;0.0;0.61;0.0;0.069;0.07;0.071;0.085;0.074;0.327
ENST00000527498_90_90;0.085;0.085;0.079;0.083;0.082;0.101;0.083;0.085;0.0;0.102;0.04;0.0;0.0;0.0;1.0;0.056;0.0;0.0;0.0;0.082;0.083;0.085;0.101;0.088;0.0
ENST00000529846_90_90;0.223;0.201;0.204;0.197;0.213;0.24;0.217;0.223;0.0;0.265;0.203;0.0;0.435;0.0;0.056;1.0;0.066;0.0;0.0;0.213;0.217;0.201;0.24;0.229;0.0
ENST00000530669_90_90;0.052;0.052;0.048;0.05;0.05;0.061;0.051;0.052;0.0;0.061;0.051;0.0;0.184;0.0;0.0;0.066;1.0;0.0;0.0;0.05;0.051;0.052;0.061;0.053;0.0
ENST00000531867_90_90;0.073;0.072;0.067;0.071;0.07;0.086;0.071;0.073;0.637;0.0;0.073;0.61;0.0;0.61;0.0;0.0;0.0;1.0;0.0;0.07;0.071;0.072;0.086;0.075;0.331
ENST00000532678_90_90;0.19;0.206;0.192;0.203;0.199;0.141;0.203;0.208;0.0;0.219;0.208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.182;0.184;0.188;0.123;0.197;0.122
ENSMUST00000030315_90_90;0.959;0.942;0.905;0.853;0.971;0.782;0.957;0.931;0.094;0.726;0.865;0.069;0.135;0.069;0.082;0.213;0.05;0.07;0.182;1.0;0.985;0.969;0.809;0.929;0.224
ENSMUST00000097862_90_90;0.944;0.955;0.917;0.839;0.957;0.794;0.97;0.916;0.095;0.712;0.851;0.07;0.137;0.07;0.083;0.217;0.051;0.071;0.184;0.985;1.0;0.984;0.822;0.945;0.229
ENSMUST00000097864_90_90;0.928;0.969;0.903;0.851;0.942;0.806;0.955;0.901;0.097;0.697;0.863;0.071;0.139;0.071;0.085;0.201;0.052;0.072;0.188;0.969;0.984;1.0;0.836;0.928;0.233
ENSMUST00000105991_90_90;0.768;0.806;0.75;0.793;0.782;0.965;0.794;0.742;0.115;0.722;0.706;0.085;0.169;0.085;0.101;0.24;0.061;0.086;0.123;0.809;0.822;0.836;1.0;0.869;0.276
ENSMUST00000105992_90_90;0.889;0.899;0.865;0.888;0.902;0.841;0.915;0.862;0.101;0.753;0.797;0.074;0.146;0.074;0.088;0.229;0.053;0.075;0.197;0.929;0.945;0.928;0.869;1.0;0.241
ENSMUST00000143277_90_90;0.235;0.212;0.197;0.208;0.206;0.253;0.209;0.214;0.424;0.095;0.214;0.327;0.0;0.327;0.0;0.0;0.0;0.331;0.122;0.224;0.229;0.233;0.276;0.241;1.0
