;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.928;0.123;0.819;0.623;0.06;0.091;0.827;0.964;0.827
ENST00000308664_90_90;0.928;1.0;0.123;0.875;0.623;0.06;0.091;0.779;0.899;0.779
ENST00000377685_90_90;0.123;0.123;1.0;0.116;0.0;0.0;0.0;0.106;0.117;0.106
ENST00000539276_90_90;0.819;0.875;0.116;1.0;0.733;0.056;0.086;0.881;0.797;0.881
ENST00000548169_90_90;0.623;0.623;0.0;0.733;1.0;0.086;0.133;0.697;0.609;0.697
ENST00000552636_90_90;0.06;0.06;0.0;0.056;0.086;1.0;0.0;0.052;0.057;0.052
ENST00000553144_90_90;0.091;0.091;0.0;0.086;0.133;0.0;1.0;0.078;0.087;0.078
ENSMUST00000031423_90_90;0.827;0.779;0.106;0.881;0.697;0.052;0.078;1.0;0.857;1.0
ENSMUST00000177974_90_90;0.964;0.899;0.117;0.797;0.609;0.057;0.087;0.857;1.0;0.857
ENSMUST00000179939_90_90;0.827;0.779;0.106;0.881;0.697;0.052;0.078;1.0;0.857;1.0
