;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.999;0.749;0.823;0.815;0.578;0.643;0.626;0.127;0.467;0.993;0.702;0.818;0.649;0.639;0.386;0.333;0.644;0.268;0.47;0.805
ENST00000264731_90_90;0.999;1.0;0.75;0.824;0.816;0.579;0.644;0.627;0.127;0.467;0.994;0.702;0.818;0.649;0.639;0.386;0.333;0.644;0.269;0.47;0.805
ENST00000320472_90_90;0.749;0.75;1.0;0.579;0.907;0.767;0.697;0.822;0.163;0.609;0.744;0.457;0.573;0.428;0.685;0.511;0.422;0.422;0.352;0.599;0.579
ENST00000354600_90_90;0.823;0.824;0.579;1.0;0.644;0.71;0.787;0.467;0.169;0.571;0.818;0.855;0.993;0.777;0.486;0.481;0.405;0.771;0.116;0.328;0.649
ENST00000392460_90_90;0.815;0.816;0.907;0.644;1.0;0.697;0.786;0.759;0.152;0.563;0.81;0.522;0.638;0.486;0.766;0.471;0.394;0.481;0.325;0.559;0.639
ENST00000392461_90_90;0.578;0.579;0.767;0.71;0.697;1.0;0.889;0.609;0.228;0.785;0.573;0.565;0.703;0.519;0.503;0.677;0.535;0.513;0.151;0.416;0.428
ENST00000392463_90_90;0.643;0.644;0.697;0.787;0.786;0.889;1.0;0.563;0.209;0.714;0.638;0.642;0.78;0.587;0.581;0.611;0.493;0.581;0.14;0.388;0.486
ENST00000418709_90_90;0.626;0.627;0.822;0.467;0.759;0.609;0.563;1.0;0.17;0.756;0.621;0.351;0.462;0.333;0.565;0.535;0.438;0.328;0.368;0.622;0.475
ENST00000434928_90_90;0.127;0.127;0.163;0.169;0.152;0.228;0.209;0.17;1.0;0.239;0.128;0.04;0.17;0.169;0.151;0.312;0.239;0.17;0.32;0.17;0.127
ENST00000437221_90_90;0.467;0.467;0.609;0.571;0.563;0.785;0.714;0.756;0.239;1.0;0.462;0.434;0.564;0.405;0.394;0.717;0.56;0.399;0.158;0.431;0.333
ENST00000440651_90_90;0.993;0.994;0.744;0.818;0.81;0.573;0.638;0.621;0.128;0.462;1.0;0.696;0.823;0.644;0.633;0.381;0.328;0.647;0.27;0.473;0.799
ENST00000449992_90_90;0.702;0.702;0.457;0.855;0.522;0.565;0.642;0.351;0.04;0.434;0.696;1.0;0.848;0.649;0.376;0.337;0.283;0.643;0.0;0.223;0.539
ENST00000456148_90_90;0.818;0.818;0.573;0.993;0.638;0.703;0.78;0.462;0.17;0.564;0.823;0.848;1.0;0.771;0.481;0.474;0.399;0.775;0.117;0.33;0.644
ENSMUST00000040231_90_90;0.649;0.649;0.428;0.777;0.486;0.519;0.587;0.333;0.169;0.405;0.644;0.649;0.771;1.0;0.644;0.48;0.571;0.993;0.116;0.462;0.824
ENSMUST00000065523_90_90;0.639;0.639;0.685;0.486;0.766;0.503;0.581;0.565;0.151;0.394;0.633;0.376;0.481;0.644;1.0;0.47;0.563;0.638;0.325;0.752;0.816
ENSMUST00000115304_90_90;0.386;0.386;0.511;0.481;0.471;0.677;0.611;0.535;0.312;0.717;0.381;0.337;0.474;0.48;0.47;1.0;0.715;0.474;0.198;0.526;0.386
ENSMUST00000115305_90_90;0.333;0.333;0.422;0.405;0.394;0.535;0.493;0.438;0.239;0.56;0.328;0.283;0.399;0.571;0.563;0.715;1.0;0.564;0.158;0.749;0.467
ENSMUST00000115306_90_90;0.644;0.644;0.422;0.771;0.481;0.513;0.581;0.328;0.17;0.399;0.647;0.643;0.775;0.993;0.638;0.474;0.564;1.0;0.117;0.464;0.818
ENSMUST00000115307_90_90;0.268;0.269;0.352;0.116;0.325;0.151;0.14;0.368;0.32;0.158;0.27;0.0;0.117;0.116;0.325;0.198;0.158;0.117;1.0;0.37;0.269
ENSMUST00000115308_90_90;0.47;0.47;0.599;0.328;0.559;0.416;0.388;0.622;0.17;0.431;0.473;0.223;0.33;0.462;0.752;0.526;0.749;0.464;0.37;1.0;0.621
ENSMUST00000115310_90_90;0.805;0.805;0.579;0.649;0.639;0.428;0.486;0.475;0.127;0.333;0.799;0.539;0.644;0.824;0.816;0.386;0.467;0.818;0.269;0.621;1.0
