;transcript36_ENSRNOG00000031503;transcript7_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript36_ENSRNOG00000031503;1.0;0.984;0.956;0.914;0.909;0.912;0.947;0.927;0.928;0.97;0.97
transcript7_MGP-PahariEiJ-G0020237;0.984;1.0;0.969;0.929;0.925;0.928;0.959;0.94;0.941;0.954;0.954
transcript37_MGP-PahariEiJ-G0020237;0.956;0.969;1.0;0.901;0.896;0.899;0.989;0.97;0.971;0.984;0.984
transcript39_MGP-PahariEiJ-G0020237;0.914;0.929;0.901;1.0;0.995;0.999;0.89;0.871;0.872;0.886;0.886
transcript9_MGP-PahariEiJ-G0020237;0.909;0.925;0.896;0.995;1.0;0.997;0.886;0.867;0.868;0.882;0.882
transcript49_MGP-PahariEiJ-G0020237;0.912;0.928;0.899;0.999;0.997;1.0;0.889;0.87;0.871;0.885;0.885
transcript50_MGP-PahariEiJ-G0020237;0.947;0.959;0.989;0.89;0.886;0.889;1.0;0.959;0.96;0.975;0.975
transcript52_MGP-PahariEiJ-G0020237;0.927;0.94;0.97;0.871;0.867;0.87;0.959;1.0;0.999;0.955;0.955
transcript51_MGP-PahariEiJ-G0020237;0.928;0.941;0.971;0.872;0.868;0.871;0.96;0.999;1.0;0.956;0.956
transcript37_ENSRNOG00000031503;0.97;0.954;0.984;0.886;0.882;0.885;0.975;0.955;0.956;1.0;1.0
transcript44_ENSRNOG00000031503;0.97;0.954;0.984;0.886;0.882;0.885;0.975;0.955;0.956;1.0;1.0
