;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075;0.075;0.0;0.035;0.026;0.026
ENST00000335135_90_90;0.0;1.0;0.397;0.052;0.264;0.534;0.998;0.036;0.998;0.657;0.659;0.524;0.0;0.0;0.0
ENST00000526716_90_90;0.0;0.397;1.0;0.0;0.0;0.744;0.397;0.0;0.398;0.394;0.395;0.737;0.0;0.0;0.0
ENST00000526974_90_90;0.0;0.052;0.0;1.0;0.197;0.0;0.052;0.696;0.051;0.044;0.044;0.0;0.0;0.0;0.0
ENST00000528027_90_90;0.0;0.264;0.0;0.197;1.0;0.0;0.263;0.137;0.262;0.247;0.248;0.0;0.0;0.0;0.0
ENST00000528712_90_90;0.0;0.534;0.744;0.0;0.0;1.0;0.533;0.0;0.535;0.524;0.525;0.975;0.0;0.0;0.0
ENST00000532059_90_90;0.0;0.998;0.397;0.052;0.263;0.533;1.0;0.036;0.995;0.659;0.657;0.522;0.0;0.0;0.0
ENST00000532977_90_90;0.0;0.036;0.0;0.696;0.137;0.0;0.036;1.0;0.035;0.035;0.035;0.0;0.0;0.0;0.0
ENST00000622443_90_90;0.0;0.998;0.398;0.051;0.262;0.535;0.995;0.035;1.0;0.656;0.657;0.525;0.0;0.0;0.0
ENSMUST00000067417_90_90;0.075;0.657;0.394;0.044;0.247;0.524;0.659;0.035;0.656;1.0;0.998;0.534;0.035;0.026;0.026
ENSMUST00000118022_90_90;0.075;0.659;0.395;0.044;0.248;0.525;0.657;0.035;0.657;0.998;1.0;0.535;0.036;0.026;0.026
ENSMUST00000121312_90_90;0.0;0.524;0.737;0.0;0.0;0.975;0.522;0.0;0.525;0.534;0.535;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035;0.036;0.0;1.0;0.723;0.723
ENSMUST00000137244_90_90;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;0.026;0.0;0.723;1.0;1.0
ENSMUST00000156782_90_90;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;0.026;0.0;0.723;1.0;1.0
