;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.326;0.847;0.31;0.452;0.088;0.756;0.363;0.944;0.73;0.384
ENST00000258909_90_90;0.326;1.0;0.402;0.832;0.704;0.0;0.448;0.119;0.362;0.132;0.659
ENST00000322019_90_90;0.847;0.402;1.0;0.346;0.578;0.088;0.899;0.401;0.893;0.681;0.384
ENST00000379384_90_90;0.31;0.832;0.346;1.0;0.602;0.0;0.383;0.122;0.346;0.116;0.688
ENST00000379390_90_90;0.452;0.704;0.578;0.602;1.0;0.069;0.644;0.228;0.489;0.27;0.498
ENST00000561551_90_90;0.088;0.0;0.088;0.0;0.069;1.0;0.099;0.0;0.088;0.12;0.0
ENST00000565774_90_90;0.756;0.448;0.899;0.383;0.644;0.099;1.0;0.357;0.798;0.585;0.424
ENST00000565982_90_90;0.363;0.119;0.401;0.122;0.228;0.0;0.357;1.0;0.363;0.489;0.227
ENSMUST00000041890_90_90;0.944;0.362;0.893;0.346;0.489;0.088;0.798;0.363;1.0;0.73;0.423
ENSMUST00000119543_90_90;0.73;0.132;0.681;0.116;0.27;0.12;0.585;0.489;0.73;1.0;0.153
ENSMUST00000126334_90_90;0.384;0.659;0.384;0.688;0.498;0.0;0.424;0.227;0.423;0.153;1.0
