;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.943;0.883;0.832;0.229;0.508;0.883;0.699;0.871;0.68;0.871;0.817;0.12;0.414
ENSCAFT00000036937_90_90;0.943;1.0;0.832;0.873;0.241;0.536;0.832;0.738;0.817;0.722;0.817;0.859;0.127;0.434
ENST00000258180_90_90;0.883;0.832;1.0;0.947;0.221;0.616;1.0;0.673;0.841;0.592;0.841;0.789;0.116;0.401
ENST00000538274_90_90;0.832;0.873;0.947;1.0;0.232;0.656;0.947;0.708;0.789;0.619;0.789;0.828;0.122;0.419
ENST00000562564_90_90;0.229;0.241;0.221;0.232;1.0;0.396;0.221;0.102;0.239;0.114;0.239;0.254;0.0;0.0
ENST00000562580_90_90;0.508;0.536;0.616;0.656;0.396;1.0;0.616;0.371;0.467;0.283;0.467;0.491;0.0;0.075
ENST00000566428_90_90;0.883;0.832;1.0;0.947;0.221;0.616;1.0;0.673;0.841;0.592;0.841;0.789;0.116;0.401
ENST00000567328_90_90;0.699;0.738;0.673;0.708;0.102;0.371;0.673;1.0;0.592;0.883;0.592;0.619;0.158;0.543
ENSMUST00000034281_90_90;0.871;0.817;0.841;0.789;0.239;0.467;0.841;0.592;1.0;0.637;1.0;0.938;0.126;0.429
ENSMUST00000108948_90_90;0.68;0.722;0.592;0.619;0.114;0.283;0.592;0.883;0.637;1.0;0.637;0.673;0.175;0.597
ENSMUST00000108950_90_90;0.871;0.817;0.841;0.789;0.239;0.467;0.841;0.592;1.0;0.637;1.0;0.938;0.126;0.429
ENSMUST00000108951_90_90;0.817;0.859;0.789;0.828;0.254;0.491;0.789;0.619;0.938;0.673;0.938;1.0;0.133;0.453
ENSMUST00000132229_90_90;0.12;0.127;0.116;0.122;0.0;0.0;0.116;0.158;0.126;0.175;0.126;0.133;1.0;0.301
ENSMUST00000153725_90_90;0.414;0.434;0.401;0.419;0.0;0.075;0.401;0.543;0.429;0.597;0.429;0.453;0.301;1.0
