;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.978;0.986;0.014;1.0;1.0;1.0;1.0;1.0;1.0;0.97;0.037;1.0;1.0
transcript8_ENSHGLG00100006079;0.978;1.0;0.942;0.015;0.5;0.5;0.5;0.5;0.977;0.978;0.977;0.015;0.978;0.978
transcript6_ENSPCIG00000036398;0.986;0.942;1.0;0.0;0.667;0.667;0.667;0.667;1.0;0.986;0.971;0.043;0.986;0.986
transcript7_ENSPCIG00000036398;0.014;0.015;0.0;1.0;0.333;0.333;0.333;0.333;0.0;0.014;0.0;0.25;0.014;0.014
transcript7_ENSMUNG00000007775;1.0;0.5;0.667;0.333;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
transcript16_ENSMUNG00000007775;1.0;0.5;0.667;0.333;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
transcript23_ENSMUNG00000007775;1.0;0.5;0.667;0.333;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
transcript16_ENSMUNG00000002377;1.0;0.5;0.667;0.333;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
transcript10_ENSMUNG00000002391;1.0;0.977;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.985;0.023;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.978;0.986;0.014;1.0;1.0;1.0;1.0;1.0;1.0;0.97;0.037;1.0;1.0
transcript7_ENSXMAG00000026005;0.97;0.977;0.971;0.0;0.0;0.0;0.0;0.0;0.985;0.97;1.0;0.007;0.97;0.97
transcript8_ENSXMAG00000026005;0.037;0.015;0.043;0.25;1.0;1.0;1.0;1.0;0.023;0.037;0.007;1.0;0.037;0.037
transcript9_ENSXMAG00000026005;1.0;0.978;0.986;0.014;1.0;1.0;1.0;1.0;1.0;1.0;0.97;0.037;1.0;1.0
transcript10_ENSXMAG00000026005;1.0;0.978;0.986;0.014;1.0;1.0;1.0;1.0;1.0;1.0;0.97;0.037;1.0;1.0
