;ENSBTAT00000012189_98;ENSBTAT00000037763_98;ENSCAFT00000036964_98;ENSCAFT00000093191_98;ENSCAFT00020007058_98;ENST00000401088_98;ENST00000401089_98;ENST00000471507_98;ENST00000476423_98;ENST00000492354_98;ENSGALT00000005925_98;ENSGALT00000094315_98;ENSMUST00000102487_98;ENSMUST00000148204_98
ENSBTAT00000012189_98;1.0;0.627;0.569;0.946;0.642;0.502;0.773;0.521;0.0;0.901;0.627;0.341;0.569;0.603
ENSBTAT00000037763_98;0.627;1.0;0.945;0.575;0.953;0.9;0.555;0.847;0.0;0.502;1.0;0.643;0.945;0.911
ENSCAFT00000036964_98;0.569;0.945;1.0;0.712;0.983;0.999;0.73;0.966;0.223;0.698;0.75;0.883;1.0;0.869
ENSCAFT00000093191_98;0.946;0.575;0.712;1.0;0.723;0.698;0.945;0.717;0.388;0.998;0.51;0.597;0.712;0.685
ENSCAFT00020007058_98;0.642;0.953;0.983;0.723;1.0;0.983;0.772;0.934;0.159;0.723;0.744;0.906;0.983;0.827
ENST00000401088_98;0.502;0.9;0.999;0.698;0.983;1.0;0.743;0.968;0.119;0.712;0.694;0.591;0.999;0.861
ENST00000401089_98;0.773;0.555;0.73;0.945;0.772;0.743;1.0;0.712;0.139;0.951;0.48;0.423;0.73;0.65
ENST00000471507_98;0.521;0.847;0.966;0.717;0.934;0.968;0.712;1.0;0.121;0.731;0.661;0.571;0.966;0.889
ENST00000476423_98;0.0;0.0;0.223;0.388;0.159;0.119;0.139;0.121;1.0;0.142;0.0;0.438;0.223;0.173
ENST00000492354_98;0.901;0.502;0.698;0.998;0.723;0.712;0.951;0.731;0.142;1.0;0.447;0.403;0.698;0.667
ENSGALT00000005925_98;0.627;1.0;0.75;0.51;0.744;0.694;0.48;0.661;0.0;0.447;1.0;0.382;0.75;0.79
ENSGALT00000094315_98;0.341;0.643;0.883;0.597;0.906;0.591;0.423;0.571;0.438;0.403;0.382;1.0;0.875;0.746
ENSMUST00000102487_98;0.569;0.945;1.0;0.712;0.983;0.999;0.73;0.966;0.223;0.698;0.75;0.875;1.0;0.869
ENSMUST00000148204_98;0.603;0.911;0.869;0.685;0.827;0.861;0.65;0.889;0.173;0.667;0.79;0.746;0.869;1.0
