;ENSBTAT00000001063_98;ENSBTAT00000075784_98;ENSBTAT00000047356_98;ENSBTAT00000081411_98;ENSBTAT00000014936_98;ENSBTAT00000067399_98;ENSBTAT00000067879_98;ENSBTAT00000080112_98;ENSBTAT00000082719_98;ENSBTAT00000019309_98;ENSBTAT00000080865_98;ENSBTAT00000084315_98;ENSBTAT00000021671_98;ENSBTAT00000081480_98;ENSBTAT00000025447_98;ENSBTAT00000032168_98;ENSCAFT00000002680_98;ENSCAFT00000004679_98;ENSCAFT00000006771_98;ENSCAFT00000038895_98;ENSCAFT00000063489_98;ENSCAFT00000013895_98;ENSCAFT00000015908_98;ENSCAFT00000048936_98;ENSCAFT00000063917_98;ENSCAFT00000067748_98;ENSCAFT00000069799_98;ENSCAFT00000074238_98;ENSCAFT00000077614_98;ENSCAFT00000081924_98;ENSCAFT00000017386_98;ENSCAFT00000077728_98;ENSCAFT00000082195_98;ENSCAFT00000030888_98;ENSCAFT00000092108_98;ENSCAFT00020006658_98;ENSCAFT00020020044_98;ENSCAFT00020021017_98;ENSCAFT00020021478_98;ENSCAFT00020025374_98;ENSCAFT00020025671_98;ENSCAFT00020025673_98;ENSCAFT00020040315_98;ENST00000396049_98;ENST00000233892_98;ENST00000323303_98;ENST00000409355_98;ENST00000409360_98;ENST00000409916_98;ENST00000417097_98;ENST00000448447_98;ENST00000262244_98;ENST00000271139_98;ENST00000319928_98;ENST00000371940_98;ENST00000357066_98;ENST00000586676_98;ENST00000588048_98;ENST00000589902_98;ENST00000591236_98;ENST00000591326_98;ENST00000591638_98;ENST00000592280_98;ENST00000309395_98;ENST00000396051_98;ENST00000502869_98;ENST00000329957_98;ENST00000614710_98;ENST00000604458_98;ENSGALT00000086679_98;ENSGALT00000013192_98;ENSGALT00000018879_98;ENSGALT00000045632_98;ENSGALT00000055274_98;ENSGALT00000084848_98;ENSGALT00000073440_98;ENSGALT00000102171_98;ENSGALT00000103370_98;ENSGALT00000072963_98;ENSGALT00000049628_98;ENSMUST00000003438_98;ENSMUST00000218090_98;ENSMUST00000220138_98;ENSMUST00000006424_98;ENSMUST00000113229_98;ENSMUST00000084418_98;ENSMUST00000209725_98;ENSMUST00000209732_98;ENSMUST00000210684_98;ENSMUST00000211000_98;ENSMUST00000211206_98;ENSMUST00000027122_98;ENSMUST00000159311_98;ENSMUST00000161122_98;ENSMUST00000162364_98;ENSMUST00000162553_98;ENSMUST00000030477_98;ENSMUST00000148409_98;ENSMUST00000038658_98;ENSMUST00000055261_98;ENSMUST00000101245_98;ENSMUST00000133045_98;ENSMUST00000155580_98;ENSMUST00000102975_98
ENSBTAT00000001063_98;1.0;1.0;0.93;0.923;0.53;0.644;0.471;0.648;0.639;0.894;0.94;0.94;0.0;0.0;0.637;0.992;0.96;0.955;0.893;0.827;0.853;0.955;0.389;0.276;0.201;0.198;0.202;0.173;0.181;0.177;0.909;0.769;0.868;0.792;0.778;0.911;0.955;0.96;0.99;0.992;0.877;0.863;0.955;0.0;0.651;0.641;0.0;0.651;0.693;0.0;0.651;0.543;0.547;0.0;0.0;0.637;0.361;0.127;0.497;0.567;0.567;0.653;0.637;0.0;0.0;0.0;0.865;0.921;0.855;0.887;0.637;0.792;0.8;0.8;0.8;0.905;0.833;0.826;0.96;0.965;0.989;0.414;0.393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.657;0.648;0.0;0.638;0.619;0.99;0.393;0.574;0.559;0.559;0.0;0.0;0.543
ENSBTAT00000075784_98;1.0;1.0;0.93;0.923;0.53;0.644;0.471;0.648;0.639;0.894;0.94;0.94;0.0;0.0;0.637;0.992;0.96;0.955;0.893;0.827;0.853;0.955;0.389;0.276;0.201;0.198;0.202;0.173;0.181;0.177;0.909;0.769;0.868;0.792;0.778;0.911;0.955;0.96;0.99;0.992;0.877;0.863;0.955;0.0;0.651;0.641;0.0;0.651;0.693;0.0;0.651;0.543;0.547;0.0;0.0;0.637;0.361;0.127;0.497;0.567;0.567;0.653;0.637;0.0;0.0;0.0;0.865;0.921;0.855;0.887;0.637;0.792;0.8;0.8;0.8;0.905;0.833;0.826;0.96;0.965;0.989;0.414;0.393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.657;0.648;0.0;0.638;0.619;0.99;0.393;0.574;0.559;0.559;0.0;0.0;0.543
ENSBTAT00000047356_98;0.93;0.93;1.0;0.936;0.42;0.565;0.504;0.568;0.673;0.784;0.881;0.881;0.405;0.405;0.642;0.913;0.922;0.952;0.9;0.844;0.881;0.953;0.275;0.339;0.192;0.188;0.192;0.106;0.112;0.147;0.886;0.739;0.824;0.824;0.804;0.923;0.952;0.922;0.974;0.948;0.847;0.853;0.953;0.406;0.663;0.65;0.037;0.663;0.663;0.039;0.665;0.556;0.553;0.0;0.0;0.641;0.351;0.127;0.437;0.506;0.506;0.582;0.641;0.405;0.406;0.0;0.912;0.811;0.847;0.882;0.643;0.839;0.756;0.756;0.756;0.942;0.741;0.736;0.926;0.976;0.932;0.406;0.391;0.405;0.405;0.0;0.0;0.0;0.0;0.0;0.0;0.653;0.664;0.038;0.649;0.645;0.945;0.394;0.544;0.575;0.575;0.0;0.0;0.556
ENSBTAT00000081411_98;0.923;0.923;0.936;1.0;0.418;0.562;0.511;0.566;0.677;0.78;0.876;0.876;0.411;0.41;0.647;0.91;0.916;0.945;0.889;0.855;0.893;0.946;0.275;0.383;0.192;0.189;0.193;0.106;0.112;0.113;0.886;0.739;0.824;0.82;0.8;0.923;0.945;0.916;0.957;0.94;0.853;0.847;0.946;0.411;0.669;0.655;0.013;0.669;0.66;0.0;0.671;0.561;0.552;0.0;0.0;0.639;0.35;0.126;0.435;0.504;0.504;0.58;0.639;0.41;0.411;0.0;0.932;0.798;0.865;0.893;0.648;0.832;0.754;0.754;0.754;0.957;0.732;0.727;0.919;0.97;0.924;0.403;0.388;0.411;0.411;0.0;0.0;0.0;0.0;0.0;0.0;0.666;0.669;0.0;0.655;0.651;0.941;0.392;0.542;0.581;0.581;0.0;0.0;0.562
ENSBTAT00000014936_98;0.53;0.53;0.42;0.418;1.0;0.405;0.787;0.419;0.387;0.47;0.454;0.454;0.0;0.0;0.409;0.514;0.583;0.591;0.498;0.513;0.459;0.541;0.653;0.476;0.227;0.138;0.231;0.382;0.334;0.319;0.559;0.439;0.517;0.414;0.445;0.549;0.603;0.613;0.51;0.521;0.58;0.564;0.603;0.0;0.459;0.426;0.0;0.459;0.549;0.0;0.444;0.23;0.123;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.387;0.45;0.497;0.538;0.409;0.36;0.301;0.301;0.301;0.462;0.435;0.426;0.585;0.503;0.51;0.53;0.5;0.0;0.0;0.345;0.488;0.429;0.399;0.155;0.155;0.488;0.461;0.0;0.442;0.436;0.503;0.496;0.322;0.261;0.261;0.0;0.0;0.23
ENSBTAT00000067399_98;0.644;0.644;0.565;0.562;0.405;1.0;0.377;0.937;0.868;0.632;0.659;0.659;0.192;0.192;0.355;0.655;0.782;0.886;0.69;0.727;0.639;0.766;0.437;0.316;0.38;0.415;0.383;0.384;0.37;0.359;0.762;0.673;0.74;0.657;0.719;0.76;0.964;0.932;0.647;0.627;0.963;0.919;0.958;0.192;0.32;0.321;0.0;0.32;0.372;0.024;0.308;0.265;0.6;0.328;0.328;0.577;0.239;0.077;0.325;0.359;0.359;0.389;0.577;0.192;0.192;0.397;0.62;0.736;0.794;0.867;0.352;0.559;0.67;0.67;0.67;0.621;0.692;0.678;0.857;0.722;0.628;0.262;0.245;0.192;0.192;0.493;0.354;0.65;0.213;0.342;0.342;0.37;0.325;0.026;0.339;0.305;0.636;0.249;0.338;0.276;0.276;0.048;0.0;0.265
ENSBTAT00000067879_98;0.471;0.471;0.504;0.511;0.787;0.377;1.0;0.388;0.487;0.452;0.436;0.436;0.311;0.31;0.575;0.476;0.544;0.574;0.519;0.643;0.593;0.524;0.548;0.587;0.198;0.121;0.202;0.331;0.286;0.308;0.548;0.436;0.514;0.518;0.546;0.571;0.585;0.568;0.502;0.477;0.587;0.552;0.585;0.312;0.646;0.601;0.033;0.646;0.552;0.025;0.625;0.436;0.12;0.098;0.098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.311;0.311;0.0;0.511;0.386;0.544;0.575;0.575;0.464;0.289;0.289;0.289;0.525;0.398;0.391;0.553;0.485;0.486;0.501;0.473;0.311;0.311;0.336;0.473;0.418;0.387;0.152;0.152;0.569;0.649;0.026;0.623;0.625;0.496;0.491;0.336;0.461;0.461;0.0;0.0;0.436
ENSBTAT00000080112_98;0.648;0.648;0.568;0.566;0.419;0.937;0.388;1.0;0.895;0.636;0.663;0.663;0.059;0.059;0.32;0.66;0.785;0.886;0.707;0.744;0.655;0.767;0.462;0.33;0.401;0.438;0.405;0.34;0.389;0.378;0.766;0.676;0.744;0.618;0.679;0.764;0.964;0.935;0.647;0.631;0.982;0.9;0.964;0.06;0.317;0.335;0.043;0.317;0.367;0.042;0.345;0.152;0.603;0.329;0.329;0.579;0.24;0.078;0.326;0.361;0.361;0.39;0.579;0.059;0.059;0.124;0.622;0.738;0.78;0.836;0.318;0.53;0.673;0.673;0.673;0.618;0.685;0.702;0.867;0.702;0.632;0.263;0.246;0.059;0.059;0.479;0.361;0.662;0.199;0.349;0.349;0.354;0.335;0.0;0.324;0.314;0.637;0.249;0.226;0.184;0.184;0.015;0.0;0.152
ENSBTAT00000082719_98;0.639;0.639;0.673;0.677;0.387;0.868;0.487;0.895;1.0;0.627;0.655;0.655;0.29;0.29;0.489;0.651;0.778;0.891;0.742;0.901;0.81;0.776;0.405;0.432;0.351;0.384;0.354;0.28;0.344;0.361;0.767;0.67;0.736;0.722;0.783;0.805;0.968;0.914;0.659;0.637;0.974;0.909;0.968;0.291;0.541;0.505;0.029;0.541;0.451;0.022;0.52;0.391;0.597;0.326;0.326;0.575;0.238;0.077;0.324;0.358;0.358;0.387;0.575;0.29;0.29;0.0;0.742;0.635;0.836;0.894;0.485;0.642;0.664;0.664;0.664;0.715;0.617;0.607;0.857;0.702;0.646;0.282;0.266;0.29;0.29;0.473;0.358;0.656;0.197;0.345;0.345;0.479;0.549;0.024;0.533;0.529;0.655;0.271;0.295;0.409;0.409;0.0;0.0;0.391
ENSBTAT00000019309_98;0.894;0.894;0.784;0.78;0.47;0.632;0.452;0.636;0.627;1.0;0.79;0.79;0.0;0.0;0.606;0.888;0.902;0.9;0.839;0.778;0.802;0.9;0.456;0.235;0.134;0.132;0.135;0.231;0.236;0.233;0.857;0.831;0.918;0.75;0.737;0.857;0.9;0.902;0.888;0.897;0.858;0.815;0.9;0.0;0.616;0.609;0.0;0.616;0.649;0.0;0.616;0.512;0.538;0.0;0.0;0.373;0.412;0.143;0.567;0.634;0.613;0.502;0.373;0.0;0.0;0.0;0.798;0.848;0.807;0.839;0.606;0.689;0.686;0.686;0.686;0.762;0.792;0.788;0.902;0.896;0.886;0.342;0.318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.622;0.614;0.0;0.607;0.571;0.888;0.321;0.536;0.528;0.528;0.0;0.0;0.512
