;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;1.0;1.0;1.0;0.582;0.582;0.989;0.582;1.0;0.581;0.942;0.977;1.0;0.942;1.0;0.621
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;1.0;1.0;1.0;0.582;0.582;0.989;0.582;1.0;0.581;0.942;0.977;1.0;0.942;1.0;0.621
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;1.0;1.0;1.0;0.582;0.582;0.989;0.582;1.0;0.581;0.942;0.977;1.0;0.942;1.0;0.621
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;1.0;1.0;1.0;0.582;0.582;0.989;0.582;1.0;0.581;0.942;0.977;1.0;0.942;1.0;0.621
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;1.0;1.0;1.0;0.582;0.582;0.989;0.582;1.0;0.581;0.942;0.977;1.0;0.942;1.0;0.621
transcript11_ENSHGLG00000019563;0.074;0.074;0.074;0.074;0.074;1.0;0.074;0.857;1.0;0.076;0.085;0.085;0.077;0.111;0.111;0.078;0.111;0.074;0.14;0.086;0.083;0.081;0.086;0.074;0.119
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;1.0;1.0;1.0;0.582;0.582;0.989;0.582;1.0;0.581;0.942;0.977;1.0;0.942;1.0;0.621
transcript26_ENSHGLG00000019563;0.063;0.063;0.063;0.063;0.063;0.857;0.063;1.0;0.857;0.065;0.07;0.07;0.066;0.093;0.093;0.067;0.093;0.064;0.12;0.074;0.071;0.07;0.074;0.063;0.102
transcript27_ENSHGLG00000019563;0.074;0.074;0.074;0.074;0.074;1.0;0.074;0.857;1.0;0.076;0.085;0.085;0.077;0.111;0.111;0.078;0.111;0.074;0.14;0.086;0.083;0.081;0.086;0.074;0.119
transcript28_ENSHGLG00000019563;0.968;0.968;0.968;0.968;0.968;0.076;0.968;0.065;0.076;1.0;0.958;0.958;0.967;0.567;0.567;0.956;0.567;0.968;0.583;0.907;0.942;0.965;0.907;0.968;0.606
transcript7_ENSHGLG00100006079;1.0;1.0;1.0;1.0;1.0;0.085;1.0;0.07;0.085;0.958;1.0;1.0;1.0;0.597;0.597;0.985;0.597;1.0;0.603;0.937;0.984;1.0;0.937;1.0;0.648
transcript10_ENSHGLG00100006079;1.0;1.0;1.0;1.0;1.0;0.085;1.0;0.07;0.085;0.958;1.0;1.0;1.0;0.597;0.597;0.985;0.597;1.0;0.603;0.937;0.984;1.0;0.937;1.0;0.648
transcript3_ENSPCIG00000036398;1.0;1.0;1.0;1.0;1.0;0.077;1.0;0.066;0.077;0.967;1.0;1.0;1.0;0.309;0.309;0.815;0.309;1.0;0.405;0.865;0.953;0.993;0.865;1.0;0.44
transcript7_ENSPCIG00000036398;0.582;0.582;0.582;0.582;0.582;0.111;0.582;0.093;0.111;0.567;0.597;0.597;0.309;1.0;1.0;0.379;1.0;0.329;0.677;0.344;0.312;0.299;0.344;0.333;0.732
transcript8_ENSPCIG00000036398;0.582;0.582;0.582;0.582;0.582;0.111;0.582;0.093;0.111;0.567;0.597;0.597;0.309;1.0;1.0;0.379;1.0;0.329;0.677;0.344;0.312;0.299;0.344;0.333;0.732
transcript15_ENSPCIG00000036398;0.989;0.989;0.989;0.989;0.989;0.078;0.989;0.067;0.078;0.956;0.985;0.985;0.815;0.379;0.379;1.0;0.379;0.861;0.315;0.766;0.818;0.858;0.766;0.862;0.353
transcript18_ENSPCIG00000036398;0.582;0.582;0.582;0.582;0.582;0.111;0.582;0.093;0.111;0.567;0.597;0.597;0.309;1.0;1.0;0.379;1.0;0.329;0.677;0.344;0.312;0.299;0.344;0.333;0.732
transcript3_ENSMUNG00000007775;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.064;0.074;0.968;1.0;1.0;1.0;0.329;0.329;0.861;0.329;1.0;0.418;0.863;0.954;0.987;0.863;1.0;0.449
transcript8_ENSMUNG00000002377;0.581;0.581;0.581;0.581;0.581;0.14;0.581;0.12;0.14;0.583;0.603;0.603;0.405;0.677;0.677;0.315;0.677;0.418;1.0;0.485;0.418;0.424;0.485;0.418;0.954
