;transcript52_ENSMUGG00000013592;transcript55_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript7_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript7_ENSPEMG00000024651;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript54_ENSCGRG00015005362;transcript53_ENSCGRG00015005362
transcript52_ENSMUGG00000013592;1.0;0.549;0.655;0.235;0.259;0.204;0.204;0.269;0.526;0.541;0.286;0.714;0.269;0.269;0.269;0.563;0.529
transcript55_ENSCGRG00015005362;0.549;1.0;0.775;0.329;0.342;0.301;0.301;0.371;0.921;0.895;0.329;0.636;0.371;0.371;0.371;0.986;0.887
transcript52_ENSCGRG00015005362;0.655;0.775;1.0;0.197;0.217;0.174;0.174;0.206;0.737;0.757;0.197;0.534;0.206;0.206;0.206;0.789;0.69
transcript7_MGP-CAROLIEiJ-G0020234;0.235;0.329;0.197;1.0;0.821;0.778;0.778;0.885;0.303;0.311;0.769;0.339;0.885;0.885;0.885;0.324;0.359
transcript58_MGP-CAROLIEiJ-G0020234;0.259;0.342;0.217;0.821;1.0;0.893;0.893;0.742;0.368;0.378;0.645;0.4;0.742;0.742;0.742;0.338;0.373
transcript57_MGP-CAROLIEiJ-G0020234;0.204;0.301;0.174;0.778;0.893;1.0;1.0;0.7;0.329;0.338;0.6;0.35;0.7;0.7;0.7;0.297;0.328
transcript59_MGP-CAROLIEiJ-G0020234;0.204;0.301;0.174;0.778;0.893;1.0;1.0;0.7;0.329;0.338;0.6;0.35;0.7;0.7;0.7;0.297;0.328
transcript7_ENSMUGG00000013649;0.269;0.371;0.206;0.885;0.742;0.7;0.7;1.0;0.342;0.351;0.885;0.39;1.0;1.0;1.0;0.366;0.406
transcript28_ENSMUGG00000013649;0.526;0.921;0.737;0.303;0.368;0.329;0.329;0.342;1.0;0.974;0.303;0.692;0.342;0.342;0.342;0.934;0.842
transcript42_ENSMUGG00000013649;0.541;0.895;0.757;0.311;0.378;0.338;0.338;0.351;0.974;1.0;0.311;0.711;0.351;0.351;0.351;0.908;0.816
transcript7_ENSMUGG00000013592;0.286;0.329;0.197;0.769;0.645;0.6;0.6;0.885;0.303;0.311;1.0;0.411;0.885;0.885;0.885;0.324;0.359
transcript42_ENSMUGG00000013592;0.714;0.636;0.534;0.339;0.4;0.35;0.35;0.39;0.692;0.711;0.411;1.0;0.39;0.39;0.39;0.649;0.622
transcript7_ENSPEMG00000024651;0.269;0.371;0.206;0.885;0.742;0.7;0.7;1.0;0.342;0.351;0.885;0.39;1.0;1.0;1.0;0.366;0.406
transcript7_ENSCGRG00015005362;0.269;0.371;0.206;0.885;0.742;0.7;0.7;1.0;0.342;0.351;0.885;0.39;1.0;1.0;1.0;0.366;0.406
transcript7_ENSCGRG00000018457;0.269;0.371;0.206;0.885;0.742;0.7;0.7;1.0;0.342;0.351;0.885;0.39;1.0;1.0;1.0;0.366;0.406
transcript54_ENSCGRG00015005362;0.563;0.986;0.789;0.324;0.338;0.297;0.297;0.366;0.934;0.908;0.324;0.649;0.366;0.366;0.366;1.0;0.901
transcript53_ENSCGRG00015005362;0.529;0.887;0.69;0.359;0.373;0.328;0.328;0.406;0.842;0.816;0.359;0.622;0.406;0.406;0.406;0.901;1.0
