;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;1.0;0.182;0.909;0.455;0.091;0.091;0.909;1.0;0.909
ENST00000308664_90_90;1.0;1.0;0.154;0.786;0.429;0.083;0.154;0.786;1.0;0.786
ENST00000377685_90_90;0.182;0.154;1.0;0.143;0.0;0.0;0.0;0.154;0.167;0.154
ENST00000539276_90_90;0.909;0.786;0.143;1.0;0.615;0.077;0.143;1.0;0.786;1.0
ENST00000548169_90_90;0.455;0.429;0.0;0.615;1.0;0.125;0.222;0.615;0.429;0.615
ENST00000552636_90_90;0.091;0.083;0.0;0.077;0.125;1.0;0.0;0.077;0.083;0.077
ENST00000553144_90_90;0.091;0.154;0.0;0.143;0.222;0.0;1.0;0.154;0.167;0.154
ENSMUST00000031423_90_90;0.909;0.786;0.154;1.0;0.615;0.077;0.154;1.0;0.75;1.0
ENSMUST00000177974_90_90;1.0;1.0;0.167;0.786;0.429;0.083;0.167;0.75;1.0;0.75
ENSMUST00000179939_90_90;0.909;0.786;0.154;1.0;0.615;0.077;0.154;1.0;0.75;1.0
