;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.774;0.789;0.718;0.314;0.369;0.757;0.733;0.933;0.957;0.669;0.045;0.187
ENST00000237247_90_90;0.774;1.0;0.911;0.691;0.267;0.343;0.633;0.61;0.652;0.674;0.543;0.086;0.203
ENST00000371037_90_90;0.789;0.911;1.0;0.716;0.314;0.356;0.635;0.612;0.637;0.658;0.553;0.049;0.202
ENST00000371039_90_90;0.718;0.691;0.716;1.0;0.36;0.419;0.649;0.667;0.673;0.657;0.623;0.06;0.203
ENST00000424320_90_90;0.314;0.267;0.314;0.36;1.0;0.0;0.329;0.338;0.272;0.266;0.238;0.13;0.539
ENST00000435165_90_90;0.369;0.343;0.356;0.419;0.0;1.0;0.452;0.422;0.338;0.362;0.566;0.0;0.0
ENSMUST00000066824_90_90;0.757;0.633;0.635;0.649;0.329;0.452;1.0;0.97;0.774;0.798;0.812;0.107;0.283
ENSMUST00000072481_90_90;0.733;0.61;0.612;0.667;0.338;0.422;0.97;1.0;0.793;0.774;0.782;0.11;0.292
ENSMUST00000080728_90_90;0.933;0.652;0.637;0.673;0.272;0.338;0.774;0.793;1.0;0.976;0.628;0.087;0.233
ENSMUST00000106882_90_90;0.957;0.674;0.658;0.657;0.266;0.362;0.798;0.774;0.976;1.0;0.652;0.085;0.228
ENSMUST00000149547_90_90;0.669;0.543;0.553;0.623;0.238;0.566;0.812;0.782;0.628;0.652;1.0;0.0;0.132
ENSMUST00000156596_90_90;0.045;0.086;0.049;0.06;0.13;0.0;0.107;0.11;0.087;0.085;0.0;1.0;0.374
ENSMUST00000183855_90_90;0.187;0.203;0.202;0.203;0.539;0.0;0.283;0.292;0.233;0.228;0.132;0.374;1.0
