;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.96;0.612;0.967;0.963;0.999;0.232;0.256;0.998;0.963;1.0;0.967;0.256;0.245;0.032;0.957
ENSCAFT00000001399_90_90;0.96;1.0;0.634;0.993;0.997;0.961;0.24;0.265;0.96;0.997;0.96;0.993;0.265;0.254;0.033;0.983
ENSCAFT00000001401_90_90;0.612;0.634;1.0;0.633;0.635;0.612;0.373;0.0;0.611;0.635;0.611;0.632;0.0;0.394;0.052;0.622
ENST00000378735_90_90;0.967;0.993;0.633;1.0;0.996;0.967;0.239;0.264;0.966;0.995;0.966;1.0;0.264;0.254;0.033;0.99
ENST00000378746_90_90;0.963;0.997;0.635;0.996;1.0;0.963;0.24;0.265;0.961;1.0;0.962;0.995;0.265;0.255;0.033;0.985
ENST00000403231_90_90;0.999;0.961;0.612;0.967;0.963;1.0;0.231;0.255;0.995;0.963;0.999;0.967;0.255;0.246;0.032;0.958
ENST00000428744_90_90;0.232;0.24;0.373;0.239;0.24;0.231;1.0;0.0;0.231;0.24;0.232;0.239;0.0;0.937;0.138;0.242
ENST00000450441_90_90;0.256;0.265;0.0;0.264;0.265;0.255;0.0;1.0;0.255;0.265;0.255;0.264;1.0;0.0;0.0;0.267
ENST00000618515_90_90;0.998;0.96;0.611;0.966;0.961;0.995;0.231;0.255;1.0;0.962;0.997;0.966;0.256;0.247;0.032;0.956
ENSMUST00000057330_90_90;0.963;0.997;0.635;0.995;1.0;0.963;0.24;0.265;0.962;1.0;0.963;0.996;0.265;0.255;0.033;0.986
ENSMUST00000118353_90_90;1.0;0.96;0.611;0.966;0.962;0.999;0.232;0.255;0.997;0.963;1.0;0.967;0.255;0.246;0.032;0.957
ENSMUST00000120613_90_90;0.967;0.993;0.632;1.0;0.995;0.967;0.239;0.264;0.966;0.996;0.967;1.0;0.264;0.254;0.033;0.99
ENSMUST00000130037_90_90;0.256;0.265;0.0;0.264;0.265;0.255;0.0;1.0;0.256;0.265;0.255;0.264;1.0;0.0;0.0;0.267
ENSMUST00000132496_90_90;0.245;0.254;0.394;0.254;0.255;0.246;0.937;0.0;0.247;0.255;0.246;0.254;0.0;1.0;0.13;0.257
ENSMUST00000132653_90_90;0.032;0.033;0.052;0.033;0.033;0.032;0.138;0.0;0.032;0.033;0.032;0.033;0.0;0.13;1.0;0.034
ENSMUST00000173744_90_90;0.957;0.983;0.622;0.99;0.985;0.958;0.242;0.267;0.956;0.986;0.957;0.99;0.267;0.257;0.034;1.0
