;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.92;0.971;0.937;0.929;0.924;0.922;0.914;0.984;0.962;0.962
transcript9_MGP-PahariEiJ-G0020237;0.92;1.0;0.893;0.982;0.99;0.846;0.844;0.837;0.902;0.881;0.881
transcript37_MGP-PahariEiJ-G0020237;0.971;0.893;1.0;0.909;0.901;0.953;0.951;0.944;0.97;0.992;0.992
transcript39_MGP-PahariEiJ-G0020237;0.937;0.982;0.909;1.0;0.992;0.863;0.859;0.853;0.92;0.899;0.899
transcript49_MGP-PahariEiJ-G0020237;0.929;0.99;0.901;0.992;1.0;0.855;0.853;0.845;0.911;0.891;0.891
transcript50_MGP-PahariEiJ-G0020237;0.924;0.846;0.953;0.863;0.855;1.0;0.94;0.932;0.921;0.943;0.943
transcript51_MGP-PahariEiJ-G0020237;0.922;0.844;0.951;0.859;0.853;0.94;1.0;0.992;0.92;0.941;0.941
transcript52_MGP-PahariEiJ-G0020237;0.914;0.837;0.944;0.853;0.845;0.932;0.992;1.0;0.912;0.933;0.933
transcript36_ENSRNOG00000031503;0.984;0.902;0.97;0.92;0.911;0.921;0.92;0.912;1.0;0.976;0.976
transcript37_ENSRNOG00000031503;0.962;0.881;0.992;0.899;0.891;0.943;0.941;0.933;0.976;1.0;1.0
transcript44_ENSRNOG00000031503;0.962;0.881;0.992;0.899;0.891;0.943;0.941;0.933;0.976;1.0;1.0
