;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.832;0.829;0.774;0.772;0.832;0.709;0.562;0.759;0.759;0.759;0.645;0.674;0.707;0.804
transcript6_ENSECAG00000007947;0.832;1.0;0.967;0.801;0.876;1.0;0.81;0.53;0.736;0.736;0.736;0.613;0.677;0.697;0.781
transcript7_ENSECAG00000007947;0.829;0.967;1.0;0.826;0.906;0.967;0.838;0.546;0.757;0.757;0.757;0.63;0.698;0.717;0.803
transcript7_ENSMLUG00000027828;0.774;0.801;0.826;1.0;0.756;0.801;0.708;0.677;0.833;0.833;0.833;0.719;0.713;0.821;0.852
transcript19_ENSECAG00000007947;0.772;0.876;0.906;0.756;1.0;0.876;0.925;0.557;0.794;0.794;0.794;0.659;0.735;0.752;0.763
transcript20_ENSECAG00000007947;0.832;1.0;0.967;0.801;0.876;1.0;0.81;0.53;0.736;0.736;0.736;0.613;0.677;0.697;0.781
transcript21_ENSECAG00000007947;0.709;0.81;0.838;0.708;0.925;0.81;1.0;0.583;0.76;0.76;0.76;0.622;0.711;0.758;0.705
transcript13_ENSMLUG00000027828;0.562;0.53;0.546;0.677;0.557;0.53;0.583;1.0;0.626;0.626;0.626;0.536;0.56;0.672;0.593
transcript15_ENSCGRG00015005362;0.759;0.736;0.757;0.833;0.794;0.736;0.76;0.626;1.0;1.0;1.0;0.837;0.752;0.93;0.928
transcript15_ENSCGRG00000018457;0.759;0.736;0.757;0.833;0.794;0.736;0.76;0.626;1.0;1.0;1.0;0.837;0.752;0.93;0.928
transcript15_ENSCGRG00001010245;0.759;0.736;0.757;0.833;0.794;0.736;0.76;0.626;1.0;1.0;1.0;0.837;0.752;0.93;0.928
transcript15_ENSPEMG00000024651;0.645;0.613;0.63;0.719;0.659;0.613;0.622;0.536;0.837;0.837;0.837;1.0;0.653;0.767;0.777
transcript15_ENSSTOG00000019743;0.674;0.677;0.698;0.713;0.735;0.677;0.711;0.56;0.752;0.752;0.752;0.653;1.0;0.75;0.698
transcript36_ENSCGRG00000018457;0.707;0.697;0.717;0.821;0.752;0.697;0.758;0.672;0.93;0.93;0.93;0.767;0.75;1.0;0.863
transcript25_ENSCPOG00000024843;0.804;0.781;0.803;0.852;0.763;0.781;0.705;0.593;0.928;0.928;0.928;0.777;0.698;0.863;1.0
