;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.909;0.453;0.576;0.957;0.859;0.115;0.324;0.279;0.385;0.713;0.905;1.0
ENSCAFT00000009525_90_90;0.909;1.0;0.501;0.637;0.859;0.952;0.126;0.359;0.233;0.426;0.788;1.0;0.905
ENST00000305852_90_90;0.453;0.501;1.0;0.621;0.462;0.508;0.0;0.604;0.316;0.756;0.315;0.52;0.467
ENST00000357996_90_90;0.576;0.637;0.621;1.0;0.573;0.629;0.239;0.422;0.21;0.473;0.544;0.66;0.594
ENST00000379245_90_90;0.957;0.859;0.462;0.573;1.0;0.909;0.139;0.292;0.22;0.373;0.735;0.852;0.954
ENST00000405912_90_90;0.859;0.952;0.508;0.629;0.909;1.0;0.151;0.32;0.174;0.408;0.807;0.948;0.852
ENST00000413938_90_90;0.115;0.126;0.0;0.239;0.139;0.151;1.0;0.0;0.0;0.0;0.187;0.129;0.117
ENST00000414288_90_90;0.324;0.359;0.604;0.422;0.292;0.32;0.0;1.0;0.398;0.603;0.177;0.373;0.335
ENST00000432869_90_90;0.279;0.233;0.316;0.21;0.22;0.174;0.0;0.398;1.0;0.316;0.035;0.245;0.292
ENST00000441005_90_90;0.385;0.426;0.756;0.473;0.373;0.408;0.0;0.603;0.316;1.0;0.228;0.443;0.397
ENST00000451623_90_90;0.713;0.788;0.315;0.544;0.735;0.807;0.187;0.177;0.035;0.228;1.0;0.776;0.7
ENSMUST00000070039_90_90;0.905;1.0;0.52;0.66;0.852;0.948;0.129;0.373;0.245;0.443;0.776;1.0;0.905
ENSMUST00000112487_90_90;1.0;0.905;0.467;0.594;0.954;0.852;0.117;0.335;0.292;0.397;0.7;0.905;1.0
