;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.692;0.714;0.25;0.091;0.714;0.154;0.692;0.214;0.154;0.385
ENST00000348628_90_90;0.692;1.0;0.846;0.364;0.091;0.846;0.25;1.0;0.214;0.25;0.5
ENST00000398376_90_90;0.714;0.846;1.0;0.308;0.077;1.0;0.214;0.846;0.357;0.214;0.429
ENST00000510347_90_90;0.25;0.364;0.308;1.0;0.0;0.308;0.0;0.364;0.0;0.6;0.375
ENST00000515758_90_90;0.091;0.091;0.077;0.0;1.0;0.077;0.0;0.091;0.0;0.0;0.143
ENSMUST00000025519_90_90;0.714;0.846;1.0;0.308;0.077;1.0;0.214;0.846;0.357;0.214;0.429
ENSMUST00000039904_90_90;0.154;0.25;0.214;0.0;0.0;0.214;1.0;0.25;0.667;0.0;0.0
ENSMUST00000102888_90_90;0.692;1.0;0.846;0.364;0.091;0.846;0.25;1.0;0.214;0.25;0.5
ENSMUST00000115295_90_90;0.214;0.214;0.357;0.0;0.0;0.357;0.667;0.214;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.154;0.25;0.214;0.6;0.0;0.214;0.0;0.25;0.0;1.0;0.222
ENSMUST00000137805_90_90;0.385;0.5;0.429;0.375;0.143;0.429;0.0;0.5;0.0;0.222;1.0
