;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.997;0.996;0.03;0.651;0.18;0.761;0.696;0.062;0.188;0.761
ENST00000308924_90_90;0.997;1.0;0.992;0.029;0.646;0.18;0.758;0.692;0.06;0.189;0.766
ENST00000450554_90_90;0.996;0.992;1.0;0.03;0.652;0.181;0.764;0.698;0.06;0.19;0.758
ENST00000587196_90_90;0.03;0.029;0.03;1.0;0.0;0.0;0.0;0.0;0.069;0.0;0.0
ENST00000590551_90_90;0.651;0.646;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENST00000592874_90_90;0.18;0.18;0.181;0.0;0.0;1.0;0.181;0.0;0.0;0.905;0.18
ENSMUST00000005041_90_90;0.761;0.758;0.764;0.0;0.652;0.181;1.0;0.652;0.119;0.2;0.992
ENSMUST00000165399_90_90;0.696;0.692;0.698;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENSMUST00000207097_90_90;0.062;0.06;0.06;0.069;0.0;0.0;0.119;0.0;1.0;0.0;0.118
ENSMUST00000207498_90_90;0.188;0.189;0.19;0.0;0.0;0.905;0.2;0.0;0.0;1.0;0.199
ENSMUST00000209099_90_90;0.761;0.766;0.758;0.0;0.646;0.18;0.992;0.646;0.118;0.199;1.0
