;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.25;0.05;0.15;0.05;0.125;0.125;0.125;0.125;0.875;0.6;0.6;0.6;0.85;0.55;0.875;0.05;0.575;0.825;0.125;0.93;0.907;0.186;0.977;0.907;0.349
ENST00000587805_90_90;0.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.239;0.314;0.314;0.314;0.244;0.333;0.239;0.0;0.324;0.25;0.0;0.422;0.4;0.0;0.404;0.432;0.0
ENST00000588116_90_90;0.05;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.074;0.074;0.074;0.054;0.08;0.053;0.0;0.077;0.056;0.0;0.044;0.045;0.0;0.043;0.045;0.0
ENST00000589774_90_90;0.15;0.0;0.0;1.0;0.429;0.143;0.143;0.143;0.857;0.189;0.269;0.269;0.269;0.162;0.292;0.189;0.25;0.231;0.2;0.143;0.133;0.136;0.091;0.128;0.111;0.5
ENST00000590432_90_90;0.05;0.0;0.0;0.429;1.0;0.2;0.2;0.2;0.5;0.081;0.115;0.115;0.115;0.083;0.125;0.081;0.5;0.12;0.086;0.2;0.044;0.045;0.143;0.043;0.045;0.167
ENST00000590538_90_90;0.125;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.111;0.114;0.833;0.106;0.114;0.417
ENST00000591610_90_90;0.125;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.111;0.114;0.833;0.106;0.114;0.417
ENST00000592167_90_90;0.125;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.111;0.114;0.833;0.106;0.114;0.417
ENST00000593014_90_90;0.125;0.0;0.0;0.857;0.5;0.154;0.154;0.154;1.0;0.162;0.231;0.231;0.231;0.135;0.25;0.162;0.286;0.192;0.171;0.154;0.111;0.114;0.1;0.106;0.089;0.417
ENST00000610402_90_90;0.875;0.239;0.053;0.189;0.081;0.045;0.045;0.045;0.162;1.0;0.703;0.703;0.703;0.973;0.649;1.0;0.053;0.676;0.946;0.045;0.667;0.646;0.025;0.708;0.646;0.175
ENST00000612035_90_90;0.6;0.314;0.074;0.269;0.115;0.061;0.061;0.061;0.231;0.703;1.0;1.0;1.0;0.676;0.923;0.703;0.074;0.962;0.649;0.061;0.556;0.533;0.033;0.532;0.533;0.233
ENST00000612116_90_90;0.6;0.314;0.074;0.269;0.115;0.061;0.061;0.061;0.231;0.703;1.0;1.0;1.0;0.676;0.923;0.703;0.074;0.962;0.649;0.061;0.556;0.533;0.033;0.532;0.533;0.233
ENST00000614600_90_90;0.6;0.314;0.074;0.269;0.115;0.061;0.061;0.061;0.231;0.703;1.0;1.0;1.0;0.676;0.923;0.703;0.074;0.962;0.649;0.061;0.556;0.533;0.033;0.532;0.533;0.233
