transcript;gene
transcript8_ENSHGLG00100003156;ENSHGLG00100003156
transcript10_ENSHGLG00100003156;ENSHGLG00100003156
transcript20_ENSHGLG00100003156;ENSHGLG00100003156
transcript8_ENSHGLG00000019563;ENSHGLG00000019563
transcript10_ENSHGLG00000019563;ENSHGLG00000019563
transcript11_ENSHGLG00000019563;ENSHGLG00000019563
transcript13_ENSHGLG00000019563;ENSHGLG00000019563
transcript26_ENSHGLG00000019563;ENSHGLG00000019563
transcript27_ENSHGLG00000019563;ENSHGLG00000019563
transcript28_ENSHGLG00000019563;ENSHGLG00000019563
transcript7_ENSHGLG00100006079;ENSHGLG00100006079
transcript10_ENSHGLG00100006079;ENSHGLG00100006079
transcript3_ENSPCIG00000036398;ENSPCIG00000036398
transcript7_ENSPCIG00000036398;ENSPCIG00000036398
transcript8_ENSPCIG00000036398;ENSPCIG00000036398
transcript15_ENSPCIG00000036398;ENSPCIG00000036398
transcript18_ENSPCIG00000036398;ENSPCIG00000036398
transcript3_ENSMUNG00000007775;ENSMUNG00000007775
transcript8_ENSMUNG00000002377;ENSMUNG00000002377
transcript15_ENSMUNG00000002377;ENSMUNG00000002377
transcript16_ENSMUNG00000002377;ENSMUNG00000002377
transcript22_ENSMUNG00000002377;ENSMUNG00000002377
transcript23_ENSMUNG00000002377;ENSMUNG00000002377
transcript3_ENSMUNG00000002391;ENSMUNG00000002391
transcript10_ENSMUNG00000002391;ENSMUNG00000002391
