;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.993;0.783;0.275;0.209;0.275;0.209;0.183;0.159;0.859;0.734;0.859;0.361
ENST00000278422_90_90;0.993;1.0;0.798;0.294;0.233;0.294;0.233;0.214;0.191;0.744;0.601;0.744;0.338
ENST00000378312_90_90;0.783;0.798;1.0;0.366;0.199;0.366;0.199;0.262;0.229;0.547;0.404;0.547;0.13
ENST00000524972_90_90;0.275;0.294;0.366;1.0;0.425;1.0;0.425;0.582;0.59;0.11;0.082;0.11;0.038
ENST00000525035_90_90;0.209;0.233;0.199;0.425;1.0;0.425;1.0;0.504;0.51;0.124;0.153;0.124;0.237
ENST00000528110_90_90;0.275;0.294;0.366;1.0;0.425;1.0;0.425;0.582;0.59;0.11;0.082;0.11;0.038
ENST00000529403_90_90;0.209;0.233;0.199;0.425;1.0;0.425;1.0;0.504;0.51;0.124;0.153;0.124;0.237
ENST00000530114_90_90;0.183;0.214;0.262;0.582;0.504;0.582;0.504;1.0;0.781;0.025;0.03;0.025;0.0
ENST00000533602_90_90;0.159;0.191;0.229;0.59;0.51;0.59;0.51;0.781;1.0;0.0;0.0;0.0;0.0
ENSMUST00000053664_90_90;0.859;0.744;0.547;0.11;0.124;0.11;0.124;0.025;0.0;1.0;0.821;1.0;0.393
ENSMUST00000111664_90_90;0.734;0.601;0.404;0.082;0.153;0.082;0.153;0.03;0.0;0.821;1.0;0.821;0.49
ENSMUST00000111665_90_90;0.859;0.744;0.547;0.11;0.124;0.11;0.124;0.025;0.0;1.0;0.821;1.0;0.393
ENSMUST00000152149_90_90;0.361;0.338;0.13;0.038;0.237;0.038;0.237;0.0;0.0;0.393;0.49;0.393;1.0
