;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.984;0.948;1.0;0.984;0.859;0.969;0.9;0.565;0.89;0.969;0.582;0.582;0.902;0.961;0.557
transcript19_ppan;0.984;1.0;0.964;0.984;0.969;0.844;0.984;0.914;0.556;0.878;0.968;0.574;0.574;0.89;0.976;0.548
transcript20_ppan;0.948;0.964;1.0;0.948;0.933;0.811;0.948;0.949;0.535;0.85;0.933;0.555;0.555;0.861;0.948;0.528
transcript12_ptro;1.0;0.984;0.948;1.0;0.992;0.942;0.976;0.907;0.992;0.983;0.976;0.983;0.983;0.976;0.968;1.0
transcript12_hsap;0.984;0.969;0.933;0.992;1.0;0.865;0.984;0.915;0.576;0.864;0.953;0.578;0.578;0.883;0.945;0.556
transcript18_hsap;0.859;0.844;0.811;0.942;0.865;1.0;0.85;0.843;0.604;0.817;0.822;0.592;0.592;0.845;0.815;0.583
transcript19_hsap;0.969;0.984;0.948;0.976;0.984;0.85;1.0;0.93;0.567;0.852;0.953;0.569;0.569;0.871;0.96;0.547
transcript20_hsap;0.9;0.914;0.949;0.907;0.915;0.843;0.93;1.0;0.527;0.795;0.884;0.53;0.53;0.814;0.899;0.508
transcript21_hsap;0.565;0.556;0.535;0.992;0.576;0.604;0.567;0.527;1.0;0.605;0.545;0.93;0.93;0.589;0.541;0.97
transcript11_ggor;0.89;0.878;0.85;0.983;0.864;0.817;0.852;0.795;0.605;1.0;0.878;0.656;0.656;0.971;0.882;0.606
transcript12_ggor;0.969;0.968;0.933;0.976;0.953;0.822;0.953;0.884;0.545;0.878;1.0;0.577;0.577;0.893;0.976;0.54
transcript16_ggor;0.582;0.574;0.555;0.983;0.578;0.592;0.569;0.53;0.93;0.656;0.577;1.0;1.0;0.636;0.579;0.927
transcript17_ggor;0.582;0.574;0.555;0.983;0.578;0.592;0.569;0.53;0.93;0.656;0.577;1.0;1.0;0.636;0.579;0.927
transcript18_ggor;0.902;0.89;0.861;0.976;0.883;0.845;0.871;0.814;0.589;0.971;0.893;0.636;0.636;1.0;0.897;0.587
transcript19_ggor;0.961;0.976;0.948;0.968;0.945;0.815;0.96;0.899;0.541;0.882;0.976;0.579;0.579;0.897;1.0;0.535
transcript8_pabe;0.557;0.548;0.528;1.0;0.556;0.583;0.547;0.508;0.97;0.606;0.54;0.927;0.927;0.587;0.535;1.0
