;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.649;0.931;0.913;0.931;0.3;0.924;0.904;0.812;0.089;0.458;0.532;0.19
ENSCAFT00000043849_90_90;0.649;1.0;0.75;0.645;0.75;0.454;0.776;0.664;0.577;0.152;0.477;0.56;0.232
ENST00000242480_90_90;0.931;0.75;1.0;0.867;1.0;0.347;1.0;0.852;0.772;0.11;0.416;0.485;0.171
ENST00000411732_90_90;0.913;0.645;0.867;1.0;0.867;0.214;0.852;1.0;0.902;0.03;0.401;0.476;0.203
ENST00000439032_90_90;0.931;0.75;1.0;0.867;1.0;0.347;1.0;0.852;0.772;0.11;0.416;0.485;0.171
ENST00000637191_90_90;0.3;0.454;0.347;0.214;0.347;1.0;0.362;0.213;0.134;0.297;0.482;0.428;0.479
ENSMUST00000048289_90_90;0.924;0.776;1.0;0.852;1.0;0.362;1.0;0.856;0.756;0.107;0.42;0.486;0.19
ENSMUST00000105438_90_90;0.904;0.664;0.852;1.0;0.852;0.213;0.856;1.0;0.879;0.029;0.405;0.477;0.225
ENSMUST00000127820_90_90;0.812;0.577;0.772;0.902;0.772;0.134;0.756;0.879;1.0;0.0;0.296;0.368;0.104
ENSMUST00000130933_90_90;0.089;0.152;0.11;0.03;0.11;0.297;0.107;0.029;0.0;1.0;0.153;0.136;0.087
ENSMUST00000145754_90_90;0.458;0.477;0.416;0.401;0.416;0.482;0.42;0.405;0.296;0.153;1.0;0.879;0.38
ENSMUST00000145936_90_90;0.532;0.56;0.485;0.476;0.485;0.428;0.486;0.477;0.368;0.136;0.879;1.0;0.337
ENSMUST00000146986_90_90;0.19;0.232;0.171;0.203;0.171;0.479;0.19;0.225;0.104;0.087;0.38;0.337;1.0
