;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.412;0.287;0.444;0.393;0.384;0.367;0.615;0.828;0.615;0.615;0.828
ENST00000422393_90_90;0.412;1.0;0.562;0.898;0.689;0.895;0.841;0.53;0.514;0.53;0.454;0.412
ENST00000433491_90_90;0.287;0.562;1.0;0.611;0.784;0.512;0.493;0.281;0.408;0.281;0.224;0.287
ENST00000434483_90_90;0.444;0.898;0.611;1.0;0.755;0.807;0.762;0.472;0.567;0.472;0.4;0.444
ENST00000443502_90_90;0.393;0.689;0.784;0.755;1.0;0.624;0.596;0.352;0.53;0.352;0.289;0.393
ENST00000455268_90_90;0.384;0.895;0.512;0.807;0.624;1.0;0.936;0.596;0.471;0.596;0.515;0.384
ENST00000494475_90_90;0.367;0.841;0.493;0.762;0.596;0.936;1.0;0.647;0.443;0.647;0.561;0.367
ENST00000612423_90_90;0.615;0.53;0.281;0.472;0.352;0.596;0.647;1.0;0.687;1.0;0.904;0.615
ENST00000619236_90_90;0.828;0.514;0.408;0.567;0.53;0.471;0.443;0.687;1.0;0.687;0.615;0.828
ENST00000621218_90_90;0.615;0.53;0.281;0.472;0.352;0.596;0.647;1.0;0.687;1.0;0.904;0.615
ENSMUST00000033800_90_90;0.615;0.454;0.224;0.4;0.289;0.515;0.561;0.904;0.615;0.904;1.0;0.687
ENSMUST00000113085_90_90;0.828;0.412;0.287;0.444;0.393;0.384;0.367;0.615;0.828;0.615;0.687;1.0
