;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;;0.0;0.0;0.0;0.0;0.92;0.39;0.115;0.296;0.563;0.074;0.881
ENST00000370197_90_90;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000370198_90_90;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000426398_90_90;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000609116_90_90;0.0;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000029780_90_90;0.92;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000195902_90_90;0.39;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000197387_90_90;0.115;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000197464_90_90;0.296;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000197833_90_90;0.563;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000198403_90_90;0.074;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000200097_90_90;0.881;0.0;0.0;0.0;0.0;;;;;;;
