;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.974;0.905;0.905;0.557;0.487;0.958;0.919;0.953;0.944;0.97;0.885;0.499;0.995;0.88
ENST00000248933_90_90;0.974;1.0;0.934;0.935;0.531;0.466;0.985;0.951;0.98;0.914;0.942;0.853;0.511;0.971;0.849
ENST00000343706_90_90;0.905;0.934;1.0;0.907;0.466;0.5;0.919;0.923;0.954;0.821;0.849;0.874;0.416;0.877;0.937
ENST00000360929_90_90;0.905;0.935;0.907;1.0;0.466;0.427;0.92;0.923;0.954;0.821;0.849;0.76;0.51;0.877;0.816
ENST00000402979_90_90;0.557;0.531;0.466;0.466;1.0;0.853;0.536;0.5;0.512;0.618;0.648;0.555;0.762;0.634;0.55
ENST00000403121_90_90;0.487;0.466;0.5;0.427;0.853;1.0;0.469;0.461;0.473;0.52;0.55;0.556;0.59;0.539;0.606
ENST00000404234_90_90;0.958;0.985;0.919;0.92;0.536;0.469;1.0;0.964;0.966;0.941;0.971;0.879;0.519;0.942;0.873
ENST00000529632_90_90;0.919;0.951;0.923;0.923;0.5;0.461;0.964;1.0;0.97;0.934;0.906;0.87;0.454;0.881;0.875
ENST00000629590_90_90;0.953;0.98;0.954;0.954;0.512;0.473;0.966;0.97;1.0;0.881;0.909;0.821;0.477;0.938;0.878
ENSMUST00000075387_90_90;0.944;0.914;0.821;0.821;0.618;0.52;0.941;0.934;0.881;1.0;0.974;0.94;0.47;0.952;0.885
ENSMUST00000079491_90_90;0.97;0.942;0.849;0.849;0.648;0.55;0.971;0.906;0.909;0.974;1.0;0.915;0.495;0.976;0.911
ENSMUST00000197425_90_90;0.885;0.853;0.874;0.76;0.555;0.556;0.879;0.87;0.821;0.94;0.915;1.0;0.412;0.893;0.941
ENSMUST00000200575_90_90;0.499;0.511;0.416;0.51;0.762;0.59;0.519;0.454;0.477;0.47;0.495;0.412;1.0;0.489;0.406
ENSMUST00000212480_90_90;0.995;0.971;0.877;0.877;0.634;0.539;0.942;0.881;0.938;0.952;0.976;0.893;0.489;1.0;0.889
ENSMUST00000212758_90_90;0.88;0.849;0.937;0.816;0.55;0.606;0.873;0.875;0.878;0.885;0.911;0.941;0.406;0.889;1.0
