;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.999;0.912;0.139;0.999;0.999;0.158;0.631;0.202;0.999;1.0;0.917;0.141;0.258;0.196;0.258;0.106
ENST00000361346_90_90;0.999;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.999;0.909;0.151;0.258;0.21;0.258;0.113
ENST00000361776_90_90;0.912;0.92;1.0;0.145;0.92;0.92;0.11;0.649;0.186;0.92;0.909;0.999;0.167;0.281;0.232;0.281;0.124
ENST00000372571_90_90;0.139;0.136;0.145;1.0;0.136;0.136;0.0;0.0;0.0;0.136;0.141;0.151;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.999;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.999;0.909;0.151;0.258;0.21;0.258;0.113
ENST00000372573_90_90;0.999;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.999;0.909;0.151;0.258;0.21;0.258;0.113
ENST00000422278_90_90;0.158;0.149;0.11;0.0;0.149;0.149;1.0;0.165;0.0;0.149;0.164;0.12;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.631;0.597;0.649;0.0;0.597;0.597;0.165;1.0;0.273;0.597;0.619;0.681;0.243;0.4;0.338;0.4;0.181
ENST00000454417_90_90;0.202;0.173;0.186;0.0;0.173;0.173;0.0;0.273;1.0;0.173;0.193;0.211;0.226;0.754;0.398;0.754;0.128
ENST00000545068_90_90;0.999;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.999;0.909;0.151;0.258;0.21;0.258;0.113
ENSMUST00000044564_90_90;1.0;0.999;0.909;0.141;0.999;0.999;0.164;0.619;0.193;0.999;1.0;0.92;0.136;0.231;0.19;0.231;0.103
ENSMUST00000106310_90_90;0.917;0.909;0.999;0.151;0.909;0.909;0.12;0.681;0.211;0.909;0.92;1.0;0.148;0.249;0.206;0.249;0.111
ENSMUST00000137560_90_90;0.141;0.151;0.167;0.0;0.151;0.151;0.0;0.243;0.226;0.151;0.136;0.148;1.0;0.416;0.714;0.416;0.77
ENSMUST00000138845_90_90;0.258;0.258;0.281;0.0;0.258;0.258;0.0;0.4;0.754;0.258;0.231;0.249;0.416;1.0;0.588;1.0;0.325
ENSMUST00000160219_90_90;0.196;0.21;0.232;0.0;0.21;0.21;0.0;0.338;0.398;0.21;0.19;0.206;0.714;0.588;1.0;0.588;0.546
ENSMUST00000162267_90_90;0.258;0.258;0.281;0.0;0.258;0.258;0.0;0.4;0.754;0.258;0.231;0.249;0.416;1.0;0.588;1.0;0.325
ENSMUST00000176012_90_90;0.106;0.113;0.124;0.0;0.113;0.113;0.0;0.181;0.128;0.113;0.103;0.111;0.77;0.325;0.546;0.325;1.0
