;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.885;0.92;0.92;0.284;0.292;0.269;0.632;0.636;0.618;0.424;0.609;0.688;0.532;0.429;0.437;0.437;0.423;0.443;0.59;0.575;0.59;0.568
transcript38_ENSMSIG00000000513;0.885;1.0;0.962;0.962;0.353;0.324;0.338;0.721;0.676;0.706;0.471;0.652;0.727;0.61;0.493;0.521;0.521;0.507;0.507;0.625;0.65;0.625;0.642
transcript52_ENSMSIG00000000513;0.92;0.962;1.0;1.0;0.324;0.333;0.309;0.691;0.697;0.676;0.485;0.672;0.75;0.584;0.465;0.493;0.493;0.479;0.5;0.6;0.625;0.6;0.617
transcript58_ENSMSIG00000000513;0.92;0.962;1.0;1.0;0.324;0.333;0.309;0.691;0.697;0.676;0.485;0.672;0.75;0.584;0.465;0.493;0.493;0.479;0.5;0.6;0.625;0.6;0.617
transcript38_MGP-SPRETEiJ-G0021131;0.284;0.353;0.324;0.324;1.0;0.95;0.975;0.615;0.569;0.6;0.571;0.47;0.545;0.474;0.424;0.455;0.455;0.439;0.439;0.475;0.5;0.475;0.494
transcript52_MGP-SPRETEiJ-G0021131;0.292;0.324;0.333;0.333;0.95;1.0;0.925;0.585;0.587;0.569;0.593;0.484;0.562;0.447;0.394;0.424;0.424;0.409;0.431;0.45;0.475;0.45;0.469
transcript63_MGP-SPRETEiJ-G0021131;0.269;0.338;0.309;0.309;0.975;0.925;1.0;0.6;0.578;0.609;0.582;0.455;0.53;0.48;0.431;0.439;0.439;0.446;0.424;0.463;0.487;0.463;0.481
transcript38_ENSMUSG00000054036;0.632;0.721;0.691;0.691;0.615;0.585;0.6;1.0;0.954;0.985;0.738;0.794;0.868;0.734;0.608;0.635;0.635;0.622;0.622;0.787;0.812;0.787;0.802
transcript54_ENSMUSG00000054036;0.636;0.676;0.697;0.697;0.569;0.587;0.578;0.954;1.0;0.969;0.774;0.803;0.879;0.718;0.589;0.595;0.595;0.603;0.603;0.75;0.775;0.75;0.765
transcript55_ENSMUSG00000054036;0.618;0.706;0.676;0.676;0.6;0.569;0.609;0.985;0.969;1.0;0.75;0.779;0.853;0.744;0.616;0.622;0.622;0.63;0.608;0.775;0.8;0.775;0.79
transcript58_ENSMUSG00000054036;0.424;0.471;0.485;0.485;0.571;0.593;0.582;0.738;0.774;0.75;1.0;0.615;0.692;0.558;0.478;0.486;0.486;0.493;0.493;0.575;0.6;0.575;0.593
transcript8_MGP-CAROLIEiJ-G0020234;0.609;0.652;0.672;0.672;0.47;0.484;0.455;0.794;0.803;0.779;0.615;1.0;0.919;0.633;0.521;0.548;0.548;0.534;0.556;0.688;0.713;0.688;0.704
transcript47_MGP-CAROLIEiJ-G0020234;0.688;0.727;0.75;0.75;0.545;0.562;0.53;0.868;0.879;0.853;0.692;0.919;1.0;0.696;0.547;0.573;0.573;0.56;0.581;0.75;0.775;0.75;0.765
transcript39_MGP-PahariEiJ-G0020237;0.532;0.61;0.584;0.584;0.474;0.447;0.48;0.734;0.718;0.744;0.558;0.633;0.696;1.0;0.615;0.62;0.62;0.628;0.608;0.875;0.9;0.875;0.889
transcript8_ENSRNOG00000031503;0.429;0.493;0.465;0.465;0.424;0.394;0.431;0.608;0.589;0.616;0.478;0.521;0.547;0.615;1.0;0.964;0.964;0.982;0.946;0.671;0.675;0.671;0.667
transcript31_ENSRNOG00000031503;0.437;0.521;0.493;0.493;0.455;0.424;0.439;0.635;0.595;0.622;0.486;0.548;0.573;0.62;0.964;1.0;1.0;0.982;0.982;0.675;0.7;0.675;0.691
transcript32_ENSRNOG00000031503;0.437;0.521;0.493;0.493;0.455;0.424;0.439;0.635;0.595;0.622;0.486;0.548;0.573;0.62;0.964;1.0;1.0;0.982;0.982;0.675;0.7;0.675;0.691
transcript39_ENSRNOG00000031503;0.423;0.507;0.479;0.479;0.439;0.409;0.446;0.622;0.603;0.63;0.493;0.534;0.56;0.628;0.982;0.982;0.982;1.0;0.964;0.662;0.688;0.662;0.679
transcript50_ENSRNOG00000031503;0.443;0.507;0.5;0.5;0.439;0.431;0.424;0.622;0.603;0.608;0.493;0.556;0.581;0.608;0.946;0.982;0.982;0.964;1.0;0.662;0.688;0.662;0.679
transcript12_ENSMUGG00000013649;0.59;0.625;0.6;0.6;0.475;0.45;0.463;0.787;0.75;0.775;0.575;0.688;0.75;0.875;0.671;0.675;0.675;0.662;0.662;1.0;0.975;1.0;0.963
transcript32_ENSMUGG00000013649;0.575;0.65;0.625;0.625;0.5;0.475;0.487;0.812;0.775;0.8;0.6;0.713;0.775;0.9;0.675;0.7;0.7;0.688;0.688;0.975;1.0;0.975;0.988
transcript50_ENSMUGG00000013649;0.59;0.625;0.6;0.6;0.475;0.45;0.463;0.787;0.75;0.775;0.575;0.688;0.75;0.875;0.671;0.675;0.675;0.662;0.662;1.0;0.975;1.0;0.963
transcript32_ENSMUGG00000013592;0.568;0.642;0.617;0.617;0.494;0.469;0.481;0.802;0.765;0.79;0.593;0.704;0.765;0.889;0.667;0.691;0.691;0.679;0.679;0.963;0.988;0.963;1.0
