;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.648;0.915;0.635;0.902;0.996;0.219;0.308;0.997;0.916;0.635;0.635;0.997;0.312;0.611;0.314
ENST00000379697_90_90;0.648;1.0;0.472;0.242;0.525;0.551;0.263;0.375;0.672;0.522;0.268;0.268;0.61;0.435;0.723;0.03
ENST00000379698_90_90;0.915;0.472;1.0;0.669;0.894;0.896;0.232;0.33;0.84;0.996;0.669;0.669;0.895;0.331;0.674;0.332
ENST00000379716_90_90;0.635;0.242;0.669;1.0;0.652;0.632;0.0;0.032;0.592;0.668;0.998;0.998;0.631;0.042;0.348;0.487
ENST00000379726_90_90;0.902;0.525;0.894;0.652;1.0;0.848;0.226;0.301;0.907;0.892;0.651;0.651;0.845;0.312;0.591;0.323
ENST00000397821_90_90;0.996;0.551;0.896;0.632;0.848;1.0;0.219;0.312;0.936;0.893;0.631;0.631;0.997;0.312;0.597;0.313
ENST00000431164_90_90;0.219;0.263;0.232;0.0;0.226;0.219;1.0;0.69;0.206;0.232;0.0;0.0;0.219;0.699;0.343;0.0
ENST00000432234_90_90;0.308;0.375;0.33;0.032;0.301;0.312;0.69;1.0;0.292;0.329;0.032;0.032;0.311;0.942;0.486;0.0
ENSMUST00000073094_90_90;0.997;0.672;0.84;0.592;0.907;0.936;0.206;0.292;1.0;0.842;0.593;0.564;0.938;0.294;0.544;0.295
ENSMUST00000080394_90_90;0.916;0.522;0.996;0.668;0.892;0.893;0.232;0.329;0.842;1.0;0.669;0.632;0.896;0.332;0.652;0.333
ENSMUST00000112451_90_90;0.635;0.268;0.669;0.998;0.651;0.631;0.0;0.032;0.593;0.669;1.0;0.92;0.632;0.042;0.335;0.489
ENSMUST00000112453_90_90;0.635;0.268;0.669;0.998;0.651;0.631;0.0;0.032;0.564;0.632;0.92;1.0;0.599;0.039;0.317;0.45
ENSMUST00000112456_90_90;0.997;0.61;0.895;0.631;0.845;0.997;0.219;0.311;0.938;0.896;0.632;0.599;1.0;0.313;0.578;0.314
ENSMUST00000123433_90_90;0.312;0.435;0.331;0.042;0.312;0.312;0.699;0.942;0.294;0.332;0.042;0.039;0.313;1.0;0.466;0.0
ENSMUST00000141354_90_90;0.611;0.723;0.674;0.348;0.591;0.597;0.343;0.486;0.544;0.652;0.335;0.317;0.578;0.466;1.0;0.08
ENSMUST00000152426_90_90;0.314;0.03;0.332;0.487;0.323;0.313;0.0;0.0;0.295;0.333;0.489;0.45;0.314;0.0;0.08;1.0
