;transcript18_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript7_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript9_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript7_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript12_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript9_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript18_ENSAOCG00000015695;1.0;0.741;0.72;0.75;0.75;0.087;0.833;0.167;0.083;0.96;0.96;0.852;0.077;0.778;0.778;0.615;0.8;0.72;0.72;0.667;0.68;0.958;0.87;1.0;0.5
transcript28_ENSAOCG00000015695;0.741;1.0;0.667;0.667;0.667;0.095;0.75;0.19;0.095;0.84;0.84;0.875;0.095;0.792;0.792;0.542;1.0;0.739;0.667;0.542;0.696;0.875;0.708;1.0;0.5
transcript21_ENSAPOG00000016134;0.72;0.667;1.0;1.0;0.727;0.05;0.739;0.095;0.05;0.731;0.731;0.792;0.05;0.708;0.708;0.591;0.667;0.727;0.727;0.591;0.682;0.792;0.625;0.5;0.333
transcript21_ENSPNYG00000024266;0.75;0.667;1.0;1.0;0.727;0.05;0.739;0.095;0.05;0.792;0.792;0.792;0.05;0.708;0.708;0.591;0.667;0.727;0.727;0.591;0.682;0.792;0.625;0.5;0.333
transcript23_ENSPNYG00000024266;0.75;0.667;0.727;0.727;1.0;0.105;0.739;0.15;0.105;0.792;0.792;0.792;0.105;0.864;0.864;0.75;0.667;0.9;1.0;0.75;0.85;0.792;0.696;0.75;0.667
transcript7_ENSPNYG00000024266;0.087;0.095;0.05;0.05;0.105;1.0;0.095;0.5;1.0;0.083;0.083;0.083;1.0;0.091;0.091;0.125;0.095;0.105;0.105;0.125;0.111;0.083;0.1;0.5;1.0
transcript22_ENSPNYG00000024266;0.833;0.75;0.739;0.739;0.739;0.095;1.0;0.19;0.095;0.875;0.875;0.875;0.095;0.792;0.792;0.609;0.75;0.739;0.739;0.609;0.696;0.875;0.708;1.0;0.5
transcript9_ENSAPOG00000016134;0.167;0.19;0.095;0.095;0.15;0.5;0.19;1.0;0.5;0.154;0.154;0.167;0.5;0.13;0.13;0.176;0.19;0.15;0.15;0.176;0.158;0.167;0.2;1.0;0.5
transcript7_ENSAPOG00000023408;0.083;0.095;0.05;0.05;0.105;1.0;0.095;0.5;1.0;0.077;0.077;0.083;1.0;0.091;0.091;0.125;0.095;0.105;0.105;0.125;0.111;0.083;0.1;0.5;1.0
transcript14_ENSAPOG00000016134;0.96;0.84;0.731;0.792;0.792;0.083;0.875;0.154;0.077;1.0;1.0;0.96;0.08;0.88;0.88;0.64;0.808;0.731;0.731;0.615;0.692;1.0;0.833;1.0;0.5
transcript14_ENSAPOG00000023408;0.96;0.84;0.731;0.792;0.792;0.083;0.875;0.154;0.077;1.0;1.0;0.96;0.08;0.88;0.88;0.64;0.808;0.731;0.731;0.615;0.692;1.0;0.833;1.0;0.5
transcript17_ENSAOCG00000015695;0.852;0.875;0.792;0.792;0.792;0.083;0.875;0.167;0.083;0.96;0.96;1.0;0.083;0.917;0.917;0.667;0.875;0.792;0.792;0.667;0.75;1.0;0.833;1.0;0.5
transcript7_ENSAOCG00000015695;0.077;0.095;0.05;0.05;0.105;1.0;0.095;0.5;1.0;0.08;0.08;0.083;1.0;0.091;0.091;0.125;0.095;0.105;0.105;0.125;0.111;0.083;0.1;0.5;1.0
transcript27_ENSAOCG00000015695;0.778;0.792;0.708;0.708;0.864;0.091;0.792;0.13;0.091;0.88;0.88;0.917;0.091;1.0;1.0;0.727;0.792;0.864;0.864;0.727;0.818;0.917;0.75;0.75;0.667
transcript26_ENSAOCG00000015695;0.778;0.792;0.708;0.708;0.864;0.091;0.792;0.13;0.091;0.88;0.88;0.917;0.091;1.0;1.0;0.727;0.792;0.864;0.864;0.727;0.818;0.917;0.75;0.75;0.667
transcript29_ENSAOCG00000015695;0.615;0.542;0.591;0.591;0.75;0.125;0.609;0.176;0.125;0.64;0.64;0.667;0.125;0.727;0.727;1.0;0.542;0.75;0.75;1.0;0.789;0.667;0.714;0.75;0.667
transcript28_ENSAPOG00000023408;0.8;1.0;0.667;0.667;0.667;0.095;0.75;0.19;0.095;0.808;0.808;0.875;0.095;0.792;0.792;0.542;1.0;0.739;0.667;0.542;0.696;0.875;0.708;1.0;0.5
transcript30_ENSAPOG00000023408;0.72;0.739;0.727;0.727;0.9;0.105;0.739;0.15;0.105;0.731;0.731;0.792;0.105;0.864;0.864;0.75;0.739;1.0;0.9;0.75;0.85;0.792;0.625;0.75;0.667
transcript23_ENSAPOG00000023408;0.72;0.667;0.727;0.727;1.0;0.105;0.739;0.15;0.105;0.731;0.731;0.792;0.105;0.864;0.864;0.75;0.667;0.9;1.0;0.75;0.85;0.792;0.696;0.75;0.667
