;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.4;0.4;0.348;0.174;0.375;0.095;0.095;0.217;0.4;0.905;0.714;0.619;0.75
ENST00000265651_90_90;0.4;1.0;0.875;0.733;0.294;0.75;0.2;0.2;0.533;0.875;0.4;0.476;0.45;0.429
ENST00000448981_90_90;0.4;0.875;1.0;0.625;0.294;0.867;0.125;0.125;0.533;0.875;0.4;0.55;0.526;0.429
ENST00000526785_90_90;0.348;0.733;0.625;1.0;0.059;0.714;0.273;0.273;0.267;0.625;0.348;0.421;0.471;0.368
ENST00000529137_90_90;0.174;0.294;0.294;0.059;1.0;0.176;0.0;0.0;0.5;0.294;0.174;0.211;0.167;0.222
ENST00000530401_90_90;0.375;0.75;0.867;0.714;0.176;1.0;0.143;0.143;0.4;0.75;0.375;0.526;0.588;0.4
ENST00000531080_90_90;0.095;0.2;0.125;0.273;0.0;0.143;1.0;1.0;0.0;0.125;0.095;0.118;0.133;0.059
ENST00000532057_90_90;0.095;0.2;0.125;0.273;0.0;0.143;1.0;1.0;0.0;0.125;0.095;0.118;0.133;0.059
ENST00000532927_90_90;0.217;0.533;0.533;0.267;0.5;0.4;0.0;0.0;1.0;0.533;0.217;0.263;0.222;0.278
ENST00000534136_90_90;0.4;0.875;0.875;0.625;0.294;0.75;0.125;0.125;0.533;1.0;0.4;0.476;0.45;0.429
ENSMUST00000028603_90_90;0.905;0.4;0.4;0.348;0.174;0.375;0.095;0.095;0.217;0.4;1.0;0.714;0.619;0.75
ENSMUST00000102565_90_90;0.714;0.476;0.55;0.421;0.211;0.526;0.118;0.118;0.263;0.476;0.714;1.0;0.875;0.824
ENSMUST00000111135_90_90;0.619;0.45;0.526;0.471;0.167;0.588;0.133;0.133;0.222;0.45;0.619;0.875;1.0;0.706
ENSMUST00000111136_90_90;0.75;0.429;0.429;0.368;0.222;0.4;0.059;0.059;0.278;0.429;0.75;0.824;0.706;1.0
