;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.825;0.844;0.852;0.852;0.848;0.703;0.8;0.886;0.8;0.82;0.784;0.914;0.897;0.914
transcript1_ENSSTOG00000019743;0.825;1.0;0.834;0.707;0.707;0.707;0.852;0.963;0.874;0.963;0.809;0.946;0.904;0.89;0.904
transcript1_ENSCCNG00000000226;0.844;0.834;1.0;0.713;0.713;0.709;0.706;0.805;0.887;0.805;0.966;0.791;0.919;0.904;0.919
transcript10_ENSMLUG00000027828;0.852;0.707;0.713;1.0;1.0;0.996;0.817;0.732;0.806;0.732;0.737;0.715;0.777;0.759;0.777
transcript16_ENSMLUG00000027828;0.852;0.707;0.713;1.0;1.0;0.996;0.817;0.732;0.806;0.732;0.737;0.715;0.777;0.759;0.777
transcript28_ENSMLUG00000027828;0.848;0.707;0.709;0.996;0.996;1.0;0.816;0.731;0.803;0.731;0.734;0.718;0.773;0.762;0.773
transcript9_ENSSTOG00000019743;0.703;0.852;0.706;0.817;0.817;0.816;1.0;0.886;0.799;0.886;0.732;0.868;0.768;0.754;0.768
transcript29_ENSSTOG00000019743;0.8;0.963;0.805;0.732;0.732;0.731;0.886;1.0;0.904;1.0;0.834;0.982;0.871;0.857;0.871
transcript29_ENSCPOG00000024843;0.886;0.874;0.887;0.806;0.806;0.803;0.799;0.904;1.0;0.904;0.918;0.888;0.963;0.945;0.963
transcript30_ENSSTOG00000019743;0.8;0.963;0.805;0.732;0.732;0.731;0.886;1.0;0.904;1.0;0.834;0.982;0.871;0.857;0.871
transcript30_ENSCCNG00000000226;0.82;0.809;0.966;0.737;0.737;0.734;0.732;0.834;0.918;0.834;1.0;0.819;0.888;0.873;0.888
transcript31_ENSSTOG00000019743;0.784;0.946;0.791;0.715;0.715;0.718;0.868;0.982;0.888;0.982;0.819;1.0;0.855;0.87;0.855
transcript35_ENSCPOG00000024843;0.914;0.904;0.919;0.777;0.777;0.773;0.768;0.871;0.963;0.871;0.888;0.855;1.0;0.983;1.0
transcript36_ENSCPOG00000024843;0.897;0.89;0.904;0.759;0.759;0.762;0.754;0.857;0.945;0.857;0.873;0.87;0.983;1.0;0.983
transcript37_ENSCPOG00000024843;0.914;0.904;0.919;0.777;0.777;0.773;0.768;0.871;0.963;0.871;0.888;0.855;1.0;0.983;1.0
