;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;1.0;1.0;0.887;0.589;0.092;0.415;0.999;0.899;0.999
ENST00000299259_90_90;1.0;1.0;0.954;0.844;0.562;0.085;0.396;0.95;0.905;1.0
ENST00000388901_90_90;1.0;0.954;1.0;0.887;0.589;0.089;0.415;0.999;0.855;0.95
ENST00000542928_90_90;0.887;0.844;0.887;1.0;0.476;0.101;0.469;0.881;0.742;0.837
ENST00000558843_90_90;0.589;0.562;0.589;0.476;1.0;0.0;0.704;0.615;0.489;0.585
ENST00000560240_90_90;0.092;0.085;0.089;0.101;0.0;1.0;0.0;0.098;0.103;0.092
ENST00000561248_90_90;0.415;0.396;0.415;0.469;0.704;0.0;1.0;0.434;0.317;0.412
ENSMUST00000028635_90_90;0.999;0.95;0.999;0.881;0.615;0.098;0.434;1.0;0.862;0.954
ENSMUST00000110462_90_90;0.899;0.905;0.855;0.742;0.489;0.103;0.317;0.862;1.0;0.908
ENSMUST00000110463_90_90;0.999;1.0;0.95;0.837;0.585;0.092;0.412;0.954;0.908;1.0
