;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.722;0.913;0.925;0.121;0.883;0.895;0.659;0.075;0.659;0.326;0.122;0.057;0.158;0.055;0.199;0.676;0.215;0.057;0.049;0.128;0.961;0.769;0.126;0.722;0.93;0.794;0.913;0.883
ENST00000361556_90_90;0.722;1.0;0.755;0.722;0.0;0.728;0.744;0.857;0.062;0.857;0.17;0.0;0.108;0.167;0.036;0.269;0.805;0.293;0.108;0.068;0.162;0.722;0.938;0.0;1.0;0.744;0.845;0.755;0.728
ENST00000371714_90_90;0.913;0.755;1.0;0.951;0.149;0.964;0.919;0.691;0.05;0.691;0.374;0.13;0.059;0.134;0.028;0.211;0.659;0.227;0.059;0.052;0.133;0.913;0.722;0.134;0.755;0.883;0.796;0.958;0.924
ENST00000428468_90_90;0.925;0.722;0.951;1.0;0.141;0.919;0.968;0.659;0.097;0.659;0.353;0.122;0.057;0.182;0.075;0.199;0.708;0.215;0.057;0.049;0.128;0.925;0.738;0.126;0.722;0.895;0.762;0.913;0.883
ENST00000435274_90_90;0.121;0.0;0.149;0.141;1.0;0.144;0.112;0.0;0.0;0.0;0.304;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.141;0.0;0.376;0.0;0.112;0.0;0.149;0.144
ENST00000447887_90_90;0.883;0.728;0.964;0.919;0.144;1.0;0.888;0.665;0.048;0.665;0.361;0.124;0.057;0.129;0.027;0.203;0.637;0.219;0.057;0.051;0.128;0.883;0.698;0.129;0.728;0.854;0.769;0.924;0.96
ENST00000453295_90_90;0.895;0.744;0.919;0.968;0.112;0.888;1.0;0.679;0.1;0.679;0.322;0.091;0.058;0.189;0.079;0.206;0.731;0.222;0.058;0.051;0.131;0.895;0.76;0.094;0.744;0.922;0.785;0.883;0.854
ENST00000462759_90_90;0.659;0.857;0.691;0.659;0.0;0.665;0.679;1.0;0.073;1.0;0.09;0.0;0.0;0.194;0.041;0.318;0.926;0.348;0.0;0.08;0.187;0.659;0.805;0.0;0.857;0.679;0.775;0.691;0.665
ENST00000481937_90_90;0.075;0.062;0.05;0.097;0.0;0.048;0.1;0.073;1.0;0.073;0.109;0.0;0.0;0.437;0.591;0.0;0.142;0.164;0.0;0.305;0.0;0.075;0.094;0.0;0.062;0.077;0.055;0.05;0.048
ENST00000486942_90_90;0.659;0.857;0.691;0.659;0.0;0.665;0.679;1.0;0.073;1.0;0.09;0.0;0.0;0.194;0.041;0.318;0.926;0.348;0.0;0.08;0.187;0.659;0.805;0.0;0.857;0.679;0.775;0.691;0.665
