;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.766;0.63;0.022;0.022;0.134;0.134;0.134;0.984;1.0;0.022;0.766;1.0;0.984
transcript8_ENSHGLG00100006079;0.766;1.0;0.396;0.018;0.018;0.018;0.018;0.018;0.75;0.766;0.018;1.0;0.766;0.75
transcript6_ENSPCIG00000036398;0.63;0.396;1.0;0.016;0.016;0.157;0.157;0.157;0.641;0.63;0.016;0.396;0.63;0.641
transcript7_ENSPCIG00000036398;0.022;0.018;0.016;1.0;1.0;0.311;0.311;0.311;0.011;0.022;1.0;0.018;0.022;0.011
transcript7_ENSMUNG00000007775;0.022;0.018;0.016;1.0;1.0;0.311;0.311;0.311;0.011;0.022;1.0;0.018;0.022;0.011
transcript16_ENSMUNG00000007775;0.134;0.018;0.157;0.311;0.311;1.0;1.0;1.0;0.118;0.134;0.311;0.018;0.134;0.118
transcript23_ENSMUNG00000007775;0.134;0.018;0.157;0.311;0.311;1.0;1.0;1.0;0.118;0.134;0.311;0.018;0.134;0.118
transcript16_ENSMUNG00000002377;0.134;0.018;0.157;0.311;0.311;1.0;1.0;1.0;0.118;0.134;0.311;0.018;0.134;0.118
transcript10_ENSMUNG00000002391;0.984;0.75;0.641;0.011;0.011;0.118;0.118;0.118;1.0;0.984;0.011;0.75;0.984;1.0
transcript2_ENSXMAG00000026005;1.0;0.766;0.63;0.022;0.022;0.134;0.134;0.134;0.984;1.0;0.022;0.766;1.0;0.984
transcript7_ENSXMAG00000026005;0.022;0.018;0.016;1.0;1.0;0.311;0.311;0.311;0.011;0.022;1.0;0.018;0.022;0.011
transcript8_ENSXMAG00000026005;0.766;1.0;0.396;0.018;0.018;0.018;0.018;0.018;0.75;0.766;0.018;1.0;0.766;0.75
transcript9_ENSXMAG00000026005;1.0;0.766;0.63;0.022;0.022;0.134;0.134;0.134;0.984;1.0;0.022;0.766;1.0;0.984
transcript10_ENSXMAG00000026005;0.984;0.75;0.641;0.011;0.011;0.118;0.118;0.118;1.0;0.984;0.011;0.75;0.984;1.0
