;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.281;0.312;0.355;0.207;0.2;0.176;0.211;0.268;0.194;0.245;0.197;0.305;0.875;0.918;0.917;0.04;0.604;0.562;0.66;0.396;0.106;0.271;0.681
ENST00000391851_90_90;0.281;1.0;0.946;0.756;0.657;0.714;0.333;0.629;0.639;0.771;0.114;0.743;0.857;0.3;0.281;0.29;0.0;0.327;0.189;0.245;0.341;0.0;0.089;0.264
ENST00000454376_90_90;0.312;0.946;1.0;0.805;0.622;0.676;0.316;0.595;0.605;0.73;0.159;0.703;0.811;0.333;0.312;0.323;0.0;0.314;0.182;0.259;0.326;0.0;0.085;0.302
ENST00000524771_90_90;0.355;0.756;0.805;1.0;0.622;0.632;0.316;0.595;0.605;0.6;0.133;0.615;0.718;0.379;0.355;0.367;0.0;0.288;0.226;0.308;0.326;0.0;0.133;0.353
ENST00000526224_90_90;0.207;0.657;0.622;0.622;1.0;0.92;0.333;0.957;0.741;0.852;0.0;0.885;0.656;0.222;0.207;0.214;0.0;0.293;0.085;0.149;0.387;0.0;0.0;0.279
ENST00000527382_90_90;0.2;0.714;0.676;0.632;0.92;1.0;0.31;0.88;0.69;0.926;0.0;0.962;0.618;0.214;0.2;0.207;0.0;0.279;0.082;0.143;0.364;0.0;0.0;0.267
ENST00000528623_90_90;0.176;0.333;0.316;0.316;0.333;0.31;1.0;0.346;0.542;0.29;0.0;0.3;0.387;0.191;0.176;0.184;0.0;0.265;0.206;0.257;0.375;0.0;0.0;0.25
ENST00000529284_90_90;0.211;0.629;0.595;0.595;0.957;0.88;0.346;1.0;0.769;0.815;0.0;0.846;0.677;0.226;0.211;0.218;0.0;0.3;0.087;0.152;0.4;0.0;0.0;0.286
ENST00000529836_90_90;0.268;0.639;0.605;0.605;0.741;0.69;0.542;0.769;1.0;0.645;0.0;0.667;0.742;0.288;0.268;0.278;0.0;0.385;0.156;0.222;0.517;0.0;0.0;0.366
ENST00000532489_90_90;0.194;0.771;0.73;0.6;0.852;0.926;0.29;0.815;0.645;1.0;0.0;0.963;0.629;0.207;0.194;0.2;0.0;0.267;0.078;0.137;0.343;0.0;0.0;0.255
ENST00000534280_90_90;0.245;0.114;0.159;0.133;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.128;0.267;0.245;0.255;0.0;0.128;0.235;0.324;0.03;0.0;0.167;0.211
ENST00000534465_90_90;0.197;0.743;0.703;0.615;0.885;0.962;0.3;0.846;0.667;0.963;0.0;1.0;0.6;0.211;0.197;0.203;0.0;0.273;0.08;0.14;0.353;0.0;0.0;0.261
ENST00000610806_90_90;0.305;0.857;0.811;0.718;0.656;0.618;0.387;0.677;0.742;0.629;0.128;0.6;1.0;0.327;0.305;0.316;0.0;0.364;0.208;0.271;0.389;0.0;0.1;0.292
ENSMUST00000045325_90_90;0.875;0.3;0.333;0.379;0.222;0.214;0.191;0.226;0.288;0.207;0.267;0.211;0.327;1.0;0.915;0.956;0.043;0.622;0.578;0.721;0.465;0.091;0.239;0.744
ENSMUST00000107843_90_90;0.918;0.281;0.312;0.355;0.207;0.2;0.176;0.211;0.268;0.194;0.245;0.197;0.305;0.915;1.0;0.957;0.083;0.638;0.596;0.66;0.426;0.106;0.271;0.681
ENSMUST00000207370_90_90;0.917;0.29;0.323;0.367;0.214;0.207;0.184;0.218;0.278;0.2;0.255;0.203;0.316;0.956;0.957;1.0;0.042;0.667;0.622;0.689;0.444;0.111;0.283;0.711
ENSMUST00000207522_90_90;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043;0.083;0.042;1.0;0.061;0.065;0.0;0.087;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.604;0.327;0.314;0.288;0.293;0.279;0.265;0.3;0.385;0.267;0.128;0.273;0.364;0.622;0.638;0.667;0.061;1.0;0.568;0.419;0.667;0.129;0.189;0.476
ENSMUST00000208312_90_90;0.562;0.189;0.182;0.226;0.085;0.082;0.206;0.087;0.156;0.078;0.235;0.08;0.208;0.578;0.596;0.622;0.065;0.568;1.0;0.553;0.297;0.138;0.448;0.333
ENSMUST00000208778_90_90;0.66;0.245;0.259;0.308;0.149;0.143;0.257;0.152;0.222;0.137;0.324;0.14;0.271;0.721;0.66;0.689;0.0;0.419;0.553;1.0;0.342;0.029;0.25;0.658
ENSMUST00000208829_90_90;0.396;0.341;0.326;0.326;0.387;0.364;0.375;0.4;0.517;0.343;0.03;0.353;0.389;0.465;0.426;0.444;0.087;0.667;0.297;0.342;1.0;0.0;0.0;0.529
ENSMUST00000208938_90_90;0.106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091;0.106;0.111;0.0;0.129;0.138;0.029;0.0;1.0;0.188;0.028
ENSMUST00000209056_90_90;0.271;0.089;0.085;0.133;0.0;0.0;0.0;0.0;0.0;0.0;0.167;0.0;0.1;0.239;0.271;0.283;0.0;0.189;0.448;0.25;0.0;0.188;1.0;0.07
ENSMUST00000209124_90_90;0.681;0.264;0.302;0.353;0.279;0.267;0.25;0.286;0.366;0.255;0.211;0.261;0.292;0.744;0.681;0.711;0.0;0.476;0.333;0.658;0.529;0.028;0.07;1.0
