;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.848;0.691;0.359;0.828;0.397;0.936;0.91;0.301;0.17
ENST00000248450_90_90;0.848;1.0;0.748;0.368;0.966;0.409;0.902;0.877;0.308;0.147
ENST00000420660_90_90;0.691;0.748;1.0;0.354;0.776;0.389;0.691;0.715;0.298;0.272
ENST00000422731_90_90;0.359;0.368;0.354;1.0;0.359;0.0;0.359;0.351;0.168;0.0
ENST00000444053_90_90;0.828;0.966;0.776;0.359;1.0;0.397;0.877;0.908;0.301;0.144
ENST00000447885_90_90;0.397;0.409;0.389;0.0;0.397;1.0;0.397;0.386;0.369;0.206
ENSMUST00000006462_90_90;0.936;0.902;0.691;0.359;0.877;0.397;1.0;0.968;0.301;0.17
ENSMUST00000178235_90_90;0.91;0.877;0.715;0.351;0.908;0.386;0.968;1.0;0.294;0.165
ENSMUST00000187046_90_90;0.301;0.308;0.298;0.168;0.301;0.369;0.301;0.294;1.0;0.115
ENSMUST00000190008_90_90;0.17;0.147;0.272;0.0;0.144;0.206;0.17;0.165;0.115;1.0
