;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;1.0;0.489;0.492;0.477;0.74;0.706;0.684;0.512;0.385;0.68;0.623;0.578;0.08;0.185;0.032;0.51;0.452;0.635;0.57;0.744;0.96;0.083;0.292
ENSCAFT00000027452_90_90;0.489;1.0;0.81;0.583;0.71;0.555;0.794;0.615;0.504;0.778;0.601;0.683;0.069;0.178;0.118;0.612;0.893;0.851;0.918;0.548;0.552;0.073;0.283
ENST00000271850_90_90;0.492;0.81;1.0;0.354;0.379;0.49;0.456;0.556;0.465;0.698;0.5;0.59;0.048;0.158;0.263;0.538;0.924;0.6;0.617;0.672;0.412;0.072;0.212
ENST00000302206_90_90;0.477;0.583;0.354;1.0;0.49;0.327;0.619;0.486;0.354;0.377;0.336;0.437;0.051;0.0;0.0;0.371;0.417;0.45;0.462;0.432;0.478;0.14;0.505
ENST00000323144_90_90;0.74;0.71;0.379;0.49;1.0;0.628;0.842;0.549;0.485;0.481;0.768;0.644;0.233;0.331;0.0;0.582;0.46;0.595;0.732;0.494;0.651;0.095;0.338
ENST00000328159_90_90;0.706;0.555;0.49;0.327;0.628;1.0;0.627;0.718;0.652;0.467;0.821;0.82;0.216;0.368;0.0;0.754;0.603;0.567;0.449;0.655;0.606;0.085;0.244
ENST00000330188_90_90;0.684;0.794;0.456;0.619;0.842;0.627;1.0;0.667;0.6;0.481;0.644;0.768;0.233;0.331;0.0;0.703;0.556;0.594;0.613;0.596;0.65;0.095;0.337
ENST00000341372_90_90;0.512;0.615;0.556;0.486;0.549;0.718;0.667;1.0;0.699;0.337;0.741;0.887;0.196;0.266;0.0;0.814;0.682;0.4;0.41;0.75;0.426;0.097;0.275
ENST00000341485_90_90;0.385;0.504;0.465;0.354;0.485;0.652;0.6;0.699;1.0;0.264;0.669;0.811;0.17;0.4;0.0;0.738;0.572;0.311;0.318;0.607;0.318;0.0;0.14
ENST00000368530_90_90;0.68;0.778;0.698;0.377;0.481;0.467;0.481;0.337;0.264;1.0;0.372;0.372;0.048;0.124;0.263;0.327;0.6;0.924;0.767;0.411;0.672;0.072;0.267
ENST00000368531_90_90;0.623;0.601;0.5;0.336;0.768;0.821;0.644;0.741;0.669;0.372;1.0;0.846;0.224;0.38;0.0;0.778;0.621;0.449;0.556;0.683;0.479;0.089;0.254
ENST00000368533_90_90;0.578;0.683;0.59;0.437;0.644;0.82;0.768;0.887;0.811;0.372;0.846;1.0;0.224;0.379;0.0;0.926;0.738;0.449;0.46;0.81;0.478;0.089;0.253
ENST00000509409_90_90;0.08;0.069;0.048;0.051;0.233;0.216;0.233;0.196;0.17;0.048;0.224;0.224;1.0;0.345;0.0;0.241;0.064;0.064;0.068;0.079;0.079;0.2;0.099
ENST00000509601_90_90;0.185;0.178;0.158;0.0;0.331;0.368;0.331;0.266;0.4;0.124;0.38;0.379;0.345;1.0;0.0;0.409;0.199;0.154;0.159;0.22;0.167;0.0;0.0
ENST00000515609_90_90;0.032;0.118;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.263;0.0;0.0;0.0;0.0;1.0;0.0;0.115;0.115;0.119;0.0;0.0;0.0;0.0
ENST00000611659_90_90;0.51;0.612;0.538;0.371;0.582;0.754;0.703;0.814;0.738;0.327;0.778;0.926;0.241;0.409;0.0;1.0;0.674;0.395;0.405;0.743;0.422;0.097;0.273
ENSMUST00000029549_90_90;0.452;0.893;0.924;0.417;0.46;0.603;0.556;0.682;0.572;0.6;0.621;0.738;0.064;0.199;0.115;0.674;1.0;0.653;0.669;0.615;0.4;0.07;0.22
ENSMUST00000118566_90_90;0.635;0.851;0.6;0.45;0.595;0.567;0.594;0.4;0.311;0.924;0.449;0.449;0.064;0.154;0.115;0.395;0.653;1.0;0.83;0.385;0.645;0.07;0.276
ENSMUST00000119158_90_90;0.57;0.918;0.617;0.462;0.732;0.449;0.613;0.41;0.318;0.767;0.556;0.46;0.068;0.159;0.119;0.405;0.669;0.83;1.0;0.393;0.523;0.073;0.284
ENSMUST00000119570_90_90;0.744;0.548;0.672;0.432;0.494;0.655;0.596;0.75;0.607;0.411;0.683;0.81;0.079;0.22;0.0;0.743;0.615;0.385;0.393;1.0;0.617;0.072;0.21
ENSMUST00000121503_90_90;0.96;0.552;0.412;0.478;0.651;0.606;0.65;0.426;0.318;0.672;0.479;0.478;0.079;0.167;0.0;0.422;0.4;0.645;0.523;0.617;1.0;0.079;0.282
ENSMUST00000127955_90_90;0.083;0.073;0.072;0.14;0.095;0.085;0.095;0.097;0.0;0.072;0.089;0.089;0.2;0.0;0.0;0.097;0.07;0.07;0.073;0.072;0.079;1.0;0.263
ENSMUST00000149432_90_90;0.292;0.283;0.212;0.505;0.338;0.244;0.337;0.275;0.14;0.267;0.254;0.253;0.099;0.0;0.0;0.273;0.22;0.276;0.284;0.21;0.282;0.263;1.0
