;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.862;0.706;0.242;0.706;0.636;0.727;0.2;0.067;0.207;0.226;0.71;0.219;0.091;0.656;0.75;0.727;0.286;0.241
ENSCAFT00000047054_90_90;0.862;1.0;0.647;0.147;0.647;0.576;0.667;0.259;0.071;0.222;0.286;0.821;0.156;0.097;0.645;0.742;0.719;0.308;0.308
ENST00000265459_90_90;0.706;0.647;1.0;0.265;1.0;0.867;0.967;0.267;0.097;0.233;0.25;0.667;0.242;0.118;0.667;0.758;0.788;0.226;0.226
ENST00000301894_90_90;0.242;0.147;0.265;1.0;0.265;0.258;0.273;0.0;0.308;0.0;0.0;0.188;0.846;0.5;0.226;0.242;0.235;0.0;0.0
ENST00000377551_90_90;0.706;0.647;1.0;0.265;1.0;0.867;0.967;0.267;0.097;0.233;0.25;0.667;0.242;0.118;0.667;0.758;0.788;0.226;0.226
ENST00000377559_90_90;0.636;0.576;0.867;0.258;0.867;1.0;0.897;0.259;0.111;0.222;0.241;0.594;0.233;0.133;0.759;0.688;0.667;0.214;0.214
ENST00000409571_90_90;0.727;0.667;0.967;0.273;0.967;0.897;1.0;0.276;0.1;0.241;0.258;0.688;0.25;0.121;0.688;0.781;0.758;0.233;0.233
ENST00000417749_90_90;0.2;0.259;0.267;0.0;0.267;0.259;0.276;1.0;0.0;0.667;0.636;0.269;0.0;0.0;0.222;0.241;0.233;0.455;0.778
ENST00000423049_90_90;0.067;0.071;0.097;0.308;0.097;0.111;0.1;0.0;1.0;0.0;0.0;0.115;0.364;0.5;0.115;0.103;0.1;0.0;0.0
ENST00000437746_90_90;0.207;0.222;0.233;0.0;0.233;0.222;0.241;0.667;0.0;1.0;0.417;0.231;0.0;0.0;0.185;0.207;0.2;0.667;0.5
ENST00000442300_90_90;0.226;0.286;0.25;0.0;0.25;0.241;0.258;0.636;0.0;0.417;1.0;0.296;0.0;0.0;0.25;0.267;0.258;0.385;0.636
ENSMUST00000077182_90_90;0.71;0.821;0.667;0.188;0.667;0.594;0.688;0.269;0.115;0.231;0.296;1.0;0.2;0.138;0.786;0.893;0.862;0.32;0.32
ENSMUST00000113458_90_90;0.219;0.156;0.242;0.846;0.242;0.233;0.25;0.0;0.364;0.0;0.0;0.2;1.0;0.583;0.241;0.258;0.25;0.0;0.0
ENSMUST00000113459_90_90;0.091;0.097;0.118;0.5;0.118;0.133;0.121;0.0;0.5;0.0;0.0;0.138;0.583;1.0;0.138;0.125;0.121;0.0;0.0
ENSMUST00000113461_90_90;0.656;0.645;0.667;0.226;0.667;0.759;0.688;0.222;0.115;0.185;0.25;0.786;0.241;0.138;1.0;0.893;0.862;0.269;0.269
ENSMUST00000113462_90_90;0.75;0.742;0.758;0.242;0.758;0.688;0.781;0.241;0.103;0.207;0.267;0.893;0.258;0.125;0.893;1.0;0.966;0.286;0.286
ENSMUST00000137166_90_90;0.727;0.719;0.788;0.235;0.788;0.667;0.758;0.233;0.1;0.2;0.258;0.862;0.25;0.121;0.862;0.966;1.0;0.276;0.276
ENSMUST00000137821_90_90;0.286;0.308;0.226;0.0;0.226;0.214;0.233;0.455;0.0;0.667;0.385;0.32;0.0;0.0;0.269;0.286;0.276;1.0;0.6
ENSMUST00000155158_90_90;0.241;0.308;0.226;0.0;0.226;0.214;0.233;0.778;0.0;0.5;0.636;0.32;0.0;0.0;0.269;0.286;0.276;0.6;1.0
