;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.667;0.667;1.0;0.667;0.571;0.333;0.611;0.611;0.611;0.611;0.818;0.778;0.778;0.857;0.929;0.867;0.857;1.0;0.857;0.833;1.0;1.0;0.75;0.75;0.667;0.667
transcript17_ENSHGLG00100003156;1.0;1.0;0.667;0.667;1.0;0.667;0.571;0.333;0.611;0.611;0.611;0.611;0.818;0.778;0.778;0.857;0.929;0.867;0.857;1.0;0.857;0.833;1.0;1.0;0.75;0.75;0.667;0.667
transcript20_ENSHGLG00100003156;0.667;0.667;1.0;1.0;0.667;1.0;0.905;0.667;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.667;0.867;0.933;0.8;0.933;0.8;0.833;1.0;1.0;0.75;0.75;1.0;1.0
transcript13_ENSHGLG00000019563;0.667;0.667;1.0;1.0;0.667;1.0;0.905;0.667;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.667;0.867;0.933;0.8;0.933;0.8;0.833;1.0;1.0;0.75;0.75;1.0;1.0
transcript17_ENSHGLG00000019563;1.0;1.0;0.667;0.667;1.0;0.667;0.571;0.333;0.611;0.611;0.611;0.611;0.818;0.778;0.778;0.857;0.929;0.867;0.857;1.0;0.857;0.833;1.0;1.0;0.75;0.75;0.667;0.667
transcript25_ENSHGLG00000019563;0.667;0.667;1.0;1.0;0.667;1.0;0.905;0.667;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.667;0.867;0.933;0.8;0.933;0.8;0.833;1.0;1.0;0.75;0.75;1.0;1.0
transcript26_ENSHGLG00000019563;0.571;0.571;0.905;0.905;0.571;0.905;1.0;0.571;0.889;0.889;0.889;0.889;0.389;0.889;0.889;0.556;0.733;0.8;0.667;0.8;0.667;0.667;0.833;0.833;0.583;0.727;0.905;0.905
transcript27_ENSHGLG00000019563;0.333;0.333;0.667;0.667;0.333;0.667;0.571;1.0;0.778;0.778;0.778;0.778;0.278;0.611;0.611;0.278;0.4;0.467;0.333;0.467;0.333;0.25;0.417;0.417;0.167;0.167;0.667;0.667
transcript0_ENSHGLG00100006079;0.611;0.611;1.0;1.0;0.611;1.0;0.889;0.778;1.0;0.514;0.514;0.514;0.257;1.0;0.577;0.346;0.931;0.379;0.897;0.379;0.793;0.385;1.0;0.346;0.885;0.346;1.0;1.0
transcript13_ENSHGLG00100006079;0.611;0.611;1.0;1.0;0.611;1.0;0.889;0.778;0.514;1.0;1.0;1.0;0.5;0.577;1.0;0.6;0.345;0.917;0.31;0.917;0.346;0.583;0.346;1.0;0.231;0.5;0.514;0.514
transcript20_ENSHGLG00100006079;0.611;0.611;1.0;1.0;0.611;1.0;0.889;0.778;0.514;1.0;1.0;1.0;0.5;0.577;1.0;0.6;0.345;0.917;0.31;0.917;0.346;0.583;0.346;1.0;0.231;0.5;0.514;0.514
transcript21_ENSHGLG00100006079;0.611;0.611;1.0;1.0;0.611;1.0;0.889;0.778;0.514;1.0;1.0;1.0;0.5;0.577;1.0;0.6;0.345;0.917;0.31;0.917;0.346;0.583;0.346;1.0;0.231;0.5;0.514;0.514
transcript22_ENSHGLG00100006079;0.818;0.818;0.5;0.5;0.818;0.5;0.389;0.278;0.257;0.5;0.5;0.5;1.0;0.346;0.6;1.0;0.333;0.667;0.346;0.818;0.391;0.583;0.346;1.0;0.231;0.5;0.257;0.257
transcript0_ENSMUNG00000002391;0.778;0.778;1.0;1.0;0.778;1.0;0.889;0.611;1.0;0.577;0.577;0.577;0.346;1.0;0.581;0.387;0.929;0.5;0.893;0.5;0.821;0.6;1.0;0.48;0.88;0.56;1.0;1.0
transcript21_ENSMUNG00000002391;0.778;0.778;1.0;1.0;0.778;1.0;0.889;0.611;0.577;1.0;1.0;1.0;0.6;0.581;1.0;0.667;0.464;0.933;0.429;0.933;0.462;0.588;0.48;1.0;0.36;0.529;0.581;0.581
transcript22_ENSMUNG00000002391;0.857;0.857;0.667;0.667;0.857;0.667;0.556;0.278;0.346;0.6;0.6;0.6;1.0;0.387;0.667;1.0;0.462;0.733;0.48;0.857;0.522;0.588;0.48;1.0;0.36;0.529;0.387;0.387
transcript8_ENSAPOG00000016134;0.929;0.929;0.867;0.867;0.929;0.867;0.733;0.4;0.931;0.345;0.345;0.345;0.333;0.929;0.464;0.462;1.0;0.353;0.969;0.394;0.875;0.484;1.0;0.387;0.903;0.452;0.941;0.941
transcript10_ENSAPOG00000016134;0.867;0.867;0.933;0.933;0.867;0.933;0.8;0.467;0.379;0.917;0.917;0.917;0.667;0.5;0.933;0.733;0.353;1.0;0.324;0.867;0.355;0.625;0.355;0.917;0.3;0.562;0.412;0.412
transcript12_ENSAPOG00000016134;0.857;0.857;0.8;0.8;0.857;0.8;0.667;0.333;0.897;0.31;0.31;0.31;0.346;0.893;0.429;0.48;0.969;0.324;1.0;0.364;0.903;0.484;1.0;0.387;0.903;0.452;0.912;0.912
transcript17_ENSAPOG00000016134;1.0;1.0;0.933;0.933;1.0;0.933;0.8;0.467;0.379;0.917;0.917;0.917;0.818;0.5;0.933;0.857;0.394;0.867;0.364;1.0;0.4;0.588;0.387;1.0;0.29;0.529;0.412;0.412
transcript20_ENSAPOG00000016134;0.857;0.857;0.8;0.8;0.857;0.8;0.667;0.333;0.793;0.346;0.346;0.346;0.391;0.821;0.462;0.522;0.875;0.355;0.903;0.4;1.0;0.536;0.903;0.429;0.806;0.5;0.824;0.824
transcript7_ENSAPOG00000023408;0.833;0.833;0.833;0.833;0.833;0.833;0.667;0.25;0.385;0.583;0.583;0.583;0.583;0.6;0.588;0.588;0.484;0.625;0.484;0.588;0.536;1.0;0.484;0.588;0.483;0.933;0.484;0.484
transcript12_ENSAPOG00000023408;1.0;1.0;1.0;1.0;1.0;1.0;0.833;0.417;1.0;0.346;0.346;0.346;0.346;1.0;0.48;0.48;1.0;0.355;1.0;0.387;0.903;0.484;1.0;0.387;0.903;0.452;1.0;1.0
transcript22_ENSAPOG00000023408;1.0;1.0;1.0;1.0;1.0;1.0;0.833;0.417;0.346;1.0;1.0;1.0;1.0;0.48;1.0;1.0;0.387;0.917;0.387;1.0;0.429;0.588;0.387;1.0;0.29;0.529;0.387;0.387
