;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.926;0.905;0.978;0.905;0.905;0.905;0.21;0.064;0.031;0.118;0.253;0.384;0.286;0.092;0.163;0.155;0.367;0.494;0.184;0.923;0.853;0.294;0.915;0.555
ENSCAFT00000045366_90_90;0.926;1.0;0.979;0.905;0.979;0.979;0.979;0.193;0.059;0.029;0.11;0.233;0.354;0.264;0.085;0.237;0.143;0.339;0.457;0.169;1.0;0.93;0.271;0.846;0.593
ENST00000340022_90_90;0.905;0.979;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.978;0.908;0.279;0.824;0.572
ENST00000394503_90_90;0.978;0.905;0.926;1.0;0.926;0.926;0.926;0.21;0.064;0.031;0.118;0.253;0.407;0.286;0.092;0.163;0.155;0.326;0.518;0.184;0.902;0.832;0.304;0.891;0.532
ENST00000394505_90_90;0.905;0.979;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.978;0.908;0.279;0.824;0.572
ENST00000394507_90_90;0.905;0.979;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.978;0.908;0.279;0.824;0.572
ENST00000412043_90_90;0.905;0.979;1.0;0.926;1.0;1.0;1.0;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.237;0.143;0.302;0.478;0.169;0.978;0.908;0.279;0.824;0.572
ENST00000413688_90_90;0.21;0.193;0.193;0.21;0.193;0.193;0.193;1.0;0.324;0.155;0.559;0.792;0.479;0.699;0.46;0.0;0.775;0.505;0.376;0.902;0.199;0.217;0.657;0.238;0.311
ENST00000422347_90_90;0.064;0.059;0.059;0.064;0.059;0.059;0.059;0.324;1.0;0.484;0.579;0.253;0.152;0.223;0.701;0.0;0.415;0.161;0.118;0.357;0.06;0.066;0.208;0.072;0.097
ENST00000425073_90_90;0.031;0.029;0.029;0.031;0.029;0.029;0.029;0.155;0.484;1.0;0.278;0.122;0.073;0.107;0.338;0.0;0.201;0.077;0.058;0.172;0.029;0.033;0.101;0.035;0.047
ENST00000425919_90_90;0.118;0.11;0.11;0.118;0.11;0.11;0.11;0.559;0.579;0.278;1.0;0.445;0.27;0.392;0.823;0.0;0.728;0.284;0.212;0.623;0.113;0.122;0.369;0.135;0.175
ENST00000430102_90_90;0.253;0.233;0.233;0.253;0.233;0.233;0.233;0.792;0.253;0.122;0.445;1.0;0.599;0.881;0.361;0.0;0.609;0.635;0.468;0.711;0.24;0.261;0.823;0.286;0.384
ENST00000433016_90_90;0.384;0.354;0.375;0.407;0.375;0.375;0.375;0.479;0.152;0.073;0.27;0.599;1.0;0.679;0.217;0.0;0.366;0.794;0.78;0.428;0.364;0.394;0.688;0.433;0.603
ENST00000440209_90_90;0.286;0.264;0.264;0.286;0.264;0.264;0.264;0.699;0.223;0.107;0.392;0.881;0.679;1.0;0.319;0.0;0.537;0.72;0.53;0.627;0.272;0.295;0.934;0.325;0.434
ENST00000444960_90_90;0.092;0.085;0.085;0.092;0.085;0.085;0.085;0.46;0.701;0.338;0.823;0.361;0.217;0.319;1.0;0.0;0.593;0.229;0.17;0.509;0.088;0.096;0.298;0.105;0.139
ENST00000445516_90_90;0.163;0.237;0.237;0.163;0.237;0.237;0.237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.031;0.0;0.22;0.237;0.0;0.156;0.192
ENST00000452773_90_90;0.155;0.143;0.143;0.155;0.143;0.143;0.143;0.775;0.415;0.201;0.728;0.609;0.366;0.537;0.593;0.0;1.0;0.387;0.286;0.858;0.148;0.161;0.503;0.176;0.235
ENST00000454017_90_90;0.367;0.339;0.302;0.326;0.302;0.302;0.302;0.505;0.161;0.077;0.284;0.635;0.794;0.72;0.229;0.0;0.387;1.0;0.625;0.453;0.349;0.379;0.722;0.415;0.57
ENST00000458177_90_90;0.494;0.457;0.478;0.518;0.478;0.478;0.478;0.376;0.118;0.058;0.212;0.468;0.78;0.53;0.17;0.031;0.286;0.625;1.0;0.335;0.47;0.508;0.537;0.557;0.781
ENST00000458493_90_90;0.184;0.169;0.169;0.184;0.169;0.169;0.169;0.902;0.357;0.172;0.623;0.711;0.428;0.627;0.509;0.0;0.858;0.453;0.335;1.0;0.175;0.19;0.588;0.209;0.276
ENSMUST00000080085_90_90;0.923;1.0;0.978;0.902;0.978;0.978;0.978;0.199;0.06;0.029;0.113;0.24;0.364;0.272;0.088;0.22;0.148;0.349;0.47;0.175;1.0;0.932;0.254;0.831;0.578
ENSMUST00000171023_90_90;0.853;0.93;0.908;0.832;0.908;0.908;0.908;0.217;0.066;0.033;0.122;0.261;0.394;0.295;0.096;0.237;0.161;0.379;0.508;0.19;0.932;1.0;0.274;0.833;0.623
ENSMUST00000198079_90_90;0.294;0.271;0.279;0.304;0.279;0.279;0.279;0.657;0.208;0.101;0.369;0.823;0.688;0.934;0.298;0.0;0.503;0.722;0.537;0.588;0.254;0.274;1.0;0.288;0.41
ENSMUST00000200386_90_90;0.915;0.846;0.824;0.891;0.824;0.824;0.824;0.238;0.072;0.035;0.135;0.286;0.433;0.325;0.105;0.156;0.176;0.415;0.557;0.209;0.831;0.833;0.288;1.0;0.567
ENSMUST00000200577_90_90;0.555;0.593;0.572;0.532;0.572;0.572;0.572;0.311;0.097;0.047;0.175;0.384;0.603;0.434;0.139;0.192;0.235;0.57;0.781;0.276;0.578;0.623;0.41;0.567;1.0
