nucHom;degHom;tsm
1.0;1.0;1.0
0.935;0.917;0.926
0.934;0.875;0.905
1.0;0.955;0.978
0.934;0.875;0.905
0.934;0.875;0.905
0.934;0.875;0.905
0.101;0.318;0.21
0.036;0.091;0.064
0.017;0.045;0.031
0.055;0.182;0.118
0.142;0.364;0.253
0.267;0.5;0.384
0.163;0.409;0.286
0.049;0.136;0.092
0.159;0.167;0.163
0.084;0.227;0.155
0.235;0.5;0.367
0.353;0.636;0.494
0.095;0.273;0.184
0.934;0.913;0.923
0.881;0.826;0.853
0.16;0.429;0.294
0.926;0.905;0.915
0.383;0.727;0.555
0.935;0.917;0.926
1.0;1.0;1.0
1.0;0.958;0.979
0.934;0.875;0.905
1.0;0.958;0.979
1.0;0.958;0.979
1.0;0.958;0.979
0.094;0.292;0.193
0.034;0.083;0.059
0.016;0.042;0.029
0.052;0.167;0.11
0.133;0.333;0.233
0.25;0.458;0.354
0.152;0.375;0.264
0.046;0.125;0.085
0.224;0.25;0.237
0.079;0.208;0.143
0.22;0.458;0.339
0.33;0.583;0.457
0.089;0.25;0.169
1.0;1.0;1.0
0.947;0.913;0.93
0.15;0.391;0.271
0.866;0.826;0.846
0.447;0.739;0.593
0.934;0.875;0.905
1.0;0.958;0.979
1.0;1.0;1.0
0.935;0.917;0.926
1.0;1.0;1.0
1.0;1.0;1.0
1.0;1.0;1.0
0.094;0.292;0.193
0.034;0.083;0.059
0.016;0.042;0.029
0.052;0.167;0.11
0.133;0.333;0.233
0.25;0.5;0.375
0.152;0.375;0.264
0.046;0.125;0.085
0.224;0.25;0.237
0.079;0.208;0.143
0.219;0.385;0.302
0.33;0.625;0.478
0.089;0.25;0.169
0.999;0.957;0.978
0.946;0.87;0.908
0.149;0.409;0.279
0.865;0.783;0.824
0.447;0.696;0.572
1.0;0.955;0.978
0.934;0.875;0.905
0.935;0.917;0.926
1.0;1.0;1.0
0.935;0.917;0.926
0.935;0.917;0.926
0.935;0.917;0.926
0.101;0.318;0.21
0.036;0.091;0.064
0.017;0.045;0.031
0.055;0.182;0.118
0.142;0.364;0.253
0.268;0.545;0.407
0.163;0.409;0.286
0.049;0.136;0.092
0.159;0.167;0.163
0.084;0.227;0.155
0.235;0.417;0.326
0.353;0.682;0.518
0.095;0.273;0.184
0.934;0.87;0.902
0.881;0.783;0.832
0.159;0.45;0.304
0.926;0.857;0.891
0.383;0.682;0.532
0.934;0.875;0.905
1.0;0.958;0.979
1.0;1.0;1.0
0.935;0.917;0.926
1.0;1.0;1.0
1.0;1.0;1.0
1.0;1.0;1.0
0.094;0.292;0.193
0.034;0.083;0.059
0.016;0.042;0.029
0.052;0.167;0.11
0.133;0.333;0.233
0.25;0.5;0.375
0.152;0.375;0.264
0.046;0.125;0.085
0.224;0.25;0.237
0.079;0.208;0.143
0.219;0.385;0.302
0.33;0.625;0.478
0.089;0.25;0.169
0.999;0.957;0.978
0.946;0.87;0.908
0.149;0.409;0.279
0.865;0.783;0.824
0.447;0.696;0.572
0.934;0.875;0.905
1.0;0.958;0.979
1.0;1.0;1.0
0.935;0.917;0.926
1.0;1.0;1.0
1.0;1.0;1.0
1.0;1.0;1.0
0.094;0.292;0.193
0.034;0.083;0.059
0.016;0.042;0.029
0.052;0.167;0.11
0.133;0.333;0.233
0.25;0.5;0.375
0.152;0.375;0.264
0.046;0.125;0.085
0.224;0.25;0.237
0.079;0.208;0.143
0.219;0.385;0.302
0.33;0.625;0.478
0.089;0.25;0.169
0.999;0.957;0.978
0.946;0.87;0.908
0.149;0.409;0.279
0.865;0.783;0.824
0.447;0.696;0.572
0.934;0.875;0.905
1.0;0.958;0.979
1.0;1.0;1.0
0.935;0.917;0.926
1.0;1.0;1.0
1.0;1.0;1.0
1.0;1.0;1.0
0.094;0.292;0.193
0.034;0.083;0.059
0.016;0.042;0.029
0.052;0.167;0.11
0.133;0.333;0.233
