;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.911;0.894;0.894;0.568;0.513;0.485;0.914;0.344;0.87;0.077;0.121;0.202;0.13;0.378;0.381;0.974;0.914;0.974;0.871;0.757;0.934;0.513;0.512;0.218
ENSCAFT00000012333_90_90;0.911;1.0;0.934;0.934;0.581;0.476;0.448;0.954;0.352;0.958;0.044;0.123;0.176;0.133;0.342;0.439;0.932;0.954;0.932;0.958;0.792;0.974;0.476;0.578;0.193
ENST00000295951_90_90;0.894;0.934;1.0;1.0;0.511;0.484;0.455;0.979;0.347;0.974;0.045;0.125;0.185;0.135;0.347;0.446;0.871;0.979;0.871;0.974;0.85;0.959;0.484;0.555;0.201
ENST00000295952_90_90;0.894;0.934;1.0;1.0;0.511;0.484;0.455;0.979;0.347;0.974;0.045;0.125;0.185;0.135;0.347;0.446;0.871;0.979;0.871;0.974;0.85;0.959;0.484;0.555;0.201
ENST00000383718_90_90;0.568;0.581;0.511;0.511;1.0;0.107;0.079;0.53;0.081;0.524;0.0;0.029;0.283;0.029;0.021;0.02;0.583;0.547;0.583;0.54;0.383;0.567;0.11;0.16;0.325
ENST00000416658_90_90;0.513;0.476;0.484;0.484;0.107;1.0;0.859;0.474;0.584;0.496;0.15;0.235;0.133;0.253;0.736;0.718;0.527;0.474;0.527;0.496;0.565;0.465;1.0;0.805;0.076
ENST00000417128_90_90;0.485;0.448;0.455;0.455;0.079;0.859;1.0;0.446;0.669;0.467;0.158;0.249;0.088;0.268;0.778;0.757;0.497;0.446;0.497;0.467;0.532;0.437;0.86;0.757;0.006
ENST00000428312_90_90;0.914;0.954;0.979;0.979;0.53;0.474;0.446;1.0;0.34;0.954;0.044;0.123;0.181;0.132;0.34;0.437;0.891;1.0;0.891;0.954;0.833;0.979;0.474;0.575;0.197
ENST00000438794_90_90;0.344;0.352;0.347;0.347;0.081;0.584;0.669;0.34;1.0;0.356;0.11;0.17;0.094;0.347;0.635;0.57;0.353;0.35;0.353;0.367;0.42;0.343;0.617;0.608;0.0
ENST00000449503_90_90;0.87;0.958;0.974;0.974;0.524;0.496;0.467;0.954;0.356;1.0;0.046;0.129;0.16;0.138;0.356;0.458;0.893;0.954;0.893;1.0;0.824;0.935;0.496;0.569;0.176
ENST00000460223_90_90;0.077;0.044;0.045;0.045;0.0;0.15;0.158;0.044;0.11;0.046;1.0;0.0;0.0;0.0;0.203;0.097;0.079;0.044;0.079;0.046;0.053;0.043;0.15;0.075;0.0
ENST00000461354_90_90;0.121;0.123;0.125;0.125;0.029;0.235;0.249;0.123;0.17;0.129;0.0;1.0;0.0;0.404;0.169;0.281;0.124;0.123;0.124;0.129;0.147;0.12;0.235;0.213;0.0
ENST00000465203_90_90;0.202;0.176;0.185;0.185;0.283;0.133;0.088;0.181;0.094;0.16;0.0;0.0;1.0;0.0;0.0;0.0;0.177;0.181;0.177;0.159;0.216;0.201;0.133;0.171;0.56
ENST00000466255_90_90;0.13;0.133;0.135;0.135;0.029;0.253;0.268;0.132;0.347;0.138;0.0;0.404;0.0;1.0;0.344;0.302;0.133;0.132;0.133;0.138;0.158;0.129;0.253;0.229;0.0
ENST00000494088_90_90;0.378;0.342;0.347;0.347;0.021;0.736;0.778;0.34;0.635;0.356;0.203;0.169;0.0;0.344;1.0;0.748;0.387;0.34;0.387;0.356;0.406;0.334;0.736;0.578;0.0
ENST00000495364_90_90;0.381;0.439;0.446;0.446;0.02;0.718;0.757;0.437;0.57;0.458;0.097;0.281;0.0;0.302;0.748;1.0;0.39;0.437;0.39;0.458;0.525;0.428;0.718;0.759;0.0
ENSMUST00000038522_90_90;0.974;0.932;0.871;0.871;0.583;0.527;0.497;0.891;0.353;0.893;0.079;0.124;0.177;0.133;0.387;0.39;1.0;0.891;1.0;0.893;0.733;0.911;0.527;0.525;0.193
ENSMUST00000090359_90_90;0.914;0.954;0.979;0.979;0.547;0.474;0.446;1.0;0.35;0.954;0.044;0.123;0.181;0.132;0.34;0.437;0.891;1.0;0.891;0.954;0.833;0.98;0.474;0.576;0.197
ENSMUST00000102956_90_90;0.974;0.932;0.871;0.871;0.583;0.527;0.497;0.891;0.353;0.893;0.079;0.124;0.177;0.133;0.387;0.39;1.0;0.891;1.0;0.893;0.733;0.911;0.527;0.525;0.193
ENSMUST00000112330_90_90;0.871;0.958;0.974;0.974;0.54;0.496;0.467;0.954;0.367;1.0;0.046;0.129;0.159;0.138;0.356;0.458;0.893;0.954;0.893;1.0;0.825;0.935;0.496;0.57;0.176
ENSMUST00000112331_90_90;0.757;0.792;0.85;0.85;0.383;0.565;0.532;0.833;0.42;0.824;0.053;0.147;0.216;0.158;0.406;0.525;0.733;0.833;0.733;0.825;1.0;0.817;0.565;0.65;0.236
ENSMUST00000139075_90_90;0.934;0.974;0.959;0.959;0.567;0.465;0.437;0.979;0.343;0.935;0.043;0.12;0.201;0.129;0.334;0.428;0.911;0.98;0.911;0.935;0.817;1.0;0.465;0.564;0.217
ENSMUST00000142679_90_90;0.513;0.476;0.484;0.484;0.11;1.0;0.86;0.474;0.617;0.496;0.15;0.235;0.133;0.253;0.736;0.718;0.527;0.474;0.527;0.496;0.565;0.465;1.0;0.805;0.076
ENSMUST00000145738_90_90;0.512;0.578;0.555;0.555;0.16;0.805;0.757;0.575;0.608;0.569;0.075;0.213;0.171;0.229;0.578;0.759;0.525;0.576;0.525;0.57;0.65;0.564;0.805;1.0;0.085
ENSMUST00000146438_90_90;0.218;0.193;0.201;0.201;0.325;0.076;0.006;0.197;0.0;0.176;0.0;0.0;0.56;0.0;0.0;0.0;0.193;0.197;0.193;0.176;0.236;0.217;0.076;0.085;1.0
