;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.837;0.443;0.798;0.755;0.631;0.782;0.869;0.831;0.921;0.768;0.728;0.837
ENST00000297620_90_90;0.837;1.0;0.366;0.71;0.828;0.687;0.857;0.782;0.744;0.913;0.922;0.873;1.0
ENST00000379078_90_90;0.443;0.366;1.0;0.428;0.326;0.416;0.414;0.502;0.52;0.443;0.304;0.314;0.366
ENST00000379080_90_90;0.798;0.71;0.428;1.0;0.837;0.562;0.812;0.914;0.775;0.798;0.764;0.798;0.71
ENST00000379081_90_90;0.755;0.828;0.326;0.837;1.0;0.668;0.853;0.771;0.732;0.755;0.897;0.843;0.828
ENST00000379084_90_90;0.631;0.687;0.416;0.562;0.668;1.0;0.695;0.635;0.744;0.631;0.616;0.572;0.687
ENST00000379087_90_90;0.782;0.857;0.414;0.812;0.853;0.695;1.0;0.898;0.759;0.782;0.78;0.814;0.857
ENST00000379089_90_90;0.869;0.782;0.502;0.914;0.771;0.635;0.898;1.0;0.856;0.869;0.71;0.739;0.782
ENST00000422409_90_90;0.831;0.744;0.52;0.775;0.732;0.744;0.759;0.856;1.0;0.831;0.671;0.627;0.744
ENST00000445726_90_90;0.921;0.913;0.443;0.798;0.755;0.631;0.782;0.869;0.831;1.0;0.841;0.796;0.913
ENSMUST00000108049_90_90;0.768;0.922;0.304;0.764;0.897;0.616;0.78;0.71;0.671;0.841;1.0;0.947;0.922
ENSMUST00000108050_90_90;0.728;0.873;0.314;0.798;0.843;0.572;0.814;0.739;0.627;0.796;0.947;1.0;0.873
ENSMUST00000108052_90_90;0.837;1.0;0.366;0.71;0.828;0.687;0.857;0.782;0.744;0.913;0.922;0.873;1.0
