;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript24_ENSPEMG00000024651;1.0;1.0;0.961;0.959;0.901;0.881;0.198;0.088;0.806;0.912;0.912;0.912;0.912;0.818;0.898;0.932;0.932;0.932;0.883;0.195;0.187;0.814;0.815;0.195;0.195;0.086;0.84
transcript15_ENSPEMG00000024651;1.0;1.0;0.961;0.959;0.901;0.881;0.198;0.088;0.806;0.912;0.912;0.912;0.912;0.818;0.898;0.932;0.932;0.932;0.883;0.195;0.187;0.814;0.815;0.195;0.195;0.086;0.84
transcript22_ENSPEMG00000024651;0.961;0.961;1.0;0.998;0.897;0.916;0.199;0.088;0.802;0.948;0.948;0.948;0.948;0.852;0.933;0.928;0.928;0.928;0.879;0.195;0.188;0.813;0.811;0.195;0.195;0.087;0.836
transcript31_ENSPEMG00000024651;0.959;0.959;0.998;1.0;0.895;0.914;0.2;0.088;0.8;0.946;0.946;0.946;0.946;0.85;0.931;0.926;0.926;0.926;0.877;0.196;0.189;0.811;0.809;0.196;0.196;0.087;0.834
transcript29_ENSCGRG00001010245;0.901;0.901;0.897;0.895;1.0;0.978;0.207;0.09;0.889;0.943;0.943;0.943;0.943;0.836;0.927;0.965;0.965;0.965;0.907;0.203;0.195;0.821;0.823;0.203;0.203;0.089;0.848
transcript43_ENSCGRG00000018457;0.881;0.881;0.916;0.914;0.978;1.0;0.211;0.092;0.867;0.964;0.964;0.964;0.964;0.854;0.947;0.943;0.943;0.943;0.886;0.207;0.199;0.81;0.808;0.207;0.207;0.091;0.833
transcript37_ENSCGRG00001010245;0.198;0.198;0.199;0.2;0.207;0.211;1.0;0.435;0.233;0.204;0.204;0.204;0.204;0.229;0.207;0.199;0.199;0.199;0.142;0.979;0.941;0.152;0.152;0.979;0.979;0.428;0.178
transcript38_ENSCGRG00001010245;0.088;0.088;0.088;0.088;0.09;0.092;0.435;1.0;0.101;0.089;0.089;0.089;0.089;0.1;0.09;0.087;0.087;0.087;0.03;0.434;0.435;0.053;0.053;0.434;0.434;0.984;0.079
transcript7_ENSCGRG00001010245;0.806;0.806;0.802;0.8;0.889;0.867;0.233;0.101;1.0;0.836;0.836;0.836;0.836;0.936;0.82;0.857;0.857;0.857;0.8;0.228;0.219;0.714;0.716;0.228;0.228;0.1;0.741
transcript32_ENSCGRG00015005362;0.912;0.912;0.948;0.946;0.943;0.964;0.204;0.089;0.836;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.2;0.192;0.846;0.844;0.2;0.2;0.087;0.869
