;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.931;0.034;0.034;0.034;0.261;0.015;0.013;0.03;0.015;0.09;0.054;0.056;0.024;0.0;0.953;0.035;0.035;0.035;0.269;0.035;0.026;0.042;0.94;0.093
ENST00000312358_90_90;0.931;1.0;0.034;0.034;0.034;0.252;0.0;0.013;0.029;0.0;0.08;0.045;0.056;0.014;0.0;1.0;0.034;0.034;0.034;0.253;0.034;0.014;0.04;0.916;0.08
ENST00000396686_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.132;1.0;0.0;0.0;0.037;0.0
ENST00000396688_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.132;1.0;0.0;0.0;0.037;0.0
ENST00000396689_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.132;1.0;0.0;0.0;0.037;0.0
ENST00000396698_90_90;0.261;0.252;0.132;0.132;0.132;1.0;0.029;0.049;0.0;0.029;0.333;0.186;0.214;0.083;0.0;0.253;0.132;0.132;0.132;1.0;0.132;0.083;0.153;0.218;0.333
ENST00000403148_90_90;0.015;0.0;0.0;0.0;0.0;0.029;1.0;0.0;0.0;1.0;0.077;0.063;0.0;0.227;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.345;0.0;0.0;0.091
ENST00000409595_90_90;0.013;0.013;0.0;0.0;0.0;0.049;0.0;1.0;0.0;0.0;0.0;0.0;0.209;0.0;0.0;0.013;0.0;0.0;0.0;0.049;0.0;0.0;0.322;0.001;0.0
ENST00000412982_90_90;0.03;0.029;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.695;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;0.0
ENST00000420132_90_90;0.015;0.0;0.0;0.0;0.0;0.029;1.0;0.0;0.0;1.0;0.077;0.063;0.0;0.227;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.345;0.0;0.0;0.091
ENST00000431523_90_90;0.09;0.08;0.0;0.0;0.0;0.333;0.077;0.0;0.0;0.077;1.0;0.554;0.348;0.274;0.0;0.08;0.0;0.0;0.0;0.337;0.0;0.241;0.145;0.058;0.968
ENST00000435853_90_90;0.054;0.045;0.0;0.0;0.0;0.186;0.063;0.0;0.0;0.063;0.554;1.0;0.505;0.367;0.0;0.046;0.0;0.0;0.0;0.19;0.0;0.328;0.219;0.021;0.545
ENST00000451076_90_90;0.056;0.056;0.0;0.0;0.0;0.214;0.0;0.209;0.0;0.0;0.348;0.505;1.0;0.12;0.0;0.056;0.0;0.0;0.0;0.214;0.0;0.12;0.42;0.02;0.348
ENST00000452101_90_90;0.024;0.014;0.0;0.0;0.0;0.083;0.227;0.0;0.0;0.227;0.274;0.367;0.12;1.0;0.0;0.014;0.0;0.0;0.0;0.084;0.0;0.865;0.091;0.0;0.243
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.953;1.0;0.034;0.034;0.034;0.253;0.0;0.013;0.032;0.0;0.08;0.046;0.056;0.014;0.0;1.0;0.034;0.034;0.034;0.254;0.034;0.014;0.04;0.91;0.081
ENSMUST00000113587_90_90;0.035;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
