;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.762;0.529;0.64;0.685;0.801;0.633;0.633;0.794;0.801;0.317;0.781;0.814;0.218;0.217;0.161;0.67;0.189;0.49;0.71;0.893;0.728;0.87;0.869;0.893
ENSCAFT00000048577_90_90;0.762;1.0;0.513;0.577;0.823;0.657;0.511;0.511;0.694;0.657;0.283;0.682;0.67;0.198;0.194;0.141;0.847;0.17;0.415;0.895;0.712;0.869;0.736;0.735;0.711
ENSCAFT00000049950_90_90;0.529;0.513;1.0;0.603;0.438;0.458;0.343;0.343;0.466;0.458;0.506;0.447;0.477;0.262;0.349;0.263;0.427;0.319;0.221;0.52;0.571;0.535;0.555;0.554;0.57
ENST00000314177_90_90;0.64;0.577;0.603;1.0;0.734;0.721;0.509;0.509;0.756;0.721;0.406;0.701;0.779;0.321;0.279;0.208;0.713;0.236;0.392;0.593;0.623;0.607;0.607;0.641;0.659
ENST00000338564_90_90;0.685;0.823;0.438;0.734;1.0;0.77;0.581;0.581;0.801;0.77;0.29;0.75;0.824;0.235;0.199;0.144;0.972;0.174;0.481;0.842;0.668;0.863;0.653;0.687;0.703
ENST00000340545_90_90;0.801;0.657;0.458;0.721;0.77;1.0;0.768;0.768;0.915;1.0;0.334;0.97;0.942;0.192;0.229;0.169;0.75;0.198;0.546;0.639;0.783;0.654;0.764;0.763;0.782
ENST00000397620_90_90;0.633;0.511;0.343;0.509;0.581;0.768;1.0;1.0;0.706;0.768;0.451;0.746;0.726;0.042;0.283;0.209;0.566;0.238;0.668;0.493;0.615;0.504;0.6;0.599;0.614
ENST00000397624_90_90;0.633;0.511;0.343;0.509;0.581;0.768;1.0;1.0;0.706;0.768;0.451;0.746;0.726;0.042;0.283;0.209;0.566;0.238;0.668;0.493;0.615;0.504;0.6;0.599;0.614
ENST00000424352_90_90;0.794;0.694;0.466;0.756;0.801;0.915;0.706;0.706;1.0;0.915;0.309;0.944;0.972;0.242;0.211;0.158;0.828;0.184;0.504;0.711;0.778;0.687;0.803;0.84;0.814
ENST00000557796_90_90;0.801;0.657;0.458;0.721;0.77;1.0;0.768;0.768;0.915;1.0;0.334;0.97;0.942;0.192;0.229;0.169;0.75;0.198;0.546;0.639;0.783;0.654;0.764;0.763;0.782
ENST00000558313_90_90;0.317;0.283;0.506;0.406;0.29;0.334;0.451;0.451;0.309;0.334;1.0;0.325;0.317;0.076;0.491;0.444;0.282;0.314;0.253;0.287;0.323;0.295;0.314;0.314;0.322
ENST00000559085_90_90;0.781;0.682;0.447;0.701;0.75;0.97;0.746;0.746;0.944;0.97;0.325;1.0;0.915;0.186;0.223;0.165;0.776;0.193;0.531;0.663;0.764;0.639;0.79;0.789;0.763
ENST00000559561_90_90;0.814;0.67;0.477;0.779;0.824;0.942;0.726;0.726;0.972;0.942;0.317;0.915;1.0;0.249;0.217;0.161;0.801;0.189;0.518;0.687;0.796;0.703;0.778;0.814;0.835
ENST00000560570_90_90;0.218;0.198;0.262;0.321;0.235;0.192;0.042;0.042;0.242;0.192;0.076;0.186;0.249;1.0;0.0;0.0;0.227;0.0;0.0;0.233;0.222;0.241;0.217;0.247;0.255
ENST00000560617_90_90;0.217;0.194;0.349;0.279;0.199;0.229;0.283;0.283;0.211;0.229;0.491;0.223;0.217;0.0;1.0;0.699;0.194;0.519;0.366;0.197;0.221;0.203;0.215;0.215;0.22
ENST00000560697_90_90;0.161;0.141;0.263;0.208;0.144;0.169;0.209;0.209;0.158;0.169;0.444;0.165;0.161;0.0;0.699;1.0;0.141;0.371;0.272;0.143;0.163;0.146;0.16;0.159;0.163
ENST00000561208_90_90;0.67;0.847;0.427;0.713;0.972;0.75;0.566;0.566;0.828;0.75;0.282;0.776;0.801;0.227;0.194;0.141;1.0;0.17;0.469;0.867;0.653;0.842;0.677;0.711;0.687
ENST00000606653_90_90;0.189;0.17;0.319;0.236;0.174;0.198;0.238;0.238;0.184;0.198;0.314;0.193;0.189;0.0;0.519;0.371;0.17;1.0;0.297;0.195;0.214;0.201;0.209;0.209;0.214
ENST00000607277_90_90;0.49;0.415;0.221;0.392;0.481;0.546;0.668;0.668;0.504;0.546;0.253;0.531;0.518;0.0;0.366;0.272;0.469;0.297;1.0;0.396;0.472;0.406;0.46;0.46;0.471
ENSMUST00000028639_90_90;0.71;0.895;0.52;0.593;0.842;0.639;0.493;0.493;0.711;0.639;0.287;0.663;0.687;0.233;0.197;0.143;0.867;0.195;0.396;1.0;0.757;0.971;0.784;0.826;0.798
ENSMUST00000074285_90_90;0.893;0.712;0.571;0.623;0.668;0.783;0.615;0.615;0.778;0.783;0.323;0.764;0.796;0.222;0.221;0.163;0.653;0.214;0.472;0.757;1.0;0.778;0.97;0.922;0.95
ENSMUST00000102538_90_90;0.728;0.869;0.535;0.607;0.863;0.654;0.504;0.504;0.687;0.654;0.295;0.639;0.703;0.241;0.203;0.146;0.842;0.201;0.406;0.971;0.778;1.0;0.757;0.798;0.822
ENSMUST00000110906_90_90;0.87;0.736;0.555;0.607;0.653;0.764;0.6;0.6;0.803;0.764;0.314;0.79;0.778;0.217;0.215;0.16;0.677;0.209;0.46;0.784;0.97;0.757;1.0;0.952;0.922
ENSMUST00000110907_90_90;0.869;0.735;0.554;0.641;0.687;0.763;0.599;0.599;0.84;0.763;0.314;0.789;0.814;0.247;0.215;0.159;0.711;0.209;0.46;0.826;0.922;0.798;0.952;1.0;0.97
ENSMUST00000110908_90_90;0.893;0.711;0.57;0.659;0.703;0.782;0.614;0.614;0.814;0.782;0.322;0.763;0.835;0.255;0.22;0.163;0.687;0.214;0.471;0.798;0.95;0.822;0.922;0.97;1.0
