;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.835;0.823;0.241;0.204;0.298;0.189;0.289;0.11;0.074;0.133;0.358;0.181;0.835;0.071;0.035;0.962;0.947;0.0
ENST00000299980_90_90;0.835;1.0;0.98;0.217;0.204;0.325;0.189;0.312;0.11;0.074;0.133;0.41;0.181;1.0;0.071;0.035;0.863;0.829;0.0
ENST00000393512_90_90;0.823;0.98;1.0;0.213;0.199;0.317;0.186;0.305;0.107;0.072;0.13;0.4;0.177;0.98;0.07;0.035;0.851;0.817;0.0
ENST00000450149_90_90;0.241;0.217;0.213;1.0;0.744;0.646;0.0;0.536;0.41;0.0;0.483;0.488;0.675;0.217;0.263;0.132;0.241;0.226;0.0
ENST00000563104_90_90;0.204;0.204;0.199;0.744;1.0;0.659;0.0;0.535;0.546;0.0;0.651;0.483;0.899;0.204;0.351;0.175;0.204;0.191;0.0
ENST00000563259_90_90;0.298;0.325;0.317;0.646;0.659;1.0;0.044;0.793;0.366;0.0;0.427;0.72;0.601;0.325;0.233;0.117;0.298;0.28;0.0
ENST00000564155_90_90;0.189;0.189;0.186;0.0;0.0;0.044;1.0;0.032;0.0;0.0;0.0;0.03;0.0;0.189;0.0;0.0;0.189;0.184;0.0
ENST00000565009_90_90;0.289;0.312;0.305;0.536;0.535;0.793;0.032;1.0;0.3;0.0;0.346;0.654;0.492;0.312;0.191;0.095;0.289;0.294;0.0
ENST00000565412_90_90;0.11;0.11;0.107;0.41;0.546;0.366;0.0;0.3;1.0;0.0;0.843;0.269;0.607;0.11;0.645;0.322;0.11;0.103;0.0
ENST00000566179_90_90;0.074;0.074;0.072;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.074;0.0;0.0;0.074;0.07;0.0
ENST00000567583_90_90;0.133;0.133;0.13;0.483;0.651;0.427;0.0;0.346;0.843;0.0;1.0;0.311;0.728;0.133;0.541;0.27;0.133;0.124;0.0
ENST00000568327_90_90;0.358;0.41;0.4;0.488;0.483;0.72;0.03;0.654;0.269;0.0;0.311;1.0;0.443;0.41;0.172;0.086;0.384;0.384;0.0
ENST00000569185_90_90;0.181;0.181;0.177;0.675;0.899;0.601;0.0;0.492;0.607;0.0;0.728;0.443;1.0;0.181;0.391;0.196;0.181;0.17;0.0
ENST00000569748_90_90;0.835;1.0;0.98;0.217;0.204;0.325;0.189;0.312;0.11;0.074;0.133;0.41;0.181;1.0;0.071;0.035;0.863;0.829;0.0
ENST00000569975_90_90;0.071;0.071;0.07;0.263;0.351;0.233;0.0;0.191;0.645;0.0;0.541;0.172;0.391;0.071;1.0;0.5;0.071;0.067;0.0
ENST00000570017_90_90;0.035;0.035;0.035;0.132;0.175;0.117;0.0;0.095;0.322;0.0;0.27;0.086;0.196;0.035;0.5;1.0;0.035;0.033;0.0
ENSMUST00000034171_90_90;0.962;0.863;0.851;0.241;0.204;0.298;0.189;0.289;0.11;0.074;0.133;0.384;0.181;0.863;0.071;0.035;1.0;0.947;0.0
ENSMUST00000093157_90_90;0.947;0.829;0.817;0.226;0.191;0.28;0.184;0.294;0.103;0.07;0.124;0.384;0.17;0.829;0.067;0.033;0.947;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
