;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.978;0.504;0.007;0.03;0.03;0.03;0.03;0.985;1.0;0.97;0.037;1.0;1.0
transcript8_ENSHGLG00100006079;0.978;1.0;0.481;0.008;0.015;0.015;0.015;0.015;0.963;0.978;0.977;0.015;0.978;0.978
transcript6_ENSPCIG00000036398;0.504;0.481;1.0;0.0;0.029;0.029;0.029;0.029;0.511;0.504;0.496;0.043;0.504;0.504
transcript7_ENSPCIG00000036398;0.007;0.008;0.0;1.0;0.25;0.25;0.25;0.25;0.0;0.007;0.0;0.2;0.007;0.007
transcript7_ENSMUNG00000007775;0.03;0.015;0.029;0.25;1.0;1.0;1.0;1.0;0.015;0.03;0.0;0.8;0.03;0.03
transcript16_ENSMUNG00000007775;0.03;0.015;0.029;0.25;1.0;1.0;1.0;1.0;0.015;0.03;0.0;0.8;0.03;0.03
transcript23_ENSMUNG00000007775;0.03;0.015;0.029;0.25;1.0;1.0;1.0;1.0;0.015;0.03;0.0;0.8;0.03;0.03
transcript16_ENSMUNG00000002377;0.03;0.015;0.029;0.25;1.0;1.0;1.0;1.0;0.015;0.03;0.0;0.8;0.03;0.03
transcript10_ENSMUNG00000002391;0.985;0.963;0.511;0.0;0.015;0.015;0.015;0.015;1.0;0.985;0.985;0.022;0.985;0.985
transcript2_ENSXMAG00000026005;1.0;0.978;0.504;0.007;0.03;0.03;0.03;0.03;0.985;1.0;0.97;0.037;1.0;1.0
transcript7_ENSXMAG00000026005;0.97;0.977;0.496;0.0;0.0;0.0;0.0;0.0;0.985;0.97;1.0;0.007;0.97;0.97
transcript8_ENSXMAG00000026005;0.037;0.015;0.043;0.2;0.8;0.8;0.8;0.8;0.022;0.037;0.007;1.0;0.037;0.037
transcript9_ENSXMAG00000026005;1.0;0.978;0.504;0.007;0.03;0.03;0.03;0.03;0.985;1.0;0.97;0.037;1.0;1.0
transcript10_ENSXMAG00000026005;1.0;0.978;0.504;0.007;0.03;0.03;0.03;0.03;0.985;1.0;0.97;0.037;1.0;1.0
