;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.938;0.954;0.895;0.238;0.557;0.954;0.656;0.947;0.634;0.947;0.884;0.125;0.427
ENSCAFT00000036937_90_90;0.938;1.0;0.895;0.949;0.252;0.595;0.895;0.692;0.884;0.67;0.884;0.941;0.132;0.451
ENST00000258180_90_90;0.954;0.895;1.0;0.943;0.229;0.605;1.0;0.699;0.904;0.611;0.904;0.847;0.12;0.413
ENST00000538274_90_90;0.895;0.949;0.943;1.0;0.241;0.647;0.943;0.738;0.847;0.642;0.847;0.895;0.127;0.433
ENST00000562564_90_90;0.238;0.252;0.229;0.241;1.0;0.41;0.229;0.102;0.25;0.114;0.25;0.267;0.0;0.0
ENST00000562580_90_90;0.557;0.595;0.605;0.647;0.41;1.0;0.605;0.394;0.508;0.298;0.508;0.542;0.0;0.08
ENST00000566428_90_90;0.954;0.895;1.0;0.943;0.229;0.605;1.0;0.699;0.904;0.611;0.904;0.847;0.12;0.413
ENST00000567328_90_90;0.656;0.692;0.699;0.738;0.102;0.394;0.699;1.0;0.611;0.883;0.611;0.642;0.158;0.543
ENSMUST00000034281_90_90;0.947;0.884;0.904;0.847;0.25;0.508;0.904;0.611;1.0;0.664;1.0;0.932;0.131;0.446
ENSMUST00000108948_90_90;0.634;0.67;0.611;0.642;0.114;0.298;0.611;0.883;0.664;1.0;0.664;0.707;0.175;0.597
ENSMUST00000108950_90_90;0.947;0.884;0.904;0.847;0.25;0.508;0.904;0.611;1.0;0.664;1.0;0.932;0.131;0.446
ENSMUST00000108951_90_90;0.884;0.941;0.847;0.895;0.267;0.542;0.847;0.642;0.932;0.707;0.932;1.0;0.14;0.473
ENSMUST00000132229_90_90;0.125;0.132;0.12;0.127;0.0;0.0;0.12;0.158;0.131;0.175;0.131;0.14;1.0;0.301
ENSMUST00000153725_90_90;0.427;0.451;0.413;0.433;0.0;0.08;0.413;0.543;0.446;0.597;0.446;0.473;0.301;1.0
