;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.735;0.867;0.885;0.928;0.88;0.639;0.953;0.976;0.976
transcript18_ENSHGLG00100003156;1.0;1.0;0.735;0.867;0.885;0.928;0.88;0.639;0.953;0.976;0.976
transcript33_ENSHGLG00100003156;0.735;0.735;1.0;0.684;0.711;0.792;0.634;0.407;0.694;0.714;0.714
transcript34_ENSHGLG00100003156;0.867;0.867;0.684;1.0;0.759;0.795;0.747;0.506;0.824;0.845;0.845
transcript35_ENSHGLG00100003156;0.885;0.885;0.711;0.759;1.0;0.904;0.791;0.614;0.864;0.864;0.864
transcript36_ENSHGLG00100003156;0.928;0.928;0.792;0.795;0.904;1.0;0.829;0.605;0.882;0.905;0.905
transcript5_ENSHGLG00100006079;0.88;0.88;0.634;0.747;0.791;0.829;1.0;0.726;0.835;0.857;0.857
transcript30_ENSHGLG00100006079;0.639;0.639;0.407;0.506;0.614;0.605;0.726;1.0;0.619;0.619;0.619
transcript5_ENSPCIG00000036398;0.953;0.953;0.694;0.824;0.864;0.882;0.835;0.619;1.0;0.93;0.93
transcript5_ENSXMAG00000026005;0.976;0.976;0.714;0.845;0.864;0.905;0.857;0.619;0.93;1.0;1.0
transcript7_ENSXMAG00000026005;0.976;0.976;0.714;0.845;0.864;0.905;0.857;0.619;0.93;1.0;1.0
