;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.853;0.404;0.404;0.322;0.814;0.716;0.737;0.67;0.188;0.26;0.201;0.209;0.213;0.257;0.233;0.231;0.19
transcript8_ENSMUSG00000054036;1.0;1.0;0.853;0.404;0.404;0.322;0.814;0.716;0.737;0.67;0.188;0.26;0.201;0.209;0.213;0.257;0.233;0.231;0.19
transcript8_ENSRNOG00000031503;0.853;0.853;1.0;0.428;0.428;0.349;0.698;0.809;0.621;0.595;0.155;0.213;0.164;0.17;0.176;0.211;0.193;0.193;0.153
transcript47_MGP-SPRETEiJ-G0021131;0.404;0.404;0.428;1.0;1.0;0.508;0.335;0.356;0.306;0.384;0.08;0.085;0.069;0.072;0.072;0.084;0.078;0.08;0.064
transcript47_ENSMUSG00000054036;0.404;0.404;0.428;1.0;1.0;0.508;0.335;0.356;0.306;0.384;0.08;0.085;0.069;0.072;0.072;0.084;0.078;0.08;0.064
transcript47_ENSMUGG00000013649;0.322;0.322;0.349;0.508;0.508;1.0;0.271;0.293;0.197;0.255;0.07;0.074;0.061;0.064;0.064;0.073;0.068;0.071;0.056
transcript42_ENSMUSG00000054036;0.814;0.814;0.698;0.335;0.335;0.271;1.0;0.857;0.923;0.857;0.219;0.319;0.251;0.261;0.262;0.316;0.286;0.283;0.238
transcript42_ENSRNOG00000031503;0.716;0.716;0.809;0.356;0.356;0.293;0.857;1.0;0.78;0.758;0.178;0.263;0.206;0.214;0.216;0.26;0.236;0.235;0.194
transcript54_ENSMUSG00000054036;0.737;0.737;0.621;0.306;0.306;0.197;0.923;0.78;1.0;0.845;0.202;0.299;0.235;0.244;0.245;0.296;0.268;0.265;0.224
transcript55_ENSMUSG00000054036;0.67;0.67;0.595;0.384;0.384;0.255;0.857;0.758;0.845;1.0;0.181;0.274;0.212;0.22;0.225;0.271;0.246;0.243;0.2
transcript7_ENSMUGG00000013649;0.188;0.188;0.155;0.08;0.08;0.07;0.219;0.178;0.202;0.181;1.0;0.744;0.808;0.841;0.782;0.738;0.711;0.693;0.796
transcript7_ENSMUGG00000013592;0.26;0.26;0.213;0.085;0.085;0.074;0.319;0.263;0.299;0.274;0.744;1.0;0.76;0.728;0.85;0.99;0.772;0.756;0.748
transcript44_ENSMUGG00000013649;0.201;0.201;0.164;0.069;0.069;0.061;0.251;0.206;0.235;0.212;0.808;0.76;1.0;0.96;0.895;0.768;0.825;0.806;0.927
transcript48_ENSMUGG00000013649;0.209;0.209;0.17;0.072;0.072;0.064;0.261;0.214;0.244;0.22;0.841;0.728;0.96;1.0;0.864;0.736;0.793;0.775;0.89
transcript28_ENSMUGG00000013592;0.213;0.213;0.176;0.072;0.072;0.064;0.262;0.216;0.245;0.225;0.782;0.85;0.895;0.864;1.0;0.859;0.922;0.906;0.879
transcript52_ENSMUGG00000013592;0.257;0.257;0.211;0.084;0.084;0.073;0.316;0.26;0.296;0.271;0.738;0.99;0.768;0.736;0.859;1.0;0.78;0.764;0.756
transcript53_ENSMUGG00000013592;0.233;0.233;0.193;0.078;0.078;0.068;0.286;0.236;0.268;0.246;0.711;0.772;0.825;0.793;0.922;0.78;1.0;0.923;0.811
transcript54_ENSMUGG00000013592;0.231;0.231;0.193;0.08;0.08;0.071;0.283;0.235;0.265;0.243;0.693;0.756;0.806;0.775;0.906;0.764;0.923;1.0;0.796
transcript25_ENSPEMG00000024651;0.19;0.19;0.153;0.064;0.064;0.056;0.238;0.194;0.224;0.2;0.796;0.748;0.927;0.89;0.879;0.756;0.811;0.796;1.0
