;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript8_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.138;0.5;1.0;1.0;1.0;0.966;0.966;0.828;0.966;0.138;0.966;0.966;0.828
transcript7_ENSPCIG00000036398;0.138;1.0;0.0;0.0;0.0;0.0;0.172;0.172;0.154;0.172;0.667;0.172;0.172;0.154
transcript7_ENSMUNG00000007775;0.5;0.0;1.0;0.5;0.5;0.5;0.5;0.667;0.5;0.667;0.0;0.667;0.333;0.5
transcript16_ENSMUNG00000007775;1.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;0.333;1.0;0.0;1.0;0.667;0.333
transcript23_ENSMUNG00000007775;1.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;0.333;1.0;0.0;1.0;0.667;0.333
transcript16_ENSMUNG00000002377;1.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;0.333;1.0;0.0;1.0;0.667;0.333
transcript10_ENSMUNG00000002391;0.966;0.172;0.5;1.0;1.0;1.0;1.0;1.0;0.918;1.0;0.122;1.0;1.0;0.918
transcript2_ENSHGLG00100006079;0.966;0.172;0.667;1.0;1.0;1.0;1.0;1.0;0.92;1.0;0.12;1.0;0.98;0.92
transcript8_ENSHGLG00100006079;0.828;0.154;0.5;0.333;0.333;0.333;0.918;0.92;1.0;0.92;0.106;0.92;0.9;1.0
transcript2_ENSXMAG00000026005;0.966;0.172;0.667;1.0;1.0;1.0;1.0;1.0;0.92;1.0;0.12;1.0;0.98;0.92
transcript7_ENSXMAG00000026005;0.138;0.667;0.0;0.0;0.0;0.0;0.122;0.12;0.106;0.12;1.0;0.12;0.122;0.106
transcript9_ENSXMAG00000026005;0.966;0.172;0.667;1.0;1.0;1.0;1.0;1.0;0.92;1.0;0.12;1.0;0.98;0.92
transcript10_ENSXMAG00000026005;0.966;0.172;0.333;0.667;0.667;0.667;1.0;0.98;0.9;0.98;0.122;0.98;1.0;0.9
transcript8_ENSXMAG00000026005;0.828;0.154;0.5;0.333;0.333;0.333;0.918;0.92;1.0;0.92;0.106;0.92;0.9;1.0
