;ENSCAFT00000031829_90_90;ENST00000327812_90_90;ENST00000372546_90_90;ENST00000406974_90_90;ENST00000412363_90_90;ENSMUST00000028209_90_90;ENSMUST00000113612_90_90;ENSMUST00000123202_90_90;ENSMUST00000137248_90_90;ENSMUST00000155196_90_90
ENSCAFT00000031829_90_90;1.0;0.39;0.907;0.772;0.336;0.907;0.772;0.494;0.39;0.336
ENST00000327812_90_90;0.39;1.0;0.39;0.454;0.864;0.39;0.454;0.122;1.0;0.864
ENST00000372546_90_90;0.907;0.39;1.0;0.859;0.336;1.0;0.859;0.494;0.39;0.336
ENST00000406974_90_90;0.772;0.454;0.859;1.0;0.393;0.859;1.0;0.354;0.454;0.393
ENST00000412363_90_90;0.336;0.864;0.336;0.393;1.0;0.336;0.393;0.135;0.864;1.0
ENSMUST00000028209_90_90;0.907;0.39;1.0;0.859;0.336;1.0;0.859;0.494;0.39;0.336
ENSMUST00000113612_90_90;0.772;0.454;0.859;1.0;0.393;0.859;1.0;0.354;0.454;0.393
ENSMUST00000123202_90_90;0.494;0.122;0.494;0.354;0.135;0.494;0.354;1.0;0.122;0.135
ENSMUST00000137248_90_90;0.39;1.0;0.39;0.454;0.864;0.39;0.454;0.122;1.0;0.864
ENSMUST00000155196_90_90;0.336;0.864;0.336;0.393;1.0;0.336;0.393;0.135;0.864;1.0
