;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.815;0.002;0.003;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.003;0.0
ENSCAFT00000043901_90_90;0.815;1.0;0.002;0.003;0.002;0.002;0.002;0.0;0.002;0.002;0.002;0.002;0.003;0.0
ENST00000256953_90_90;0.002;0.002;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.627;0.627;0.679;0.221;0.238
ENST00000393736_90_90;0.003;0.003;0.194;1.0;0.194;0.552;0.194;0.137;0.103;0.089;0.089;0.097;0.39;0.0
ENST00000536465_90_90;0.002;0.002;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.627;0.627;0.679;0.221;0.238
ENST00000537647_90_90;0.002;0.002;0.312;0.552;0.312;1.0;0.312;0.313;0.22;0.077;0.077;0.084;0.609;0.0
ENST00000538313_90_90;0.002;0.002;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.627;0.627;0.679;0.221;0.238
ENST00000545567_90_90;0.0;0.0;0.344;0.137;0.344;0.313;0.344;1.0;0.263;0.128;0.128;0.137;0.186;0.257
ENST00000546331_90_90;0.002;0.002;0.905;0.103;0.905;0.22;0.905;0.263;1.0;0.679;0.679;0.742;0.206;0.261
ENSMUST00000032347_90_90;0.002;0.002;0.627;0.089;0.627;0.077;0.627;0.128;0.679;1.0;1.0;0.905;0.09;0.3
ENSMUST00000117919_90_90;0.002;0.002;0.627;0.089;0.627;0.077;0.627;0.128;0.679;1.0;1.0;0.905;0.09;0.3
ENSMUST00000119610_90_90;0.002;0.002;0.679;0.097;0.679;0.084;0.679;0.137;0.742;0.905;0.905;1.0;0.098;0.331
ENSMUST00000149100_90_90;0.003;0.003;0.221;0.39;0.221;0.609;0.221;0.186;0.206;0.09;0.09;0.098;1.0;0.0
ENSMUST00000203003_90_90;0.0;0.0;0.238;0.0;0.238;0.0;0.238;0.257;0.261;0.3;0.3;0.331;0.0;1.0
