;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.892;0.891;0.999;0.892;0.891;0.89;0.165;0.458;0.182;0.35;0.728;0.997;0.171
ENSCAFT00000005583_90_90;0.892;1.0;0.999;0.891;1.0;0.998;0.998;0.148;0.409;0.162;0.312;0.835;0.89;0.152
ENST00000272238_90_90;0.891;0.999;1.0;0.892;0.977;0.976;0.998;0.148;0.41;0.162;0.313;0.836;0.891;0.152
ENST00000381661_90_90;0.999;0.891;0.892;1.0;0.872;0.87;0.891;0.165;0.459;0.182;0.351;0.728;0.998;0.171
ENST00000635370_90_90;0.892;1.0;0.977;0.872;1.0;0.998;0.976;0.144;0.4;0.159;0.306;0.817;0.87;0.149
ENSMUST00000020884_90_90;0.891;0.998;0.976;0.87;0.998;1.0;0.977;0.146;0.392;0.16;0.307;0.817;0.872;0.139
ENSMUST00000095820_90_90;0.89;0.998;0.998;0.891;0.976;0.977;1.0;0.149;0.401;0.164;0.315;0.836;0.892;0.142
ENSMUST00000127185_90_90;0.165;0.148;0.148;0.165;0.144;0.146;0.149;1.0;0.34;0.579;0.474;0.036;0.167;0.369
ENSMUST00000140751_90_90;0.458;0.409;0.41;0.459;0.4;0.392;0.401;0.34;1.0;0.374;0.718;0.241;0.448;0.294
ENSMUST00000143131_90_90;0.182;0.162;0.162;0.182;0.159;0.16;0.164;0.579;0.374;1.0;0.521;0.0;0.184;0.618
ENSMUST00000153090_90_90;0.35;0.312;0.313;0.351;0.306;0.307;0.315;0.474;0.718;0.521;1.0;0.151;0.353;0.385
ENSMUST00000156727_90_90;0.728;0.835;0.836;0.728;0.817;0.817;0.836;0.036;0.241;0.0;0.151;1.0;0.728;0.0
ENSMUST00000221129_90_90;0.997;0.89;0.891;0.998;0.87;0.872;0.892;0.167;0.448;0.184;0.353;0.728;1.0;0.157
ENSMUST00000222103_90_90;0.171;0.152;0.152;0.171;0.149;0.139;0.142;0.369;0.294;0.618;0.385;0.0;0.157;1.0
