;transcript49_ENSCGRG00015005362;transcript44_ENSCGRG00000018457;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript22_ENSCGRG00001010245;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSSTOG00000019743;transcript22_ENSNGAG00000018584
transcript49_ENSCGRG00015005362;1.0;1.0;0.882;0.882;0.657;0.657;0.7;0.729;0.729;0.729;0.5;0.643;0.729;0.73
transcript44_ENSCGRG00000018457;1.0;1.0;0.882;0.882;0.657;0.657;0.69;0.718;0.718;0.718;0.5;0.643;0.718;0.711
transcript57_ENSCGRG00000018457;0.882;0.882;1.0;1.0;0.692;0.692;0.652;0.634;0.634;0.634;0.547;0.677;0.634;0.605
transcript58_ENSCGRG00000018457;0.882;0.882;1.0;1.0;0.692;0.692;0.652;0.634;0.634;0.634;0.547;0.677;0.634;0.605
transcript50_ENSCGRG00015005362;0.657;0.657;0.692;0.692;1.0;1.0;0.956;0.929;0.929;0.929;0.831;0.985;0.929;0.919
transcript50_ENSCGRG00000018457;0.657;0.657;0.692;0.692;1.0;1.0;0.942;0.915;0.915;0.915;0.831;0.985;0.915;0.895
transcript8_ENSCGRG00000018457;0.7;0.69;0.652;0.652;0.956;0.942;1.0;0.972;0.972;0.972;0.783;0.928;0.972;0.974
transcript45_ENSCGRG00000018457;0.729;0.718;0.634;0.634;0.929;0.915;0.972;1.0;1.0;1.0;0.761;0.901;1.0;1.0
transcript45_ENSCGRG00001010245;0.729;0.718;0.634;0.634;0.929;0.915;0.972;1.0;1.0;1.0;0.761;0.901;1.0;1.0
transcript22_ENSCGRG00001010245;0.729;0.718;0.634;0.634;0.929;0.915;0.972;1.0;1.0;1.0;0.761;0.901;1.0;1.0
transcript59_ENSCGRG00000018457;0.5;0.5;0.547;0.547;0.831;0.831;0.783;0.761;0.761;0.761;1.0;0.844;0.761;0.737
transcript60_ENSCGRG00000018457;0.643;0.643;0.677;0.677;0.985;0.985;0.928;0.901;0.901;0.901;0.844;1.0;0.901;0.868
transcript22_ENSSTOG00000019743;0.729;0.718;0.634;0.634;0.929;0.915;0.972;1.0;1.0;1.0;0.761;0.901;1.0;1.0
transcript22_ENSNGAG00000018584;0.73;0.711;0.605;0.605;0.919;0.895;0.974;1.0;1.0;1.0;0.737;0.868;1.0;1.0
