;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.9;0.9;0.05;0.65;0.0;0.0;0.9;0.2;0.65;0.2;0.55;0.55;0.05;0.35;0.05;0.45;0.955;1.0;0.318;0.727
ENST00000268049_90_90;0.9;1.0;0.917;0.043;0.667;0.0;0.0;0.917;0.24;0.609;0.348;0.4;0.696;0.042;0.417;0.043;0.52;0.85;0.9;0.263;0.684
ENST00000380324_90_90;0.9;0.917;1.0;0.043;0.739;0.042;0.042;0.917;0.292;0.609;0.292;0.4;0.625;0.087;0.478;0.043;0.583;0.85;0.9;0.263;0.684
ENST00000538686_90_90;0.05;0.043;0.043;1.0;0.0;0.0;0.0;0.043;0.0;0.071;0.0;0.0;0.062;0.0;0.0;0.0;0.067;0.053;0.05;0.0;0.0
ENST00000540797_90_90;0.65;0.667;0.739;0.0;1.0;0.056;0.056;0.667;0.389;0.476;0.316;0.526;0.375;0.118;0.647;0.059;0.333;0.6;0.65;0.357;0.929
ENST00000557884_90_90;0.0;0.0;0.042;0.0;0.056;1.0;1.0;0.0;0.111;0.0;0.0;0.0;0.0;0.333;0.083;0.0;0.062;0.0;0.0;0.0;0.0
ENST00000558157_90_90;0.0;0.0;0.042;0.0;0.056;1.0;1.0;0.0;0.111;0.0;0.0;0.0;0.0;0.333;0.083;0.0;0.062;0.0;0.0;0.0;0.0
ENST00000558285_90_90;0.9;0.917;0.917;0.043;0.667;0.0;0.0;1.0;0.24;0.609;0.292;0.4;0.625;0.042;0.417;0.043;0.52;0.85;0.9;0.263;0.684
ENST00000559192_90_90;0.2;0.24;0.292;0.0;0.389;0.111;0.111;0.24;1.0;0.0;0.6;0.0;0.333;0.111;0.583;0.0;0.438;0.211;0.2;0.667;0.286
ENST00000559257_90_90;0.65;0.609;0.609;0.071;0.476;0.0;0.0;0.609;0.0;1.0;0.0;0.625;0.304;0.067;0.19;0.071;0.208;0.6;0.65;0.118;0.588
ENST00000559276_90_90;0.2;0.348;0.292;0.0;0.316;0.0;0.0;0.292;0.6;0.0;1.0;0.0;0.5;0.0;0.462;0.0;0.438;0.211;0.2;0.429;0.2
ENST00000559711_90_90;0.55;0.4;0.4;0.0;0.526;0.0;0.0;0.4;0.0;0.625;0.0;1.0;0.12;0.077;0.211;0.083;0.038;0.5;0.55;0.133;0.667
ENST00000559771_90_90;0.55;0.696;0.625;0.062;0.375;0.0;0.0;0.625;0.333;0.304;0.5;0.12;1.0;0.0;0.5;0.0;0.722;0.579;0.55;0.417;0.316
ENST00000559873_90_90;0.05;0.042;0.087;0.0;0.118;0.333;0.333;0.042;0.111;0.067;0.0;0.077;0.0;1.0;0.083;0.0;0.062;0.053;0.05;0.0;0.071
ENST00000560070_90_90;0.35;0.417;0.478;0.0;0.647;0.083;0.083;0.417;0.583;0.19;0.462;0.211;0.5;0.083;1.0;0.0;0.444;0.368;0.35;0.625;0.5
ENST00000560202_90_90;0.05;0.043;0.043;0.0;0.059;0.0;0.0;0.043;0.0;0.071;0.0;0.083;0.0;0.0;0.0;1.0;0.0;0.053;0.05;0.0;0.071
ENST00000561442_90_90;0.45;0.52;0.583;0.067;0.333;0.062;0.062;0.52;0.438;0.208;0.438;0.038;0.722;0.062;0.444;0.0;1.0;0.474;0.45;0.364;0.211
ENSMUST00000098613_90_90;0.955;0.85;0.85;0.053;0.6;0.0;0.0;0.85;0.211;0.6;0.211;0.5;0.579;0.053;0.368;0.053;0.474;1.0;0.955;0.333;0.682
ENSMUST00000127569_90_90;1.0;0.9;0.9;0.05;0.65;0.0;0.0;0.9;0.2;0.65;0.2;0.55;0.55;0.05;0.35;0.05;0.45;0.955;1.0;0.318;0.727
ENSMUST00000139547_90_90;0.318;0.263;0.263;0.0;0.357;0.0;0.0;0.263;0.667;0.118;0.429;0.133;0.417;0.0;0.625;0.0;0.364;0.333;0.318;1.0;0.438
ENSMUST00000174387_90_90;0.727;0.684;0.684;0.0;0.929;0.0;0.0;0.684;0.286;0.588;0.2;0.667;0.316;0.071;0.5;0.071;0.211;0.682;0.727;0.438;1.0
